,importance,scaled_importance
"Mah aj an , CJ . 1 . This petition under Art . 32 of the Constitution of India arises in the following circumstances . 2 . The Collector of Exc ise , Aj mer , respondent No . 3 , on the 16 th March 1953 held an auction sale of "" Change Gate country liquor shop Be awar "" for the year 1953 - 54 pursuant to the rule framed under Exc ise Regulation I of 1915 . The petitioner and respondent No . 5 , Ch h oga Lal , offered bids at the auction sale . Ch h oga Lal , whose bid was in the sum of Rs . 57 , 000 /- was declared the highest bidder and the petitioner who was the former licensee was thus unsuccessful in obtaining the contract to run this liquor shop as herein before . Half of the auction price was payable immediately on the provisional acceptance of the bid . Ch h oga Lal , however , deposited Rs . 16 , 500 /- on the 16 th March 1953 and the balance of Rs . 12 , 000 /- on the 18 th March 1953 and the balance of Rs . 12 , 000 /- on the 18 th March 1953 , i . e ., two days after the due date , contrary to the provisions of sub - rule 8 ( a ) of Rule 6 of the auction rules . In spite of this the sale was eventually confirmed in his favour by the Minister of Exc ise . 3 . The petitioner , when app r ised of this irregular ity , sent a te legram to the Collector of Exc ise standing that the sale should not be confirmed in favour of Ch h oga Lal as he had failed in paying the price according to the rules , and expressing his willingness to take the licence on the price fet ched at that auction sale . He also preferred an appeal to the Chief Commissioner against the order of the Collector allowing the deposit of Rs . 12 , 000 /- after the due date and in not ordering a res ale . His appeal and representation both were unsuccessful . He claims redress for both these grievances by means of this petition . 4 . The petition is founded on the following allegations :( 1 ) That the petition ers fundamental right to carry on trade or business in liquor under Art . 19 ( 1 ) ( g ) had been infring ed by the act of the Coll o ctor of Exc ise , in cond oning the failure of the respondent in depos iting the whole of the security deposit required under sub - rule 8 ( a ) of rule 6 of the auction rules within the prescribed time and in not re au ction ing the licence under sub - rule 9 of rule 6 .( 2 ) That is allowing Ch h oga Lal to make the deposit after the exp iry of the prescribed time the Collector had discriminated between him and Ch h oga Lal and had thus ab rid ged the petition ers fundamental right under Act . 14 . It is alleged that if the petitioner had known that the Collector would enlarge the time for the security deposit he would have offered a higher bid .( 3 ) That the Hon . Minister for Exc ise , respondent No . 2 , had no authority under the regulation to confirm the auction sale held by the Collector .( 4 ) That the summary rejection of his appeal without hearing was not justified and has resulted in the ab rid gement of his right to carry on his trade .( 5 ) That the provisions of the Exc ise Regulation and the auction rules made there under were ultra v ires as the same pur port to grant monopoly of trade to a few persons and are thus inconsistent with Art . 19 ( 1 )( g ) of the Constitution and that the provisions of the regulation regarding levy of licence fee with the av owed object of raising a big source of revenue also seriously affected the fundamental rights of the petitioner under Art . 19 ( 1 )( g ) of the Constitution . On these allegations , the petitioner prayed for a writ of mand amus or a writ in the nature thereof or a direction or order on respondents Nos . 1 to 4 directing them , ( a ) not to levy any duty or fee for the purpose of raising revenues for the benefit of the State by holding auction sales , ( b ) not to grant monopoly in the trade to a selected few individuals , but to grant licences freely on application , and ( c ) to grant a licence to the petitioner to deal in country liquor with his place of business at or near Chang Gate , Be awar . In the alternative a mand amus was asked directing the officer concerned either to confirm the next lower bid of the petitioner and to grant the licence for Changed Gate liquor shop , Be awar , in his favour or to hold a re au ction in accordance with the auction rules and to cancel the licence of respondent No . 5 . 5 . Some of the points raised are clearly outside the am bit of the constitutional remedy provided under Art . 32 of the Constitution and will be considered here ina fter . The main contention which needs consideration in the case is regarding the constitutional validity of the Exc ise Regulation I of 1915 . It was contended that the petitioner , a citizen of free India , had an unf et tered right to carry on trade and business in liquor and this right had been guaranteed to him under Art . 19 ( 1 )( g ) of the Constitution , and that being so , the provisions of the regulation which confer discretion on the excise Commissioner to restrict the number of liquor shops , and to licence them by auction to the highest bidder amount to creation of a monopoly in liquor trade and are void . The excessive licence fee recovered by public auction was attached on the ground that it was not in the nature of a licence fee but was in the nature of a tax and this could not be recovered by having resort to the powers of legislation saved by Art . 19 ( 6 ) of the Constitution . 6 . In order to determine the validity of these content ions , it is necessary to refer to the relevant provisions of the regulation which consolid ates and am ends the law relating to import , export , transport , manufacture , sale and possession of intox icating liqu ors and of intox icating drugs , in the Pro vin ces of Aj mer - Mer w ara . It has been enacted in exercise of the legislative power conferred by the Government of India Act , 1935 , Seventh Schedule , List II ."" For making laws regarding intox icating liqu ors , i . e ., the production , manufacture , possession , transport , purchase and sale of intox icating liqu ors "", and under power conferred for raising "" d uties of excise on alcoholic liqu ors for human consumption "".",0.8956437742231791,100.0
"___The p ith and substance of the regulation is that it raises revenue by imposing duties on liqu ors and intox icating drugs by different methods and it also regulates the import , export , transport , manufacture , sale and possession of intox icating liqu ors . Section 13 en acts that no exc isable article shall be manufactured or collected except under the authority and subject to the terms and conditions of a licence granted in that behalf . Section 14 provides that the excise commissioner may ( a ) establish a dist illery in which spirit may be manufactured under a licence granted under S . 13 on such conditions as the Chief Commissioner may impose ; ( b ) discontin ue any such dist illery ; ( c ) license , on such conditions as the Chief Commissioner may impose , the construction and working of a dist illery or brewery : ( d ) establish or license a warehouse wherein any exc isable article may be deposited and kept without payment of duty ; and ( e ) discontin ue any such warehouse .",0.45711745989897357,3.4630797420635897
"Section 15 provides that without the sanction of the Chief Commissioner no exc isable article shall be removed from any dist illery , brewery , warehouse or other place of storage . Section 18 says that the Chief Commissioner may lease to any person , on such conditions and for such period as he may think fit , the right of manufacturing or of supplying by wholesale , or of both , or of selling by wholesale or by retail , or of manufacturing or of supplying by whole , or of both and of selling by retail any country liquor or intox icating drug within any specified area . Rest rict ions regarding the manufacture and sale of liqu ors in cant on ments and other places are found in some other provisions of the regulation . The employment of children and women is prohibited in this business and provision is made author ising the District Mag istrate for closing shops for the sake of maintenance of public peace . Section 24 author ises the Chief Commissioner to impose a duty at such rate or rates as he thinks fit on any exc isable article imported , exported , transported or manufactured , cultivated or collected under any licence granted under S . 13 . Section 27 deals with grant of licences , permits and passes . It provides that a licence shall be granted on payment of such fees , if any , for such period and subject to such restrictions and on such conditions and shall be in such form and contain such particulars as the Chief Commissioner may direct either generally or in any particular instance . Power is then given by s . 30 for cancellation or suspension of the licence . Section 31 and 32 provide for the withdrawal and surrender of le cence . Chapter VII of the regulation deals with offences and penalties . Chapter VIII deals with detection , investigation and trial of offences under the regulation . Section 62 provides , inter al ia , that the Chief Commissioner has power to make rules prescribing the scale of fees and the manner of fixing the fees payable in respect of any privilege , licence , permit or pass or the storing of any exc isable article . Section 64 says that the following m one ys , namely , all excise revenue , any loss that may acc rue when in consequence of default a grant has been taken under management by the Collector or has been re sold by him , and all amounts due to the Government by any person on account of any contract relating to the excise revenue , may be recovered from the person primarily liable to pay the same , or from his sure ty ( if any ), by distress and sale of his mov able property , or by any other process for the recovery of land revenue due from land holders or from farmers or land or their su ret ies . 7 .",-0.3406976848371748,-0.7964698767235542
"___Article 19 ( 1 )( g ) of the Constitution guarantees that all citizens have the right to practise any profession or to carry on any occupation or trade or business and Cl . ( 6 ) of the article author ises legislation which imposes reasonable restrictions on this right in the interests of the general public . It was not disputed that in order to determine the reason abl eness of the restriction regard must be had to the nature of the business and the conditions prevailing in that trade . It is obvious that these factors must differ from trade to trade and no hard and fast rules concerning all trades can be laid down . It can also not be denied that the State has the power to prohibit trades which are illegal or immoral or inj urious to the health and welfare of the public . L aws prohibiting trades in no xious or dangerous goods or trafficking in women cannot be held to be illegal as enact ing a prohibition and not a mere regulation . The nature of the business is , therefore , an important element in deciding the reason abl eness of the restrictions . The right of every citizen to pursue any lawful trade or business is obviously subject to such reasonable conditions as may be deemed by the governing authority of the country essential to the safety , health , peace , order and morals of the community . Some occupations by the noise made in their pursuit , some by the od ours they eng ender , and some by the dangers accompanying them , require regulations as to the locality in which they may be conducted . Some , by the dangerous character of the articles used , manufactured or sold , Requ ire also special qualifications in the parties permitted to use , manufacture or sell",0.5835228423607417,11.738503944786821
"them . These propositions were not disputed , but it was urged that there was something wrong in principle and objectionable in similar restrictions being applied to the business of selling by retail , in small quantities , spirit uous and intox icating liqu ors . It was urged that their sale should be without restriction , that every person has a right which in heres in him , i . e . a natural right to carry or trade in intox icating liqu ors and that the State had no right to create a monopoly in them . This contention stands answered by what Field , J . said in - Crowley v Christensen , ( 18 90 ) 34 Law Ed . 620 ( A ) : "" There is in this position an assumption of a fact which does not exist , that when the liqu ors are taken in excess the injuries are confined to the party offending . The injury , it is true , first falls upon him in his health , which the habit undermines ; in his morals , which it weak ens ; and in the self - ab as ement which it creates . But as it leads to neglect of business and waste of property and general demoral isation , it affects those who are immediately connected with the dependent upon him . By the general conc urrence of opinion of every civilized and Christian community , there are few sources of crime and misery to society equal to the dram shop , where intox icating liqu ors , in small quantities , to be drunk at the time , are sold indiscrim inately to all parties applying . The statist ices of every State show a greater amount of crime and misery attributable to the use of ardent spirits obtained at these retail liquor sal oons than to any other source . The sale of such liqu ors in this way has therefore been , at all times ; by the courts of every State , considered as the proper subject of legislative regulation . Now only may a licence be exact ed from the keeper of the sal oon before a glass of his liqu ors can be thus disposed of , but restrictions may be imposed as to the class of persons to whom they may be sold , and the hours of the day , and the days of the week , on which the sal oons may be opened . Their sale in that form may be absolutely prohibited . It is a question of public exped iency and public morality , and not of federal law . The police power of the State is fully competent to regulate the business - to mitigate its evils or to suppress it entirely . There is no inherent right in a citizen to thus sell intox icating liqu ors by retail ; it is not a privilege of a citizen of the State or of a citizen of the United States . As it is a business attended with danger to the community , it may , as already said , be entirely prohibited or he permitted under such conditions as will limit to the utmost its evils . The manner and extent of regulation rest in the discretion of the governing authority . That authority may vest in such officers as it may deem proper the power of passing upon applications for permission to carry it on , and to issue licences for that purpose . It is a matter of legislative will only "". These observations have our entire conc urrence and they completely negative the contention raised on behalf of the petitioner . The provisions of the regulation pur port to regulate trade in liquor in all its different spheres and are valid . 8 . The contention that the effect of some of these provisions is to enable Government to confer monopoly rights on one or more persons to the exclusion of others and that creation of such monopoly rights could not be sustained under Art . 19 ( 6 ) is again without force . Rel iance was placed on the decision in - Rash id Ahmad v . Municipal Board of K air ana , AIR 1950 SC 163 ( B ). That decision is no authority for the proposition contended for . Elim ination and exclusion from business is inherent in the nature of liquor business and it will hardly be proper to apply to such a business principles applicable to trades which all could carry . The provisions of the regulation cannot be attacked merely on the ground that they create a monopoly . Proper ly speaking , there can be a monopoly only when a trade which could be carried on by all persons is entrusted by law to one or more persons to the exclusion of the general public . Such , however , is not the case with the business of liquor . Reference in this connection may be made to the observations of Lord Porter in - Common - wealth of Australia v . Bank of New South Wales , 1950 AC 235 ( C ). This is what his Lords hip said : "" Yet about this as about every other proposition in this field a reservation must be made . For their Lords hips do not intend to lay it down that in no circumstances would exclusion of competition so as to create a monopoly either in a State or Commonwealth agency or in some other body be justified . Every case must be judged on its own facts and in its own setting of time ."" Further it seems to us that this argument suffers from a fallacy . Under",-0.7836689510473247,-51.284561308351094
"___the rules every member of the public who wishes to carry on trade in liquor is invited to make bids . This is the only method by which carrying on of liquor trade can be regulated . When the contract is thrown open to public auction , it cannot be said that there is exclusion of competition and thereby a monopoly is created . For all these reasons we are of opinion that the contention that the provisions of the regulation are unconstitutional as they ab rig e the rights of the petitioner to carry on liquor trade freely cannot be",-0.21536211986908116,-0.0803840771626692
sustained . 9 . The next contention that the charge of fee by public auction is excessive and is not in the nature of a fee but a tax ignores the fact that that licence fee described as a licence fee is more in the nature of a tax than a licence fee . One,-0.5575637445368153,-9.349665500466264
"___of the purposes of the regulation is to raise revenue . By the provisions of S . 24 , duties can be imposed on the manufacture , import , export , and transport of liquor and other exc isable articles . Revenue is also collected by the grant of contracts to carry on trade in liqu ors and these contracts are sold by auction . The grant ee is given a licence on payment of the auction price . The regulation specifically author ises this . It is not a fee levied without authority of law as was the situation in - AIR 1950 SC 163",0.3674528945520925,1.1623363160607831
"( B ) 10 . As regard the other content ions of the learned counsel , it is sufficient to say that if",-0.7951074364561392,-55.138191792907776
"___there has been any breach of the rules framed under the regulation by the officers concerned , the remedy for such breaches is provided for in the regulation itself . M ere irregularities committed in conducting an auction sale cannot be said to have ab rid ged the petition ers fundamental rights and so Art . 32 is not attracted . It is open to the petitioner under Article 226 to approach the High Court for a mand amus if the officers concerned have conducted themselves not in accordance with law or if they have acted in excess of their jurisdiction",-0.20594833543465185,-0.06428577349788962
