,importance,scaled_importance
"N . Raj ag op ala Ay yang ar , J . 1 . This appeal comes before us by virtue of a certificate of fitness granted by the Nag pur Bench of the High Court of Bombay under Articles 132 ( 1 ) and 133 ( 1 )( c ) of the Constitution . It arises out of a petition filed by the appellant under Article 226 of the Constitution before the High Court of Bombay at Nag pur imp ug ning the constitutional validity of certain notifications and directions issued under the Im ports and Ex ports ( Control ) Act , 1947 , and the Export Control Order , 1958 , framed there under and substantially prayed that the Joint Chief Controller of Im ports & Ex ports , Bombay imp le aded as the first respondent should be directed to consider the application of the appellant for the grant of a licence to enable him to export certain man gan ese ore which he had won from his mines , without reference to the imp ug ned notifications . This petition was dismissed by the learned Judges of the High Court who , however , granted the appellant a certificate which has enabled him to file this appeal . 2 . A few facts are necessary to be stated to appreciate the exact grievance of the petitioner and the grounds upon which the notifications etc . issued by Government are stated to contra ven e the Constitution and in particular to infring e the freedom granted to the appellant under Part III of the Constitution . The appellant is a les see of certain man gan ese mines in two areas of Mad hya Pradesh . The leases are stated to have been granted to him in the year 1953 for a period of 20 years each , with an option for renewal if the appellant so desired , under the Mineral Con cession Rules , 1949 , for a like period . It is an admitted fact that the internal demand for man gan ese ore in India is very incons ider able , so that the ore is extracted mostly for the purpose of being exported out of India . Having regard to the date when the appellant obtained the mining leases , he could not have won any appreci able quantity of the metal during 1953 , nor , of course , could he have exported any quantity of the ore won by him in or prior to the year 1953 . 3 . It is now necessary to set out the history of the restrictions on the export of man gan ese ore from 1953 up to the date relevant to the petition to understand the points sought to be made on behalf of the appellant . Prior to 1953 , i . e ., at a time before the appellant entered the man gan ese ore business , export of man gan ese ore was freely licensed , i . e ., the commodity was subject to no restriction as regards export , nor was any control exercised by Government on the allot ment of w agons for the movement of man gan ese ore . As the export of the ore began to expand from that date , the Rail ways found themselves unable to meet the increased demand for w agons and were forced to regulate the allot ment of such w agons . The Government also took a hand in regulating the movement of w agons by evolving a system of registration of sh ippers for whom priority in the allot ment of w agons was ensured . It has to be added that this regulation and control over wagon allot ment and wagon movement was co - ord inated with and correlated to certain changes which were effected for regulating the export of the commodity itself . 4 . Section 3 of the Im ports and Ex ports ( Control ) Act , 1947 ( to be referred hereafter as the Act ) en acts : -"" 3 . Powers to prohibit or restrict imports and exports . ( 1 ) The Central Government may , by under published in the Official Gazette , make provisions for prohibiting , restricting or otherwise controlling , in all cases or in specified classes of cases , and subject to such exceptions , if any , as may be made by or under the order : -( a ) the import , export , carriage coast wise or shipment as ships stores of goods of any specified description ; ( b ) the bringing into any port or place in India of goods or any specified description intended to be taken out of India without being reserved from the ship or convey ance in which they are being carried .( 2 ) All goods in which any order under sub - section ( 1 ) applies shall be deemed to be goods of which the import or export has been prohibited or restricted under Section 19 of the Sea Customs Act , 18 78 ( V III of 18 78 ) and all the provisions of that Act shall have effect accordingly , except that Section 183 thereof shall have effect as if for the word shall therein the word may were substituted .( 3 ) Notwithstanding anything contained the afore said Act , the Central Government may , by order published in the Official Gazette , prohibit , restrict or impose conditions on the clearance , whether for home consumption or for shipment abroad of any goods or class of goods imported into India ."" Under the powers conferred by this section the Central Government issue the Ex ports Control Order , 1958 ( or shortly the Control Order ), Clause 3 of which provided that "" no person shall export any goods of the description specified in Schedule I except under and in accordance with a licence granted by the Central Government or by any officer specified in Schedule II ."" Mang an ese and iron ore were specified in the First Schedule . Clause 6 of this order sets out the grounds upon which the Central Government or the Chief Controller of Ex ports and Im ports may refuse to grant a licence or direct a licensing authority not to grant a licence . In view of certain points urged before us it would be convenient to set out this clause in full : -"" 6 . Ref usal of licence . - The Central Government or the Chief Controller of Im ports and Ex ports may refuse to grant a licence or direct any other licensing authority not to grant a licence : -( a ) if the application for the licence does not conf ers to any provision of this Order ; ( b ) if such application contains any false or fraudulent or misleading statement ; ( c ) if the applicant uses in support of the application any document which is false or fabricated or which has been tempered with ; ( d ) if the applicant on any occasion has tempered with an export licence or has exported goods without a licence where it is necessary , or has been a party to any corrupt or fraudulent practice in his commercial dealings ; ( e ) if the application for an export licence is defective and does not conform to the prescribed rules ; ( f ) if the applicant commits a breach of the Export Trade Control Regulations ; ( g ) if the appellant is not eligible for a licence in accordance with the Export Trade Control Regulations ; ( h ) if the licensing authority decides to canal ise exports through special or specialized agencies or channels ; ( i ) if the applicant is a partner in a partnership firm , or a Director of a private limited company , which is for the time being subject to any action under Clause 8 ; ( j ) if the applicant is a partnership firm or a private limited company , any partner or Director where of , as the case may be , is for the time being subject to any action under Clause 8 ."" 5 . The first restriction on the export of man gan ese and iron ore was imposed in June , 1956 when the Ministry of Commerce and Industry issued a public notice on June 26 , 1956 , setting out their policy as regards export during the half year July to December , 1956 . After rec iting that the Government were convinced that the then existing trading mechanism as regards the export of o res was inadequate to code with the developments which had taken place in the purchasing countries , it went on to add that persons who entered into contracts with foreign buyers had been unable to fulfil their commitments which had caused inconvenience to foreign buyers and so undermined the lat ters confidence in the capacity of this country to maintain an assured line of supply . In order , therefore , to overcome the obstacle in the way of augment ing foreign exchange earnings from the expert of these o res , the Government declared that they would help in re orient ating the trading in o res on more rational lines and that for this purpose they proposed to canal ise the export of o res in a progressively increasing measure through the State Trading Corporation which would in its turn rely on the mining interests in the country and use the existing trade mechanism to the extent practicable . For these reasons , they announced that a regulation would take place of the expert of these o res during the half year July - December , 1956 through three classes of exp orters : -( 1 ) Est ablished sh ippers who would be granted export quotas on the average of the quantities exported during the years 1953 , 1954 and 1955 .( 2 ) Mine - owners based on a annual average of the quantity of ore on which royalty was paid during the calendar years 1953 , 1954 and 1955 , and ( 3 ) The State Trading Corporation which would be given a quota on an ad hoc basis . It is only necessary to mention that the State Trading Corporation which is a Corporation owned and controlled by the Union Government came into existence by registration under the Indian Companies Act in May , 1956 . Rail transport facilities co - ext ensive with the quota granted , were also assured for those to whom quotas were granted . There were clar ifications and unsub stantial variations of this Press Note to which , however , it is not necessary to refer as they are not material to the points now in controversy . 6 . It will be noticed that the control thus exercised and the restrictions thus imposed , mine - owners who had not entered the field before 1953 were excluded from the grant of any export quota . By a Public Notice dated September 4 , 1956 , the Ministry of Commerce , however , announced that the case of these "" new - com ers "" was receiving their attention and that an announcement in that regard would be made in due course . 7 . The same policy and the same basis of allocation was continued for the next half year January to June , 1957 . For the period July , 1957 to June , 1958 , ( the Government having now started pursuing the policy of announcing their quotas for a year instead of for six months ), a Press Note was issued on June 1 , 1957 , by which exp orters and mine - owners were allotted a quota equivalent to 60 per cent of their exports made in 1958 or 1956 to be selected by them . The quota thus released was made available for being allotted to the State Trading Corporation on an ad hoc basis and the Press Note added :"" The State Trading Corporation will be allotted in adequate quota to enable them to maxim ise the exports of man gan ese ore . The Corporation are being advised to seek the co - operation of established trading and mining interest to make this effort a success "". Here again , certain unsub stantial modifications were made by further Press Notes but to these we shall not refer . 8 . As regards the next period July 1958 to June 1959 , the policy - dec ision of the Government was indicated by a Public Notice issued on May 26 , 1958 . In the course of this Press - statement the Government of India stated that they had been keeping under constant review the working of the policy announced by them under the Press Notes to which we have already referred , and that they had come to the conclusion that the long - term interests of Indian Mang an ese ore would be better served if the export policy were to discourage fragmentation of quotas and encourage bulk contracting , movement , and shipment of o res . At the same time , the Government expressed their keen ness to maintain continuity in the export arrangements to the extent practicable . Having regard to these factors , they went on to state : "" Government have decided that for the period July , 1958 to June 1959 , the export of man gan ese ore will be regulated as follows :( i ) The established sh ippers , the mine - owners , exp orters and the State Trading Corporation will be given an allot ment of quota for a quantity equal to the quota for 1957 - 58 .( ii ) F irms and parties whose individual allot ments are small are advised to form co - operative or limited companies ."" At the date when the writ petition out of which this appeal arises was filed , the policy - statement of May 26 , 1958 , was in force and it was the validity of the restriction and control exercised by it that was challenged as unconstitutional in the petition filed by the appellant . The position at that date may be summar ised as follows : -( 1 ) From and after July , 1956 the export of man gan ese ore had been controlled or restricted .( 2 ) The restriction had taken the form of allot ment of quotas for export granted to : ( a ) established exp orters , i . e ., comprising the category of these who had exported from 1953 onwards , ( b ) mine - owners who had similarly exported the ore won by them with a similar limitation as to the year when they should have exported , and ( c ) The State Trading Corporation which was granted an export quota on an ad hoc basis to cover every other quantity which could be exported and for which a foreign market could be found . Trad ers and mine owners who had not any export performance to their credit in earlier years were excluded from the scheme and though the Government were repeatedly stating in their public statements that the case of these persons termed "" new - com ers "" would be considered , this had never been done . The appellant fell within the last category and was not eligible to any export quota and therefore could not export . The result was that the ore won by him had either to be sold ( a ) in the internal market which , as stated earlier , was a very restricted one , this because the steel producing concerns which were the principal or practically the only consumers of the ore in the country had their own mines from which the ore required by them was won , and ( b ) in the absence of an internal market the mines ore had to be sold either to established sh ippers or to the State Trading Corporation . In regard to established sh ippers , their quota of export was being progressively reduced , so that their demand for ore naturally shr ank and unrem uner ative price had therefore to be offered by the "" new - com ers "" to induce them to buy . The only other possible buyer was the State Trading Corporation which was being granted quotas on an ad hoc basis sufficient to enable it to get all the good ore which it might buy for which there might be a foreign buyer . In regard to the State Trading Corporation , there was an allegation made by the appellant , by reference to a circular issued by the Corporation on April 20 , 1957 , that the terms offered for the purchase of ore were unfair to the sellers because of the excessively large commission it demanded . It should , however , be stated that the State Trading Corporation was not imp le aded as a party in the writ petition in the High Court , nor any relief sought on the basis of that allegation . The circumstance was relied on merely to emphas ise the hardship caused to the appellant from the exclusion of those who had no expert performance in the years which were fixed as the basic years for the allot ment of an export quota to mine - owners . The State Trading Corporation being owned and controlled by the Central Government is an agency or instrument of Government for effect uating its commercial policy . If in the performance of its duties as such public authority it acts in any improper or unfair manner it would be subject to the control of the Courts but as no relief based on such a complaint was claimed by the appellant , it is not necessary to pursue the point or examine its merits . 9 . The case of the appellant has to be judged on the basis of two admitted features resulting from the policy statements of Government we have set out earlier : ( 1 ) That mine - owners who were "" new - com ers "", i . e ., not having export performance in certain basic years , were excluded from direct participation in the export trade , but these persons had , in view of the practical absence of an internal market for man gan ese ore to sell their goods to others who had been granted facility for export . ( 2 ) That the category of persons to whom they could sell their ore were two ( a ) Est ablished sh ippers , and ( b ) The State Trading Corporation , and with the nature of this market as already described . 10 . The question raised for consideration by the appeal is whether the withholding of the right to engage in export trade from this class of mine owners constitutes an unreasonable restriction on their right to carry on business guaranteed by Article 19 ( 1 )( g ) of the Constitution . 11 . Pa using here we might put aside one matter which is beyond the pale of controversy , and that is that the constitutional validity of Section 3 of the Im ports and Ex ports ( Control ) Act , 1947 , which forms as it were the ultimate root from which the imp ug ned notifications and executive actions spring is conceded . The points urged by the learned Counsel for the appellant were two : ( 1 ) Clause 6 ( h ) of Ex ports Control Order , 1958 , was beyond the rule - making power under Section 3 of the Im ports and Export ( Control ) Act , 1947 , ( 2 ) Even if Clause 6 ( h ) and the "" can al ising "" of exports through "" special "" or "" special ised "" agencies or channels be valid , the notifications by which the canal isation was effected are outside the contemplation of the agency or channel under Clause 6 ( h ). 12 . Before proceeding further it is necessary to mention that the constitutional validity of Clause 6 ( h ) of the Export Control Order , 1958 was not disputed before us , the controversy in relation to it having been concluded by the decision by this Court in Glass Chat ons Im por ters and Users Association v . Union of India AIR 1961 SC 15 14 . The argument in support of the contention that Clause 6 ( h ) was beyond the terms of Section 3 of the Act was briefly this : Section 3 of the Act by its language , its setting and context permits restrictions or controls only in regard to goods which are the subject matter of export and does not permit restrictions being imposed on persons engaged in the export trade . In other words , the Central Government is enabled by a notified order under Section 3 of the Act ( a ) to specify the goods in respect of which the control or restriction is to be exercised , along with ( b ) a matter which this necessarily involves , viz ., the quantities that may be exported , ( c ) the quality of the goods that might pass out of the country and ( d ) as regards the destination to which they might be exported . But the restrictions could not extend any further . An order under Section 3 cannot make provisions restricting the persons who might participate in export trade , restrict either their number or impose qualifications which they must satisfy before being permitted to export . Besides , even if a notified order might valid ly prescribe the persons who might participate in the export trade , still it did not author ise an order which would so canal ise or channel the persons who might engage in the export trade as practically to create a monopoly in favour of any particular person or group which is what Rule 6 ( h ) has effected . 13 . The argument was put in a slightly different form by reference to the provisions of Article 19 ( 6 ). Article 19 ( 1 )( g ), after guaranteeing to all citizens the right to carry on any occupation , trade or business , had gone on to provide in Clause ( 6 ) the restrictions which may constitutionally be imposed on the right thus guaranteed , and the clause as it now stands after the first Amendment of the Constitution reads , to quote the material words : "" Nothing in sub - cl ause ( g ) of the said clause shall affect the operation of any existing law insofar as it imposes , or prevent the State from making any law imposing , in the interests of the general public , reasonable restrictions on the exercise of the right conferred by the said sub - cl ause , and , in particular , nothing in the said sub - cl ause shall affect the operation of any existing law insofar as it relates to , or prevent the State from making any law relating to , - ( i ) .. ... ...... .. ... ...... ( ii ) the carrying on by the State , or by corporation owned or controlled by the State , of any trade , business , industry or service , whether to the exclusion , complete or partial , of citizens or otherwise "".",0.009149970944026127,58.747913188339645
"___The effect of the policy statements and directions to the licensing authorities issued by virtue of the powers conferred by Clause 6 ( h ) of the Ex ports Control Order , 1958 had resulted in the creation of a monopoly or a near monopoly in favour of the State Trading Corporation . It was urged that the creation of such a monopoly could on the language of Article 19 ( 6 )( ii ) be effected only by the State making a law in relation to the matters there set out . Neither the Ex ports and Im ports ( Control ) Act , 1947 nor even the notified order made there under - The Export Control Order , 1958 could be said to be "" a law relating to the carrying on by the State of any trade , business , industry or service "" and therefore the validity of the preferential treatment granted to the State Trading Corporation could not be justified or upheld by reference to the amendment effected to Clause ( 16 ) by the Constitution ( First Amendment ) Act , 1951 . So much could be",-0.004983440240669552,-31.99646386082527
"accepted . But this , however , leaves for consideration the question whether the provision now imp ug ned could not be sustained as "" a reasonable restriction "" on the exercise of the rights conferred by sub - cl ause ( g ) of Article 19 ( 1 ) in the interest of the general public i . e ., on the opening words of para 1 of Clause ( 6 ). But",0.0022295322501245315,14.314839673500227
"___as pointed out already , the constitutional validity of Clause 6 ( h ) insofar as it permits the canal ising or ch ann elling of the export trade is no longer res integ ra , this having been upheld in the Class Chat ons",-0.015574971854221069,-100.0
"case . 14 . In the circumstances , the very narrow question for consideration is whether the restrictions and control for which provision might be made by Section 3 would not include a provision for canal ising the trade in any particular commodity . We",-0.0021841132871082236,-14.02322461671925
"___are clearly of the opinion that the restriction or control in the form of ch ann elling or canal ising the trade is not outside the limitations which might be imposed on export trading by Section 3 and that consequently Clause 6 ( h ) in its present form is within the rule - making power conferred on the Central Government by Section 3 of the Act . The argument that the restrictions which could be imposed or the control which might be exercised on exports by orders made under Section 3 of the Act , could not extend to restrictions on persons who might be permitted to engage in the export trade has only to be stated . If the quantum of the export in a commodity could be restricted , the control that would effect uate this must necessarily extend to the persons engaged in or des ir ous of engaging in the export of that commodity and this would a fort ior i be so , if the restriction takes the form of a prohibition of exports in a commodity altogether . If therefore the control or restriction could legally extend to the persons who are engaged in the trade ; it would appear to follow as a logical step that the restriction might take the form of class ifying the persons who might participate in the trade and the conditions subject to which any particular class might be permitted to do so . It would be a matter of policy for the Government to determine , having regard to the nature of the commodity and the circumstances attending the export trade in it , to lay down the basis for the classification between groups and fix their relative priorities etc . When Clause 6 ( h ) permits "" can al ising "" or the "" ch ann elling "" of exports through selected agencies it does not no more than make provision for the classification into groups etc . which but one of the modes which the "" control "" under Section 3 of the Act might",-0.005996397273231028,-38.50021258051845
"assume . 15 . The next point to be considered is whether the notifications issued by which ( 1 ) the export trading in man gan ese ore is confined to three groups of persons engaged in the trade , viz ., ( a ) established sh ippers , ( b ) mine - owners and ( c ) the State Trading Corporation , the two former being allotted quotas based upon the export effected by them during certain basic years , ( 2 ) the progressive reduction in the quota of groups ( a ) & ( b ) with a view to enable the available export business to be handled by the State Trading Corporation , and ( 3 ) as a necessary result of the above the elimination from the export trade of the class known in the trade as "" new - com ers "" was permitted under Clause 6 ( h ) of the Export Control Order , 1958 . It would be seen from the above that there are two grievances of the appellant which are inter - related : ( 1 ) The first consists in the complaint regarding the quota allowed to the established sh ippers and mine - owners who had an export performance during a basic year . Learned",-0.007400535188088248,-47.515560588846796
"___Counsel however , did not put this forward as any serious grievance because persons falling within those already in the trade and the appellant who wants to come into the export trade could not legitimately object to those already in it being allowed facilities or licences for effect ing exports . In his petition before the High Court the appellant raised a complaint that the basic years fixed in the policy - statement were arbitrary but the fixation of any year must be so , and if the Government fixed as a basic year , a period three years before the announcement of the policy , i . e ., took into account performance within a period of three years before that date , we do not see any unre ason abl eness or arbit rar iness about it .",-0.009295054623778127,-59.679431274599814
( 2 ) It was in regard to the inclusion of the State Trading Corporation among those entitled to export and the increasing quota given to it on an ad hoc basis without reference to any ante ced ent performance that the main attack was directed and it was this that learned Counsel stated amounted to a monopoly which was not count en anced by the law . It will therefore be sufficient for us to conf ine attention to the grounds upon which the successive notifications which afforded increasing facilities to the State Trading Corporation for export were challenged . 16 .,-0.012686566312942012,-81.45482657487915
"___Pa using here it would be convenient if we set out the reasons why according to the respondent the State Trading Corporation was preferred as a principal agency for canal ising the export trade in this commodity . The vital necessity of export earnings for sustaining national economy not being a matter of controversy , the question which the Government had to consider was how best to ensure the optimum earning from exports of man gan ese ore . India has no monopoly in the production of this ore and consequently the price of the commodity in the foreign market is dependent on world - wide factors . Having regard to the use to which the ore is capable of being put , viz ., by steel factories in the production of steel , the foreign buyers , ( and in this one factor to be taken into account is that in several foreign countries external trade is conducted through State agencies ), are ins istent that there shall be a regular supply of ore of uniform quality . There had been complaints in early years , when the trade in the commodity was unrestricted and not under any control , that the quality of the ore supplied was not according to sample , with the result that even the trade of those who took pains to maintain their quality of supplies suffered . It was in these circumstances that Government stepped in 1956 by imposing restrictions and by ass uring the foreign buyers of a regular supply through the mechanism of the controls exercised in this country . These facts were not",-0.0054062211792446895,-34.710953123035765
