,importance,scaled_importance
"Sin ha ,  J . 1 .  This  appeal  by  special  leave  is  directed  against  the  majority  judgment  and  order  of  the  Election  Tribunal  of  Pat ial a ,  dated  August  26 ,  1955 ,  declaring  the  two  appell ants  election  to  be  void  on  account  of  the  improper  rejection  of  the  nomination  paper  of  But a  Singh ,  respondent  18 . 2 .  In  order  to  appreciate  the  arguments  raised  on  behalf  of  the  appell ants  it  is  necessary  to  state  the  following  facts :  The  appell ants  and  respondents  2  to  18  filed  their  nomination  papers  on  January  9 ,  1954 ,  for  election  from  a  double  member  constituency  of  Sam ana  to  the  Pep su  Legislative  Assembly .  Of  the  two  seats ,  one  was  reserved  for  the  Schedule  C aste  and  the  other  was  a  general  constituency .  Sc r ut iny  of  the  nomination  papers  by  the  Returning  Officer  took  place  on  January  13 ,  1954 .  The  Returning  Officer  accepted  all  the  nomination  papers  except  that  of  But a  Singh  afore said  on  the  ground  that  the  thumb  impressions  of  the  propos er  and  the  second er  had  not  been  att ested  by  an  officer  in  accordance  with  the  Election  Rules .  Poll ing  took  place  on  February  24 ,  1954 ,  and  the  results  announced  in  the  Pep su  Gazette  on  March  4 ,  1954 .  The  results  thus  announced  showed  that  the  first  App ell ant ,  Sure ndra  Nath  Kh os la ,  had  obtained  13 , 8 53  votes  in  the  general  constituency  and  the  second  appellant ,  P rit am  Singh ,  had  polled  13 , 663  votes  for  the  reserved  seat .  They  having  secured  the  largest  number  of  votes  from  their  respective  constituencies  were  declared  to  have  been  duly  elected .  The  other  candidates  got  smaller  number  of  votes  which  it  is  not  necessary  to  set  out  here .  But a  Singh  afore said ,  whose  nomination  paper  had  been  rejected  by  the  Returning  Officer ,  did  not  take  any  further  steps .  But  Dal ip  Singh ,  the  first  respondent ,  filed  an  election  petition  with  the  Election  Commission ,  res pt .  19 .  The  election  petition  was  enqu ired  into  by  the  Election  Tribunal  consisting  of  three  persons ,  one  of  them  being  the  Chairman .  A  number  of  issues  were  joined  between  the  parties .  The  Chairman  and  another  member  of  the  Tribunal  decided  the  material  issues  1  and  4  in  favour  of  the  first  respondent ,  to  the  effect  that  the  18 th  res pt .  had  been  duly  proposed  and  second ed ,  that  the  Returning  Officer  had  wrongly  rejected  his  nomination  paper  and  that  as  a  result  of  that  rejection  the  result  of  the  election  as  a  whole  had  been  materially  affected .  On  those  findings  they  declared  the  election  void  as  whole  and  set  aside  the  election  of  the  appell ants .  The  third  member  of  the  Tribunal ,  while  agreeing  with  the  majority  in  their  judgment  on  the  other  issues ,  disagreed  with  them  on  the  most  material  issue  in  the  case ,  namely ,  issue  4 ,  and  held  that  the  first  respondent  had  failed  to  prove  that  the  wrong  rejection  of  the  nomination  paper  of  the  18 th  respondent  had  materially  affected  the  result  of  the  election .  The  appell ants  moved  this  Court  and  obtained  special  leave  to  appeal  from  the  majority  judgment  declaring  the  election  to  be  void  as  a  whole . 3 .  The  appeal  was  first  placed  for  hearing  before  a  Division  Bench  of  three  Judges  on  March  23 ,  1956 .  That  Bench  directed  that  the  papers  be  laid  before  the  Hon ble  the  Chief  Justice  for  having  the  case  heard  by  a  larger  Bench  because  in  their  view  the  case  raised  a  difficult  and  important  point  about  election  law .  They  made  reference  to  the  full  Court  decision  in  Har i  Vish nu  Kam ath  v .  Sy ed  Ahmad  Is ha que ,  1955 - 1  SC R  110 4  :  (( S )  AIR  1955  SC  233  )  ( A ),  which  upheld  the  earlier  decision  of  this  Court  in  V ash ish t  Nar ain  Sharma  v .  De y  Chandra ,  1955 - 1  SC R  50 9  :  ( AIR  1954  SC  5 13  )  ( B )  as  authorities  for  the  proposition  that  the  burden  of  proof  is  on  the  person  who  seeks  to  challenge  the  election  and  that  he  must  prove  that  the  result  of  the  election  has  been  materially  affected  by  the  improper  rejection  of  the  nomination  paper .  They  indicated  the  difficulty  of  dis charging  such  a  burden  unless  some  sort  of  presumption  was  called  in  aid  of  the  petitioner  who  sought  to  have  the  election  set  aside . 4 .  In  this  Court  learned  counsel  for  the  appell ants  has  raised  three  questions  for  our  determination :  ( 1 )  That  the  first  issue  had  been  wrongly  determined  by  the  Election  Tribunal  and  that  it  should  have  been  held  that  the  thumb  impressions  of  the  propos er  and  second er  of  the  respondent  had  not  been  properly  verified  according  to  the  Election  Rules  and  that  therefore  the  rejection  of  the  nomination  paper  by  the  Returning  Officer  was  justified  by  law .  ( 2 )  Assuming  that  the  nomination  paper  had  been  wrongly  rejected ,  the  fourth  issue  had  been  wrongly  decided  by  the  majority  in  so  far  as  it  held  that  there  was  a  presumption  that  the  wrong  rejection  of  the  nomination  had  the  necessary  result  of  materially  affecting  the  election  and  that  the  evidence  led  on  behalf  of  the  appell ants  had  not  reb ut ted  that  presumption .  It  was  further  contended  that  the  minority  judgment  on  issue  No .  4  to  the  effect  that  it  was  for  the  first  respondent ,  who  sought  to  have  the  election  set  aside ,  to  prove  that  the  result  of  the  election  had  been  materially  affected  on  account  of  the  wrong  rejection  of  the  nomination  paper  of  the  18 th  respondent  was  correct ,  and  that  he  had  failed  to  establish  that  by  evidence .  ( 3 )  That  in  any  case ,  the  election  of  the  second  appellant  in  respect  of  the  reserved  seat  should  not  have  been  set  aside . 5 .  The  first  issue  is  in  these  terms :"" Whether  respondent  No .  19  ( Res pt .  No .  18  in  this  Court )  was  duly  proposed  and  second ed  and ,  thumb  impressions  of  the  propos er  and  the  second er  on  his  nomination  paper  were  att ested  in  accordance  with  law ?"" The  Tribunal  took  the  view  that  as  a  matter  of  fact  the  respondent  But a  Singh  had  been  duly  proposed  and  second ed .  The  learned  counsel  for  the  appell ants  did  not  challenge  that  finding  of  fact .  But  he  contended  that  the  further  finding  of  the  Tribunal  that  the  thumb  impressions  of  the  propos er  and  the  second er  on  the  nomination  paper  had  been  att ested  in  accordance  with  law  is  erroneous .  As  to  the  regular ity  of  the  att estation ,  the  matter  depends  upon  the  rules  framed  under  the  provisions  of  the  Represent ation  of  the  People  Act ,  XL III  of  1951  ( here ina fter  referred  to  as  the  Act ),  particularly  Rule  2 ( 2 ),  which  is  in  these  terms :"" For  the  purposes  of  the  Act  or  these  rules ,  a  person  who  is  unable  to  write  his  name  shall ,  unless  otherwise  expressly  provided  in  these  rules ,  he  deemed  to  have  signed  an  instrument  or  other  paper  if  he  had  placed  a  mark  on  such  instrument  or  other  paper  in  the  presence  of  the  Returning  Officer  or  the  presiding  officer  or  such  other  officer  as  may  be  specified  in  this  behalf  by  the  Election  Commission  and  such  officer  on  being  satisfied  as  to  his  identity  has  att ested  the  mark  as  being  the  mark  of  such  person ."" In  this  case  the  nomination  had  been  att ested  by  a  local  Mag istrate  and  the  Tribunal  after  referring  to  the  relevant  evidence  has  recorded  the  finding  that  that  Mag istrate  had  been  specified  by  the  Election  Commission  in  that  behalf .  The  question ,  therefore ,  is  essentially  one  of  fact .  But  the  learned  Counsel  for  the  appell ants  contended  that ,  as  found  by  the  Tribunal ,  there  had  been  a  mistake  of  o mm ission  in  the  communication  from  the  Election  Commission  to  the  local  election  officer  and  that  such  a  mistake ,  cler ical  or  accidental  though  it  may  have  been  has  the  effect  of  rendering  the  att estation  unacceptable . ",2.877087207988573e-06,0.25468701510397423
"___We  are  not  prepared  to  acc ede  to  that  contention  as  sound  in  principle .  The  Tribunal  having  found  as  a  fact  that  the  persons  whose  thumb  impressions  the  nomination  paper  purported  to  bear  had  really  proposed  and  second ed  the  candidate  and  that  those  thumb  impression  had  been  att ested  by  a  Mag istrate  who  had  in  fact  been  authorised  in  that  behalf ,  there  is  no  room  for  the  contention  that  the  Returning  Officer  was  justified  in  rejecting  the  nomination  paper  in  question .  The  first  ground  of  attack  therefore ",-0.00023707361303756735,-20.986354079501528
"fails . 6 .  The  second  ground  of  attack  is  based  on  issue  No .  4 ,  which  is  in  these  terms :"" Whether  the  rejection  of  the  nomination  paper  of  res pt .  No . 19  ( res pt .  No .  18 ,  in  this  Court )  had  materially  affected  the  result  of  the  election ."" On  this  issue  the  majority  of  the  Tribunal  took  the  view  that  in  a  case  where  a  nomination  paper  had  been  improperly  rejected  there  is  a  strong  presumption  that  the  result  of  the  election  had  been  materially  affected .  It  referred  to  a  large  number  of  decisions  of  different  Election  Trib un als  both  before  and  after  the  enactment  of  the  Act  to  show  that  the  view  taken  in  most  of  the  decisions  was  that  in  a  case  like  this  there  was  a  presumption  in  favour  of  holding  that  the  result  of  the  election  had  been  materially  affected  and  that  the  burden  lay  on  the  person  seeking  to  uphold  the  election  to  prove  the  contrary .  They  gave  effect  to  that  presumption  and  held  that  the  evidence  ad du ced  by  the  appell ants  ( then  respondents )  did  not  reb ut  that  presumption .  The  learned  counsel  for  the  appell ants  invited  our  attention  to  the  words  of  the  statute .  Section  100 ( 1 )( c )  is  in  these  terms :"" If  the  Tribunal  is  of  opinion - ................................................................ ..... ( c )  that  the  result  of  the  election  has  been  materially  affected  by  the .  improper  acceptance  or  rejection  of  any  nomination ,  the  Tribunal  shall  declare  the  election  to  be  wholly  void ."" He  argued  that  the  legislature  has  placed  "" impro per  acceptance ""  and  "" impro per  rejection ""  of  a  nomination  paper  on  the  same  footing ,  and  the  condition  precedent  to  the  declaration  of  an  election  to  be  void  is  that  the  Tribunal  should  be  satisfied  not  only  that  there  has  been  an  improper  rejection  of  a  nomination  paper  but  also  that  that  improper  rejection  had  materially  affected  the  result  of  the  election ,  ( conf ining  the  provisions  of  the  statute  to  the  facts  of  the  present  case ).  Rel iance  was  also  placed  by  him  on  the  two  decisions  of  this  Court ,  namely ,  V ash ish t  Nar ain  Sharma  v .  Dev  Chandra ,  ( B )  ( sup ra )  and  Har i  Vish nu  Kam ath  v .  Sy ed  Ahmad  Is ha que  ( A )  ( sup ra )  in  support  of  the  proposition  that  the  two  conditions  are  cumulative  and  must  both  be  established  and  that  the  burden  of  establishing  them  is  on  the  person  who  seeks  to  have  the  election  set  aside .  He  also  relied  upon  the  terms  of  S .  90 ( 3 )  of  the  Act  to  the  effect  that  the  provisions  of  the  Evidence  Act  shall  subject  to  the  provisions  of  the  Act ,  be  deemed  to  apply  in  all  respects  to  the  trial  of  an  election  petition .  The  contention  further  is  that  S s .  101  and  102  of  the  Evidence  Act  must  therefore  apply  and  the  burden  must  be  cast  on  the  petitioner  before  the  Tribunal  to  establish  both  the  conditions  before  any  relief  could  be  granted  to  him .  In ",-4.8724143711481195e-05,-4.313184074128179
"___our  opinion ,  that  argument  does  not  advance  the  case  of  the  appell ants  any  more  than  what  had  been  laid  down  by  this  Court  in  the  cases  referred  to  above .  The  other  provisions  of  the  Evidence  Act  including  the  rules  of  presumption  must  also  be  equally  applicable .  But  neither  of  the  two  cases  referred  to  above  directly  applies  to  the  facts  of  the  present  case  which  is  one  of  improper  rejection  of  nomination ",-0.0011296560238118233,-100.0
"paper .  A  Division  Bench  of  this  Court  has  laid  down  in  the  case  of  Chatt urb hu j  V ith ald as  Jas ani  v .  More sh war  Par ash ram ,  1954  SC R  8 17  at  p . 8 42 :  ( AIR  1954  SC  236  at  p .  245 )  ( C )  that  the  improper  rejection  of  a  nomination  paper  "" aff ect s  the  whole  election "".  A  similar  view  was  taken  in  the  case  of  Karn ail  Singh  v .  Election  Tribunal ,  H iss ar ,  10  Ele c  LR  189  ( SC )  ( D ),  by  a  Bench  of  five  Judges  of  this  Court .  But ,  as  pointed  out  on  behalf  of  the  appell ants ,  in  neither  of  those  two  cases  the  relevant  provisions  of  the  Act  have  been  discussed . It ",2.101309141246003e-05,1.8601318427493612
"___appears  that  though  the  words  of  the  section  are  in  general  terms  with  equal  application  to  the  case  of  improper  acceptance ,  as  also  of  improper  rejection  of  a  nomination  paper ,  case  law  has  made  a  distinction  between  the  two  classes  of  cases .  So  far  as  the  latter  class  of  cases  is  concerned ,  it  may  be  pointed  out  that  almost  all  the  Election  Trib un als  in  the  country  have  consistently  taken  the  view  that  there  is  a  presumption  in  the  case  of  improper  rejection  of  a  nomination  paper  that  it  has  materially  affected  the  result  of  the  election .  Apart  from  the  practical  difficulty ,  almost  the  impossibility ,  of  demonstrating  that  the  electors  would  have  cast  their  votes  in  a  particular  way ,  that  is  to  say ,  that  a  substantial  number  of  them  would  have  cast  their  votes  in  favour  of  the  rejected  candidate ,  the  fact  that  one  of  several  candidates  for  an  election  had  been  kept  out  of  the  arena  is  by  itself  a  very  material  consideration .  Cases  can  easily  be  imagined  where  the  most  desirable  candidate  from  the  point  of  view  of  electors  and  the  most  formidable  candidate  from  the  point  of  view  of  the  other  candidates  may  have  been  wrongly  kept  out  from  seeking  election .  By  keeping  out  such  a  desirable  candidate ,  the  officer  rejecting  the  nomination  paper  may  have  prevented  the  electors  from  voting  for  the  best  candidate  available .  On  the  other  hand ,  in  the  case  of  an  improper  acceptance  of  a  nomination  paper ,  proof  may  easily  be  forthcoming  to  demonstrate  that  the  coming  into  the  arena  of  an  additional  candidate  has  not  had  any  effect  on  the  election  of  the  best  candidate  in  the  field .  The  conjecture  therefore  is  permissible  that  the  legislature  real ising  the  difference  between  the  two  classes  of  cases  has  given  legislative  sanction  to  the  view  by  am ending  S .  100  by  the  Represent ation  of  the  People  ( Second  Amendment )  Act ,  27  of  1956 ,  and  by  going  to  the  length  of  providing  that  an  improper  rejection  of  any  nomination  paper  is  conclusive  proof  of  the  election  being  void .  For  the  reasons  afore said ,  in  our  opinion ,  the  majority  decision  on  the  fourth  issue  is  also ",7.154133360591694e-05,6.333019264086552
"correct . 7 .  Alternatively ,  it  was  argued  by  the  learned  counsel  for  the  appell ants  that  if  there  was  such  a  presumption ,  it  was  a  reb ut table  one  and  the  Tribunal  should  have  held  that  the  evidence  ad du ced  by  the  appell ants  had  reb ut ted  that  presumption . He  proposed  to  take  us  through  the  oral  evidence  ad du ced  by  them .  But ",-0.00014370351542241833,-12.720997577432144
___we  refused  to  go  into  that  evidence  for  the  simple  reasons  that  this  Court  in  an  appeal  by  special  leave  does  not  ordinarily  reopen  findings  of  fact  recorded  by  a  competent  tribunal .  It  must  therefore  be  held  that  the  Tribunal  was  justified  in  coming  to  the  conclusion  that  the  result  of  the  election  had  been  materially  affected  by  the  improper  rejection  of  the  nomination  in ,-0.00024753900733369985,-21.912777174278546
"question . 8 .  Lastly  it  was  urged  that  assuming  that  the  Tribunal  was  justified  in  declaring  the  election  to  be  void  so  far  as  the  general  seat  was  concerned ,  there  was  no  reason  to  set  aside  the  election  as  a  whole  and  that  therefore  the  election  of  the  second  appellant  should  not  have  been  set  aside .  But ",-0.00031446073512866673,-27.836857282234895
"___S .  100  in  terms  provides  that  if  the  Tribunal  was  of  the  opinion ,  as  it  was  in  this  case ,  that  the  result  of  the  election  had  been  materially  affected  by  the  improper  rejection  of  the  nomination  paper ,  "" The  Tribunal  shall  declare  the  election  to  be  wholly  void "".  The  election  in  this  case  was  in  respect  of  a  double  seat  constituency  and  was  one  integral  whole .  If  it  had  to  be  declared  void ,  the  Tribunal  was  justified  in  setting  aside  the  election  as  a  whole .",-0.0005062307555308098,-44.812823094823514
