,importance,scaled_importance
"Ab h ay Man oh ar Sap re , J . 1 . Leave granted in the special leave petitions . 2 . These appeals are directed against the common final judgments and orders dated 22 . 12 . 2015 , 22 . 03 . 2016 and 03 . 05 . 2016 passed by the High Court of Punjab and H ary ana at Chand ig ar h in R . F . A . Nos . 53 00 , 280 7 - 280 9 , 280 6 , 4 762 , 47 64 , 4 756 , 375 1 , 375 9 , 37 60 , 37 66 , 37 68 , 3 776 , 3 777 , 3 785 , 37 88 , 379 4 , 3 798 , 38 00 , 3 805 , 48 39 , 48 41 , 48 42 , 48 43 , 48 44 , 7 299 , 8 756 , 48 40 , 48 46 , 48 38 , 37 67 , 4 757 , 4 752 , 47 46 , 47 44 , 73 23 , 15 15 , 4 753 , 59 80 , 475 1 , 47 45 , 480 9 , 25 49 , 25 48 , 59 10 , 48 10 , 4 754 , 59 11 , 59 13 , 59 12 , 6 307 , 6 283 , 55 42 , 59 08 , 47 47 , 47 60 , 4 758 , 4 763 , 4 759 , 6 308 , 6 309 , 47 48 , 47 49 , 4 755 , 6 306 , 59 09 , 3 999 / 2014 , 314 & 8 09 / 2015 , 36 00 , 27 79 , 47 50 , 376 2 , 37 67 , 379 1 , 379 2 , 3 795 , 3 797 , 38 01 , 48 37 , 48 38 , 48 40 , 48 45 , 48 46 , 4 771 , 47 66 , 47 67 , 27 78 , 280 8 , 29 40 , 29 41 , 29 42 , 29 43 , 29 45 , 29 46 , 30 85 , 3 120 , 3 121 , 3 997 , 3 998 , 4000 , 400 1 , 400 3 , 5 226 , 72 14 , 4 264 , 7 253 , 39 88 , 25 47 , 4 263 , 15 16 , 27 71 , 27 72 , 27 73 , 27 74 , 27 75 , 27 77 , 3 687 , 4 307 , 44 16 , 44 17 , 44 18 , 44 19 , 44 21 , 27 76 , 27 78 & 480 8 / 2014 whereby the High Court while dispos ing of the said appeals partly allowed the appeals and upheld the awards of the Land Acquisition Officer insofar as it relates to assessment of compensation @ Rs . 33 , 00 , 000 /- per acre for the land up to the depth of 2 acres in Saf idon - J ind Road , Saf idon bye - pass and G air Mum kin kind of land whereas it enhanced the compensation from Rs . 18 , 00 , 000 /- per acre to Rs . 24 , 75 , 000 /- per acre from for the land beyond 2 acres . 3 . Facts of the case are taken from C . A . No . 28 46 of 2017 ( B ij ender & Or s . v . State of H ary ana & An r .) need mention , in detail , to appreciate the controversy involved in these appeals . 4 . The land of the appell ants measuring 18 362 sq . y ds . equivalent to 30 kan al 07 mar la being 112 2 / 37 / 15 share out of total acquired land measuring 100 kan al 11 mar la from the total land measuring 185 kan al 15 mar la of k hew at No . 13 96 kh ata nos . 16 58 and 16 59 revenue estate of Saf idon , situated at a village Sa if don , District J ind , H ary ana was acquired . The land was acquired for the development and utilization of commercial and residential for H U DA Sect ors 7 , 8 and 9 in Saf idon City in Dist t . J ind vide three Not ifications . Along with the land of the appell ants , the State also acquired land belonging to several landowners alike the appell ants . 5 . Notification bearing No . L AC ( H )- 2007 - NT LA / 376 on 23 . 08 . 2007 under Section 4 of the Land Acquisition Act , 18 94 ( here ina fter referred to as the "" the Act "") was issued for the acquisition of 142 acres of land in village Singh p ura , for public purpose , namely , for the development of residential , commercial Sector 7 , Saf idon . 6 . Notification bearing No . L AC ( H )- 2007 - NT LA / 379 on 23 . 08 . 2007 under Section 4 of the Act was issued for the acquisition of 249 . 49 acres land in villages Saf idon , Singh p ura , Ramp ura , R atta K her a and K her a K hem aw ati for public purpose , namely , for the development of residential , commercial sector 8 at Saf idon . 7 . Notification bearing No . L AC ( H )- 2007 - NT LA / 382 on 23 . 08 . 2007 under Section 4 of the Act was issued for the acquisition of 167 . 79 acres of land in village Saf idon , K her a K hem aw ati for the public purpose , namely , for the development of residential and commercial sector 9 at Saf idon . 8 . The said notifications were published in the newspapers . The objections to the said notifications were also invited . However , the objections filed by the landowners were rejected by Collector finding no merit therein under Section 5 A of the Act . 9 . This was followed by 3 declarations made and published under Section 6 of the Act on 21 . 08 . 2008 bearing No . L AC ( H )- 2008 - NT LA / 423 in respect of the land measuring 74 . 10 acres of land in village Singh p ura , L AC ( H )- 2008 - NT LA / 426 in respect of the land measuring 199 . 57 acres of land in village Saf idon , Singh p ura , Ramp ura , R atta K her a and K her a K hem aw ati and L AC ( H )- 2008 - NT LA / 429 in respect of the land measuring 150 . 97 acres in village Saf idon and K her a K hem aw ati . 10 . The Collector held an enqu iry . He applied the Bel ting System for determining the market rate of land and , accordingly , classified the land in parts . On 19 . 08 . 2010 , the Collector passed 3 Awards . By Award No . 3 in respect of the land in village Singh p ura , the Land Acquisition Officer awarded compensation @ Rs . 33 l acs per acre for the land up to the depth of 2 acres from Saf idon - J ind Road and Saf idon Bye - Pass Road and G air Mum kin and for the land classified as "" Ne h ri , Ch ahi "", he awarded Rs . 18 l acs per acre . The landowners were also awarded 30 % sol at ium and additional amount @ 12 % per ann um from the date of notification under Section 4 of the Act till the Award as provided under Section 23 of the Act . 11 . By Award No . 4 in respect of the acquisition of land in village Saf idon , Singh p ura , Ramp ura , R atta K her a and K her a K hem aw ati , the Land Acquisition Officer awarded compensation @ Rs . 33 l acs per acre for the land up to the depth of 2 acres from Saf idon - J ind Road and Saf idon Bye - Pass Road and G air Mum kin and @ Rs . 18 l acs per acre for "" Ne h ri , Ch ahi "" Land . The landowners were also awarded 30 % Sol at ium and additional amount @ 12 % p . a . from the date of notification under Section 4 of the Act till the award as provided under Section 23 of the Act . 12 . By Award No . 5 in respect of acquisition of land in village Saf idon and K her a K hem aw ati , the Land Acquisition Officer awarded compensation @ Rs . 33 l acs per acre for the land upt o the depth of 2 acres from Saf idon - J ind Road and Saf idon Bye - pass Road and G air Mum kin and Rs . 18 l acs per acre for "" Ne h ri , Ch ahi "" land . The landowners were also awarded 30 % Sol at ium and additional amount @ 12 % p . a . from the date of notification under Section 4 of the Act till the Award as provided under Section 23 of the Act . 13 . Being dissatisfied with the Awards , the landowners filed Reference Pet itions under Section 18 of the Act before the Additional District Judge , J ind praying for enhancement of the compensation cont ending inter al ia that the market value of the land at the time of acquisition was much higher than what was offered by the Collector in his Awards . According to the appell ants ( land owners ), the market value was to the tune of Rs . 5000 /- per sq . y ds . 14 . The Additional District Judge by its common Award dated 17 . 12 . 2013 dismissed all 305 reference petitions and , in consequence , upheld the Awards passed by the Collector . In other words , the Reference Court was of the view that the rate at which the compensation was determined by the Collector by applying the Bel ting System in working out the compensation was just and proper and as per Section 23 of the Act . The Reference Court , therefore , did not enhance the compensation awarded by the Collector . All the reference petitions were accordingly dismissed . 15 . Agg rieved by the said Awards , the landowners filed separate Regular First Appeals before the High Court praying for enhancement of the compensation . 16 . By imp ug ned judgments dated 22 . 12 . 2015 , 22 . 03 . 2016 and 03 . 05 . 2016 , the High Court partly allowed the appeals . The High Court held that the Awards of the Collector assessing compensation @ Rs . 33 l acs per acre for the land up to the depth of 2 acres on Saf idon J ind Road , Saf idon bye - Pass road does not call for any interference and hence they were upheld . However , so far as the other category of land ( Ne h ri , Ch ahi ) beyond 2 acres from the road was concerned , the High Court modified the Award and enhanced the compensation from Rs . 18 l acs to Rs . 24 , 75 , 000 /- per acre . The High Court determined the market rate at Rs . 48 , 40 , 000 /- per acre and then reducing by 33 % worked out to Rs . 32 , 42 , 800 /- per acre , i . e ., Rs . 33 , 00 , 000 /- per acre so far as Saf idon - J ind land was concerned . So far as other land for which the Collector had awarded Rs . 18 l acs per acre , the High Court deducted 25 % and thus worked out to Rs . 24 , 75 , 000 /- per acre . 17 . Agg rieved by the said judgments , the landowners have filed these appeals by way of special leave before this Court . 18 . Heard learned counsel for the parties . 19 . Learned counsel appearing for the appell ants ( land owners ) while ass ailing the legality and correctness of the imp ug ned judgments mainly argued three points . 20 . In the first place , learned counsel argued that the High Court having accepted in principle that the acquired land is a developed land and has potential ity in all respects coupled with the fact that it is surrounded by upcoming activities in any town er red in not properly determining the market value of the land as required under Section 23 of the Act read with law laid down by this Court in several cases . 21 . In the second place , learned counsel argued that the appell ants ( land owners ) had filed as many as 59 Sale deeds of the adjacent and nearby areas having a similar quality of land alike the acquired land before the Reference Court . Learned counsel urged that out of 59 sale deeds , two pieces of land were sold at the rate of Rs . 4 , 500 /- per square yard whereas remaining lands were also sold at different rates ranging between Rs . 200 /- to Rs . 4 , 500 /- per square yard . 22 . It was , therefore , his submission that since the highest rate in the comparable sales is usually preferred for determining the market value of the acquired land , the High Court should have taken Rs . 4 , 500 /- per square yard to be the basis for determining the market value of the acquired land . 23 . In the third place , learned counsel argued that the Collector , Reference Court and the High Court er red in applying the Bel ting System for determining the market value of the acquired land which , according to learned counsel , wrongly resulted in class ifying the acquired land in two parts and , in consequence , resulted in applying two rates for two parcels of the lands . One rate was for the land which is ab ut ting the main road , whose rate was more as compared to the other land , and the land which is in interior from the main road , whose rate was less . 24 . It was his submission that the Collector and the Reference Court failed to give any just ifiable reasons as to why they choose to apply the Bel ting System for determining the market value of the acquired land . Similarly , according to learned counsel , the High Court also did not deal with this issue though raised by the appell ants before the High Court in their appeals . 25 . In reply , learned counsel for the respondent ( State ) supported the imp ug ned judgments and contended that the market value of the acquired land determined by the High Court which resulted in partially enhancing the rate in relation to one class of land which is in interior from Rs . 18 l acs to Rs . 24 , 75 , 000 /- per acre , is just and proper and does not call for any further enhancement and nor the other class of land ( Rs . 33 , 00 , 000 /- per acre ) calls for any further enhancement and the same was rightly upheld by the High Court . 26 . Learned counsel then pointed out several inf irm ities in the 59 comparable sale deeds relied on by the appell ants and contended that these sale deeds should not be relied on for determining the market rate of the acquired land for the following reasons . 27 . First , all the 59 sale deeds per tained to very small pieces of land wherein the lands were sold in square yards , whereas the acquired land in question is very large and measures in acres ( around 300 acres or so ). In other words , according to learned counsel , there is no comparison between the lands , which is the subject matter of the sale deeds relied on by the appell ants ( claim ants ), and the acquired land in question . 28 . Second , some claimants , whose lands were acquired in these acquisition proceedings , had sold their part of the acquired lands in very small measures few months before the date of acquisition only with an intention to create evidence so that they may get the compensation for their acquired land at the same rate at which they sold their land . 29 . In other words , according to the learned counsel , such sales could not be regarded as genuine sales between the seller and the buyer and were , in fact , the bogus sales brought into existence with a sole purpose to claim more compensation for their acquired lands . 30 . Learned counsel , last ly , contended that there is no case made out by the appell ants ( land owners ) to question the Bel ting System applied by the Courts below for determining the market rates of the acquired land in asm uch as having regard to the nature of the land and other factors , the Bel ting System was properly applied . Learned counsel , therefore , contended that the imp ug ned judgments deserve to be upheld calling no interference .",0.07126560604991661,0.0003315237141423997
"___31 . Having heard the learned counsel for the parties and on per usal of the record of the case , we are inclined to allow the appeals in part and , in consequence , modify the imp ug ned judgments by partially enhancing the compensation payable to the appell ants for their acquired land to the extent indicated below .",0.17981995270914197,0.03390814885053008
"32 . Coming first to the question as to whether the Courts below were justified in applying the "" Bel ting System "" for determining the market rates of the acquired land in question ? 33 .",0.46024405903353927,3.7243941982371767
"___We are of the considered opinion that keeping in view the nature , extent , size , surrounding and location of the acquired land , the Courts below were justified in applying Bel ting System for determining the market rate of the acquired land . 34 . One cannot dispute that the Bel ting System is a jud ic ially accepted method for determining the fair market value of the acquired land . It is applied in appropriate cases when different parcels of lands with different survey numbers belonging to different owners and having different locations are acquired which put together comprises of a large chunk of land . Such chunk cannot be taken as a compact block . 35 . The acquired land having a front age ab ut ting the highway / main road always has a better value as compared to the land , which is away from the highway / main road . Indeed , farther the land from the highway / main road , lesser the value of such land . In such a situation , where large pieces of land having different locations are acquired , Bel ting System is considered app osite for determining the market value of the lands .",-0.3761100090407963,-1.3573415402634348
"( see - Union of India & Or s . v . Mang atu Ram & Or s . 1997 ( 3 ) R . C . R .( Civil ) 342 : 1997 ( 6 ) S CC 59 and And hra Pradesh Industrial Infrastructure Corporation Limited v . G . Moh an Red dy & Or s . 2010 ( 15 ) S CC 412 ). 36 . In Bel ting System , the acquired land is usually divided in two or three belts depending upon the facts of each case . The market value of the front belt ab ut ting the main road is taken to fetch maximum value whereas the second belt fet ches two third or so of the rate determined in relation to the first belt and the third belt , if considered proper to carve out , fet ches half or so of the maximum . It is again depending upon facts of each case . 37 . Similarly , this Court has consistently held on the question as to what is fair and reasonable market value of any acquired land on the date of its acquisition . It is held that such a question is always a question of fact and its answer depends on the nature of evidence , circumstances and probabilities appearing in each case . 38 . It is held that one of the guiding factors in such cases is the conduct of a hypothetical willing vendor , who would offer the land and a willing purchaser in normal human conduct , would be willing to buy the land as a prudent man in normal market condition on the date of the notification under Section 4 ( 1 ) of the Act but not an anxious buyer dealing at arms length nor facade or fictitious sales brought about in quick succession or otherwise to inf late the market value . 39 . It is held that when the Courts are called upon to fix the market value of the land in compulsory acquisition , one of the types of evidence of the value of the property is the sale of the acquired land to which the claimant is a party and in its absence , the sale of the neighboring lands . 40 . It is held that the transactions relating to acquired land of recent dates or in the neighbourhood lands that possessed of similar potential ity or fertility or other advantageous features are considered to be relevant piece of evidence . 41 . It is held that in proof of the sale transactions , the relationship of the parties to the transactions , the market conditions , the terms of the sale and the date of the sale are to be looked into . These features need to be established by examining either the vendor or vend ee and if they are not available , the att esting witnesses who have personal knowledge of the transaction etc . The original or certified copies of the sale deeds are required to be tend ered in evidence to prove such facts . One of the underlying principles to fix a fair market value with reference to comparable sale is to reduce the element of speculation . 42 . It is held that in comparable sale , the features are ( 1 ) it must be within a reasonable time of the date of the notification ( 2 ) it should be a bona fide transaction ( 3 ) it should be a sale of the land acquired or land adjacent to the land acquired and ( 4 ) it should possess similar advantages . 43 . These factors should be established by ad du cing material evidence by examining the parties to the sale or persons having personal knowledge of the sale transactions . The proof thereof focuses on the fact whether the transactions relied on are genuine and bona fide transactions or not . 44 . It is further held that it is the paramount duty of the Courts of facts to subject the evidence to close scrutiny with a view to objectively assess the evidence tend ered by the parties on proper considerations thereof in its correct perspective to arrive at a reasonable market value . The attending facts and circumstances in each case always furnish guidance to arrive at the market value of the acquired land . The neighbourhood lands possessed of similar potential ities or same advantageous features / circ um st ances available in each case are also to be taken into account . 45 . Indeed , it is held that the object of the assessment of the evidence is to enable the Courts to arrive at a fair and reasonable market value of the lands and in that process , sometimes the Courts are required to trench on the border of the guess work but mechanical assessment has to be esche wed . 46 . It is also held that Judges are required to draw from their experience and the normal human conduct of the parties as to which transaction is bona fide and genuine sale transaction because that is one of the guiding factors in evaluating the evidence . 47 . It is also held that the amount awarded by the Land Acquisition Collector forms an offer and that it is for the landowners to ad du ce relevant and material evidence to establish that the acquired lands are capable of fetch ing higher market value and the amount offered by the Land Acquisition Collector is inadequate and that he proceeded on wrong principle . ( See - Per iy ar and P are ek anni Rub bers Ltd . v . State of Kerala 1991 ( 4 ) S CC 195 ). 48 . This Court also examined the question as to how the Courts should judge the potential ity of the acquired land and what are the relevant consideration , which should be taken into consideration for deciding the potential ity of the land . 49 . It is held that potential ity means capacity or possibility for changing or developing into state of actual ity . The question as to whether the land has a potential value or not is primarily one of fact depending upon its condition , situation , user to which it is put or is reasonably capable of being put and whether it has any proximity to residential , commercial or industrial areas or institutions . The existing amenities such as water , electricity , possibility of their further extension , whether near about town is developing or has prospect of development need to be taken into consideration . 50 . It is also held that the value of the smaller plots , which is always on the higher side , is usually not taken into consideration for determining the large block of the land . One of the reasons being that the substantial area of the large block is used for development of sites like laying out the roads , drains sew ers , water and electricity lines and several civic amenities and to provide these facilities , lot of time is consumed . The deduction is , therefore , made , which ranges from 20 % to 50 % or in appropriate cases even more . ( See - At ma Singh ( Dead ) Thr . L . Rs . & Or s . v . State of H ary ana & An r . 2008 ( 1 ) R . C . R .( Civil ) 555 : 2008 ( 1 ) Recent Apex Jud gments ( R . A . J .) 158 : 2008 ( 2 ) S CC 5 68 ). 51 .",-0.20355787556781624,-0.06303100530997136
"___Keeping the aforementioned well settled principles of law in consideration , let us recap it ulate the facts of the case herein below to examine the issue arising in the case . 52 . As mentioned above , the total land acquired for development and utilization of commercial and residential sector is situated in villages Saf idon , Sing p ura , Ramp ura , R atta K her a & K her a K hem aw ati in District J ind in State of H ary ana . The acquired land comprises of more than around 300 acres or so and is thus a very large in chunk . The acquired land belonged to several landowners and obviously so being so large in volume . One side of the acquired land is ab ut ting the road . The land has surrounding with some kind of activities in nearby areas and this shows that the acquired land has some potential .",-0.5803125020497557,-11.86927849840929
"53 . The Collector , therefore , taking into account all these factors considered it proper to classify the land on the basis of 2004 - 2005 revenue records in two heads for determining the compensation . The first head was in the name Neh ri Ch ahi , i . e ., can alling irrig ated / water supplied from pipes in which land measuring 82 - 49 acres was included whereas the other parcel of land measuring around 117 . 08 acres , which is ab ut ting the road , was included in other head in the name - To the depth of 2 acres from Saf idon - J ind Road & Saf idon bye pass Road and G air Mum kin . - ( see Award of the Collector dated 19 . 8 . 2010 ( an nex ure P - 3 ). The Collector made this classification by applying the Bel ting System . It is pertinent to mention that it was not objected by the landowners as would be clear from Par a 3 of the Award dated 19 . 8 . 2010 . 54 . Since the land included under the head , i . e ., Saf idon - J ind Road and Saf idon Bye pass Road and G air Mum kin was ab ut ting the road , the Collector fixed its market rate at Rs . 33 , 00 , 000 /- ( Thirty Three L acs ) per acre up to the extent of the land going inside 2 acres from the road . 55 . So far as the land included in the first head , i . e ., Neh ri - Ch ahi beyond 2 acres was concerned , the Collector fixed its market rate at Rs . 18 , 00 , 000 /- ( Eight een L acs ) per acre . 56 . The Reference Court dismissed the reference and upheld the rates fixed by the Collector . The High Court , however , in an appeal filed by the appell ants ( claim ants ), in the imp ug ned judgments , upheld the rate , i . e ., Rs . 33 , 00 , 000 /- per acre so far as it relates to the land included in the head . - Saf idon - J ind Road and Saf idon Bye pass Road and G air Mum kin saying that this does not need any enhancement but enhanced the rate from Rs . 18 , 00 , 000 /- per acre to Rs . 24 , 75 , 000 /- per acre insofar as it per tained to land beyond 2 acres included in the head - Neh ri Ch ahi . 57 .",-0.6276139882393277,-17.562153074320747
"___We are of the considered opinion that the Collector was justified in applying the Bel ting System to the acquired land in question . Since the acquired land was a large chunk of land having its front age ab ut ting the roadside , the Bel ting System was rightly applied to the acquired land for determination of its fair market rate . 58 . It is more so because we find that the appell ants too did not raise any objection before the Collector and before the High Court and nor they were able to point out to us as to why it was not possible to apply the Bel ting System and what was illegal in its application . 59 . It is for all these reasons , we find no merit in the submission of the learned counsel for the appell ants when he questioned the application of the Bel ting System to the acquired land for determining its fair market",0.8887447799678672,100.0
value . 60 . This takes us to examine the next question as to whether the highest rate of Rs . 4 500 /- per square yard of the land of the nearby area out of 59 sale deeds should be made basis for determining the market rate of the acquired land . In,0.4791015900985751,4.552529269010976
"___our opinion , it is not possible to accept this submission of the learned counsel for the appell ants though pressed in service vehemently . 61 . It is for the reason that first ly , the area sold in each sale deed is very small as compared to the acquired land . Secondly , the lands which were sold by these sale deeds is in square yards and ranges from 31 . 06 square yards to 440 yards whereas the acquired area in question is in acres and comprises of more than 300 acres . Third ly , out of 59 sale deeds , there are as many as 31 sale deeds wherein the area comprises of less than 100 square yards . Fourth ly , except two sale deeds where 60 and 67 square yard of land was sold for Rs . 4 , 500 /- per square yard , all other sale deeds value ranges between Rs . 200 /- to Rs . 2000 /- per square yard . Fifth ly , there can be no comparison between the two lands due to the extent of area which are two extremes and last ly , since no sale deeds were filed by the appell ants showing market price of any large chunk of land sold in acres at the relevant time , it is not possible to place reliance on any of these sale deeds for determining the market rate of the acquired land by applying the same rate ( Rs . 4 , 500 /- per square yard ). It is , in our opinion , neither permissible and nor proper to rely solely upon the rates of small plots and then determine the compensation for a large chunk of acquired land as in this case . 62 . We have applied our mind keeping in view all the relevant factors coupled with the law laid down by this Court .",-0.019082382764865846,-4.563286118913208e-07
