,importance,scaled_importance
"M RS .  SU J ATA  V .  MAN OH AR  J .  1 .  These  appeals  arise  out  of  the  estate  duty  proceedings  in  respect  of  the  estate  of  the  deceased  P .  Mad hus ud han  Red dy  ( sic ).  During  his  lifetime ,  the  deceased  had  taken  out  three  life  insurance  policies  of  Rs .  50 ,  000  each .  Two  policies  were  from  the  Phoenix  Ass urance  Company ,  Bombay ,  and  one  policy  was  taken  from  the  Standard  Life  Insurance  Company ,  Cal cut ta .  During  his  lifetime ,  the  deceased  had  obtained  loans  on  the  security  of  his  two  life  insurance  policies  taken  out  from  Phoenix  Ass urance  Company ,  Bombay .  It  seems  that  the  total  loan  amount  was  Rs .  78 ,  400 .  The  deceased  had  also ,  from  time  to  time ,  repaid  a  part  of  the  loan .  The  amount  due  in  respect  of  the  loans  so  taken  at  the  time  of  the  death  of  the  deceased  was  Rs .  71 ,  250  During  his  lifetime  on  or  about  August  29 ,  1954 ,  the  deceased  executed  an  assignment  in  respect  of  each  of  these  three  life  insurance  policies  in  favour  of  his  grandchildren .  The  deeds  of  assignment  have  been  registered  on  September  27 ,  1954 .  A  notice  of  the  assignment  was  given  to  the  insurance  company  in  accordance  with  the  provisions  of  section  38  of  the  Insurance  Act ,  1938 ,  and  the  assignments  were  registered  with  the  insurance  companies  2 .  The  deceased  made  a  will  dated  February  4 ,  1959 ,  in  respect  of  all  his  properties .  In  his  will ,  in  the  list  of  properties  he  mentioned ,  at  item  No .  30 ,  as  follows  There  are  three  policies  of  life  insurance ,  as  detailed  below  of  Rs .  50 ,  000  each ,  which  are  already  assigned  in  favour  of  my  six  gr ands ons  and  a  granddaughter  ( i . e .,  the  sons  and  daughter  of  my  two  sons ).  1 .  The  Standard  Life  Insurance  Co .,  fifty  thousand .  2 .  The  Phoenix  Ass urance  Co .,  two  policies  of  fifty  thousand  each .  *  3 .  In  the  will ,  he  also  mentioned  in  the  list  of  dues ,  payment  of  dues  to  insurance  companies  amount ing  to  Rs .  71 ,  250 .  Under  his  will ,  he  provided  that  after  his  death  the  amount  of  his  three  life  insurance  policies ,  that  is  to  say ,  Rs .  1 ,  50 ,  000  plus  bonuses  that  will  be  received  there on ,  should  be  distributed  equally  among  his  surviving  six  gr ands ons  and  granddaughter  in  whose  favour  he  had  already  assigned  irre voc ably  and  transferred  the  policies .  He  also  provided  that  the  dues  of  the  insurance  companies  ( inter  al ia )  should  be  paid  out  of  the  general  estate In  the  estate  duty  proceedings  the  Assistant  Controller  of  Estate  Duty  initially  treated  the  three  policies  as  a  separate  estate  for  the  purpose  of  calculation  of  the  rate  of  estate  duty .  In  appeal ,  before  the  App ell ate  Tribunal ,  the  Tribunal  held  that  each  of  the  three  policies  should  be  separately  assessed  to  estate  duty .  However ,  after  re opening  the  assessments ,  the  Assistant  Controller  of  Estate  Duty  treated  the  three  policies  as  a  part  of  the  main  estate  of  the  deceased  and  levied  estate  duty  accordingly .  In  the  several  proceedings  which  took  place  dealing  with  the  initial  assessment  as  well  as  the  re opening  of  the  assessment ,  the  App ell ate  Tribunal  ultimately  held  that  the  two  insurance  policies  taken  out  from  Phoenix  Insurance  Company  formed  a  part  of  the  general  estate  of  the  deceased  while  the  third  policy  constituted  a  separate  estate .  The  App ell ate  Tribunal ,  however ,  rect ified  its  order  as  a  mistake  and  ultimately  held  that  all  the  three  policies  formed  a  part  of  the  general  estate  of  the  deceased  and  could  not  be  separately  assessed  4 .  In  respect  of  these  various  proceedings ,  depending  on  the  view  then  taken ,  three  sets  of  questions  were  framed  by  the  Tribunal  and  referred  to  the  High  Court  in  three  reference  applications  which  arose  from  these  proceedings .  The  three  sets  of  questions  are  as  follows  ( page  53  of  156  I TR )  Set  No .  1  1 .  Whether ,  on  the  facts  and  in  the  circumstances  of  the  case ,  the  App ell ate  Tribunal  was  justified  in  law  in  holding  that  there  should  be  separate  assessments  in  respect  of  each  of  the  three  insurance  policy  amounts  assigned  by  the  deceased  in  favour  of  his  grandchildren  ( at  the  instance  of  the  Revenue )?  2 .  Whether  the  loan  amount  of  Rs .  78 ,  400  taken  on  the  insurance  policies  by  the  deceased  is  liable  to  be  deducted  as  a  debt  under  section  44  of  the  E . D .  Act  from  the  general  estate  as  distinct  from  the  separate  estate  of  the  three  insurance  policies ;  and  3 .  Whether  the  estate  duty  payable  is  liable  to  be  deducted  while  computing  the  net  estate  ex igible  to  duty  ( at  the  instance  of  the  accountable  person )?  Set  No .  2  1 .  Whether ,  on  the  facts  and  in  the  circumstances  of  the  case ,  the  Tribunal  has  acted  within  its  jurisdiction  in  allowing  the  Dep artments  appeal  and  reversing  its  earlier  order  passed  on  October  27 ,  1977 ?  2 .  Whether ,  on  the  facts  and  in  the  circumstances  of  the  case ,  the  Tribunal  was  justified  in  holding  that  the  amount  of  Rs .  1 ,  39 ,  284  in  respect  of  Standard  Life  Ass urance  Co .  policy  was  to  be  included  in  the  main  estate  of  the  deceased  under  section  34 ( 3 )  of  the  Estate  Duty  Act ?  3 .  Whether ,  on  the  facts  and  in  the  circumstances  of  the  case ,  the  Tribunal  was  correct  in  law  in  holding  that  section  34 ( 3 )  of  the  Act  was  not  applicable ?  Set  No .  3  1 .  Whether ,  on  the  facts  and  in  the  circumstances  of  the  case ,  the  Tribunal  was  correct  in  holding  that  the  Assistant  Controller  could  reopen  the  assessment  under  section  59 ( b )  of  the  Estate  Duty  Act ?  2 .  If  the  answer  to  the  first  question  No .  1  is  in  the  affirmative ,  whether  the  two  insurance  policies  could  be  assessed  as  separate  estates  under  section  34 ( 3 )  of  the  Act ?  5 .  The  High  Court  by  its  imp ug ned  judgment  ( reported  in  P .  Ind ras ena  Red dy  v .  C ED  ( AP ))  has  upheld  the  ultimate  finding  of  the  Tribunal  that  the  three  insurance  policies  have  to  be  considered ,  as  a  part  of  the  general  estate  of  the  deceased  and  they  cannot  be  aggreg ated  individually  or  collectively  to  form  a  separate  estate  or  estates  for  the  purposes  of  calculating  the  rate  of  estate  duty .  The  three  sets  of  questions  were  accordingly  answered  in  favour  of  the  Revenue .  The  High  Court  also  upheld  the  exercise  of  power  in  the  present  case  by  the  Assistant  Controller  of  Estate  Duty  in  re opening  the  assessment  and  it  also  upheld  the  exercise  of  power  by  the  Tribunal ,  for  rect ifying  the  mistake The  present  appeals  are  filed  from  the  above  imp ug ned  judgment  of  the  High  Court .  Before  us ,  the  question  relating  to  the  exercise  of  power  by  the  Assistant  Controller  of  Estate  Duty  for  re opening  the  assessments  as  also  the  question  relating  to  the  power  of  the  Tribunal  exercised  in  the  present  case  to  rect ify  the  mistake ,  have  not  been  pressed ",-2.106073304544899e-05,-14.798468733893241
"___6 .  In  the  first  set  of  questions ,  question  No .  3  has  been  correctly  answered  by  the  High  Court  against  the  ass essee  in  view  of  the  two  decisions  of  this  court ,  one  in  the  case  of  P .  Le el av atham ma  v .  C ED  and  the  other  in  the  case  of  Naw ab  Mir  Bark at  Ali  Khan  Bah ad ur  v .  C ED ",-6.173375466302309e-05,-43.377646743592116
"7 .  The  remaining  questions  deal  with  two  issues  :  ( 1 )  whether  after  the  assignment  of  the  three  insurance  policies  by  the  deceased  in  favour  of  his  grandchildren ,  it  could  be  said  that  the  deceased  had  any  interest  in  the  life  insurance  policies  which  passed  on  his  death ;  and  ( 2 )  if  the  three  insurance  policies  are  held  to  pass  on  the  death  of  the  deceased  whether  ( i )  each  of  the  three  insurance  policies  should  be  separately  assessed  to  estate  duty ;  or  ( ii )  the  three  insurance  policies  taken  together  should  be  separately  assessed  to  estate  duty ;  or  ( iii )  whether  the  three  insurance  policies  have  to  be  aggreg ated  with  the  main  estate  of  the  deceased  for  the  purposes  of  estate  duty ",-5.1353164091092e-06,-3.6083653477234074
"___8 .  Under  section  2 ( 15 )  of  the  Estate  Duty  Act ,  1953 ,  property  includes  any  interest  in  property ,  mov able  or  imm ovable ,  and  also  includes ,  inter  al ia ,  any  property  converted  from  one  species  into  another  by  any  method .  The  Explan ations  to  section  2 ( 15 )  are  not  relevant  for  our  purposes .  Section  2 ( 16 )  defines  property  passing  on  death .  It  includes  property  passing  either  immediately  on  death  or  after  any  interval ;  and  the  phrase  on  death  includes  at  a  period  ascertain able  only  by  reference  to  the  death .  Learned  counsel  for  the  appell ants  contended  before  us  that  in  view  of  the  assignments  of  the  life  insurance  policies  by  the  deceased  during  his  lifetime  to  his  grandchildren ,  it  cannot  be  said  that  the  deceased  had  any  interest  in  the  life  insurance  policies  which  could  pass  on  his  death .  Hence ,  under  section  34  of  the  Estate  Duty  Act ,  1953 ,  the  life  insurance  policies  cannot  be  treated  as  property  passing  on  the  death  of  the  deceased He  drew  our  attention  to  section  38  of  the  Insurance  Act ,  1938 .  Section  38 ( 1 )  provides  that  a  transfer  or  assignment  of  a  policy  of  life  insurance  can  be  made  only  by  an  endorsement  upon  the  policy  or  by  a  separate  instrument  in  the  manner  provided  therein .  In  sub - section  ( 2 )  it  is  provided  that  the  transfer  and  assignment  shall  be  complete  and  effect ual  upon  the  execution  of  such  endorsement  or  instrument  in  the  manner  provided  but  shall  not  be  operative  as  against  an  insurer  and  shall  not  confer  upon  the  transf eree  or  assign ee ,  or  his  legal  representative ,  any  right  to  sue  for  the  amount  of  such  policy  until  a  notice  in  writing  of  the  transfer  or  assignment  and  either  the  said  endorsement  or  instrument  itself  or  a  certified  copy  thereof  have  been  delivered  to  the  insurer .  Under  sub - section  ( 5 ),  subject  to  the  terms  and  conditions  of  the  assignment ,  the  insurer  shall ,  from  the  date  of  the  receipt  of  the  notice  referred  to  in  sub - section  ( 2 ),  recognise  the  transf eree  or  assign ee  named  in  the  notice  as  the  only  person  entitled  to  benefit  under  the  policy ,  and  such  person  shall  be  subject  to  all  liabilities  and  equ ities  to  which  the  transfer or  or  assign or  was  subject  at  the  date  of  the  transfer  or  assignment .  Since  the  deceased  had  duly  assigned  the  policies  in  accordance  with  the  provisions  of  section  38  and  by  complying  with  all  its  requirements ,  the  assign ee  alone ,  it  is  contended ,  had  an  interest  in  these  policies  at  the  time  of  the  death  of  the  deceased .  Hence ,  no  interest  was  left  in  the  deceased  in  respect  of  these  policies  which  passed  on  his  death ",-4.9505675490758876e-05,-34.78550292239564
"9 .  In  considering  this  contention ,  one  must  bear  in  mind  section  14 ( 1 )  of  the  Estate  Duty  Act ,  1953 .  It  provides  as  follows  14 .  ( 1 )  Money  received  under  a  policy  of  insurance  effected  by  any  person  on  his  life ,  where  the  policy  is  wholly  kept  up  by  him  for  the  benefit  of  a  done e ,  whether  nominee  or  assign ee ,  or  a  part  of  such  money  in  proportion  to  the  premiums  paid  by  him ,  where  the  policy  is  partially  kept  up  by  him  for  such  benefit ,  shall  be  deemed  to  pass  on  the  death  of  the  assured Ex plan ation . --- A  policy  of  insurance  on  the  life  of  a  deceased  person  effected  by  virtue  or  in  consequence  of  a  settlement  made  by  the  deceased  shall  be  treated  as  having  been  effected  by  the  deceased .  10 .  The  remaining  part  of  section  14  is  not  relevant  for  the  present  purpose . ",-8.613624838544023e-05,-60.52422657065328
"___By  virtue  of  section  14 ( 1 )  money  under  a  life  insurance  policy  which  is  kept  up  by  the  assured  for  the  benefit  of  his  nominee  or  assign ee  is  deemed  to  pass  on  the  death  of  assured .  This  is  a  clear  deem ing  provision  whereby  even  after  the  assignment  of  his  policy  by  the  assured ,  if  the  assured  keeps  up  the  policy  for  the  benefit  of  his  assign ee ,  the  insurance  policy  will  constitute  a  part  of  the  estate  of  the  deceased  11 .  From  the  statements  of  case  which  are  before  us  in  the  three  references ,  as  also  the  facts  found ,  the  assign ees  have  not  contended  that  after  the  assignment  of  the  policies  in  their  favour ,  the  assign ees  paid  the  premium  or  any  part  of  the  premium  on  the  policies  so  assigned  or  the  assign ees  kept  the  policies  alive .  The  policies  were  entirely  under  the  control  of  the  deceased .  The  deceased  had  taken  loans  and  repaid  loans  or  parts  thereof  on  these  insurance  policies .  From  the  ten or  of  the  will  it  is  apparent  that  it  was  the  deceased  who  had  retained  possession  of  the  policies  and  had  kept  them  up  during  his  lifetime  even  after  the  assignment .  The  provisions  of  section  14  are ,  therefore ,  directly  attracted  in  the  present  case  12 .  The  contention  of  the  appell ants  that  the  deceased  did  not  have  any  interest  in  the  insurance  policies  passing  on  his  death  must ,  therefore ,  be  rejected  in  the  light  of  section  14 . ",-9.12540515417218e-05,-64.12028611098437
"Learned  counsel  for  the  appell ants  drew  our  attention  to  a  decision  of  the  Mad ras  High  Court  in  D .  Moh ana vel u  Mud ali ar  v .  Indian  Insurance  and  Banking  Corporation  Ltd .  1957  ( 27 )  CC  47 ;  1957  AIR ( Mad )  115 .  The  Mad ras  High  Court ,  however ,  was  not  concerned  with  the  question  whether  on  assignment  of  a  life  insurance  policy  by  the  insurer  during  his  lifetime ,  the  insurer  had  any  interest  left  in  the  life  insurance  policy  which  could  pass  on  his  death  under  the  provisions  of  the  Estate  Duty  Act ,  1953 .  The  court  was  concerned  with  the  effect  of  assignment  and  whether  a  creditor  of  the  insurer  could  attach  the  policy  which  was  already  assigned .  The  provisions  of  the  Estate  Duty  Act  are  not  considered  in  the  judgment The  appell ants  also  drew  our  attention  to  two  decisions  of  this  court  dealing  with  accident  policies .  One  is  a  decision  in  the  case  of  M .  Ct .  M uth iah  v .  C ED ,  and  the  other  is  the  decision  in  the  case  of  Bhar at  Kumar  Man il al  Dal al  v .  C ED .  In  the  former  case ,  the  deceased ,  prior  to  flying  by  air ,  took  out  a  personal  accident  policy  under  which  the  insurance  company  agreed  that  if ,  any  time  during  the  currency  of  the  policy ,  the  deceased  should  sustain  an  accident  resulting  in  any  injury  or  injuries  leading  to  death ,  the  insurance  company  would  pay  to  the  assured  or  to  his  legal  representatives  in  the  case  of  his  death ,  such  sum  as  was  specified .  The  deceased  effected  a  nomination  in  favour  of  M .  The  deceased  died  following  the  crash  of  the  airliner  in  which  he  was  travelling .  On  his  death ,  the  insurance  company  paid  the  nominee  M  a  sum  of  Rs .  2  lakh s  which  was  the  benefit  stip ulated  to  be  paid .  The  question  was  whether  the  sum  of  Rs .  2  lakh s  should  be  included  in  the  estate  of  the  deceased  as  property  passing  on  the  death  of  the  deceased  for  the  purposes  of  estate  duty .  This  court  held  that  the  insurance  amount  became  property  only  on  the  death  of  the  deceased  in  an  accident  during  the  subsistence  of  the  policy .  During  the  lifetime  of  the  deceased  an  interest  was  vested  totally  and  irre voc ably  in  the  hands  of  the  nominee .  The  death  did  not  cause  the  property  to  change  hands .  Therefore ,  the  sum  of  Rs .  2  lakh s  was  not  includ ible  in  the  principal  value  of  the  estate  of  the  deceased  for  the  purpose  of  estate  duty .  This  court  also  observed  that  though  it  was  not  necessary  to  decide  the  point ,  had  it  become  necessary  to  decide ,  it  would  have  held  that  the  sum  of  Rs .  2  lakh s  was  a  separate  estate  from  the  other  estate  of  the  deceased .  The  same  view  has  been  taken  by  this  court  in  the  subsequent  case  of  Bhar at  Kumar  Man il al  Dal al  ( SC ). ",-3.26594900199521e-05,-22.94841499021792
"___Both  these  cases  deal  with  policies  of  accident  insurance  where  the  amount  became  payable  only  on  the  death  of  the  insured  in  an  accident .  In  such  a  situation ,  there  was  no  question  of  any  amount  ever  coming  to  the  deceased ,  the  amount  under  the  policy  being  payable  only  to  a  nominee  on  the  insured s  death  in  an  accident These  cases  cannot  apply  to  the  present  case  which  deals  with  assignments  of  life  insurance  policies .  In  view  of  the  express  provisions  of  section  14 ,  the  deceased  must  be  considered  to  have  an  interest  in  these  policies  passing  on  his  death  for  purposes  of  estate  duty  13 .  In  the  case  of  C ED  v .  Bom ans ha  Fram ji  C ama ,  the  Bombay  High  Court  held  that  the  provisions  of  section  14 ( 1 )  were  attracted  in  a  case  where  the  deceased  had  settled  on  trust  five  policies  of  insurance  on  his  life ,  when  the  premiums  on  the  said  policies  after  their  assignment  under  the  settlement ,  were  paid  by  the  deceased .  The  policies  became  fully  paid  up  during  the  lifetime  of  the  deceased .  On  his  death ,  the  m one ys  received  by  his  assign ees  were  held  to  be  property  passing  on  the  death  of  the  deceased  by  virtue  of  section  14 ( 1 ).  The  court  said  that  the  words  kept  up  mean  that  the  policy  has  been  and  is  kept  valid  by  payment  of  premiums  by  the  done e  and  is  not  allowed  to  lapse .  In  the  case  of  a  paid  up  policy ,  no  further  payment  of  premium  is  required  to  prevent  it  from  laps ing .  The  past  payments  of  premium  kept  the  policy  valid  and  such  a  policy  must  be  considered  as  having  been  kept  up  by  the  assured  for  the  purpose  of  section  14 . Therefore ,  the  contention  of  learned  counsel  for  the  appell ants  that  the  policies  do  not  form  part  of  the  estate  of  the  deceased  must  be  rejected ",-0.00014231697498007448,-100.0
"14 .  Under  section  34  of  the  Estate  Duty  Act ,  1953 ,  for  the  purpose  of  determining  the  rate  of  estate  duty  to  be  paid  on  any  property  passing  on  the  death  of  the  deceased ,  the  properties  specified  in  sub - sections  ( 1 )  and  ( 2 )  shall  be  aggreg ated  as  provided  therein .  Sub - section  ( 3 )  of  section  34 ,  however ,  provides  as  follows  34 .  ( 3 )  Notwithstanding  anything  contained  in  sub - section  ( 1 )  or  sub - section  ( 2 ),  any  property  passing  in  which  the  deceased  never  had  an  interest ,  not  being  a  right  or  debt  or  benefit  that  is  treated  as  property  by  virtue  of  the  Explan ations  to  clause  ( 15 )  of  section  2 ,  shall  not  be  aggreg ated  with  any  property ,  but  shall  be  an  estate  by  itself ,  and  the  estate  duty  shall  be  levied  at  the  rate  or  rates  applicable  in  respect  of  the  principal  value  thereof .  *  15 .  It  is ,  therefore ,  contended  by  learned  counsel  for  the  appell ants  that  even  if  the  life  insurance  policies  constitute  a  part  of  the  estate  of  the  deceased ,  they  should  be  separately  assessed  under  section  34 ( 3 ). ",-0.00012028867709851728,-84.52166518811875
"___Now ,  only  such  property  passing  on  the  death  of  the  deceased  in  which  the  deceased  never  had  an  interest  will  constitute  a  separate  estate  under  section  34 ( 3 )  for  the  purpose  of  determining  the  rate  of  estate  duty . ",4.058334490487268e-05,28.516166051558272
