,importance,scaled_importance
"R . K . Ag raw al , J . 1 . Leave granted . 2 . The present appeal has been filed against the judgment and order dated 11 . 05 . 2012 passed by the High Court of Delhi in I TA Nos . 14 11 of 2009 , I TA Nos . 9 67 and 9 68 of 2011 wherein the Division Bench of the High Court while allowing the above appeals filed by the respondent herein set aside the order dated 27 . 02 . 2009 passed by the Income Tax App ell ate Tribunal ( in short the Tribunal ) holding that the respondent herein is entitled to claim the benefit of Section 80 - IA of the Income Tax Act , 19 61 ( in short the IT Act ). 3 . Brief facts : a . M / s Container Corporation of India Ltd . ( CON COR )- the respondent herein is a government Company and is engaged in the business of handling and transportation of container ized cargo and is under the direct administrative control of Ministry of Rail ways . Its operating activities are mainly carried out at its In land Container Dep ots ( IC Ds ), Container Fre ight St ations ( C FS s ) and Port Side Container Termin als ( PS CT s ) spread all over the country . b . The issue in the present case per tains to the assessment year 2003 - 04 to 2005 - 06 . The respondent herein filed the returns on the income for all these years and claimed deduction under various heads including deduction under Section 80 - IA of the IT Act . This issue is with regard to the deduction claimed under Section 80 - IA on the profits earned from the In land Container Dep ots ( IC Ds ) and on rolling stocks . The claim for deduction on the profits earned from the I CD s and further the deduction on account of rolling stocks has been rejected by the Ass essing Officer vide Assessment Order dated 28 . 02 . 2006 . c . The respondent herein , being agg rieved with the afore said order , filed an appeal being No . 325 / 05 - 06 to the Commissioner of Income Tax ( App eals )- VI , New Delhi . Learned C IT ( App eals ), vide order dated 29 . 05 . 2007 , partly allowed the appeal while rejecting the deduction claimed under Section 80 - IA of the IT Act . Being agg rieved , the respondent herein further preferred I TA Nos . 28 51 & 36 80 / D EL ./ 2007 , 275 3 & 4 477 / D EL / 2007 before the Tribunal . The Tribunal , vide order dated 27 . 02 . 2009 , partly allowed the appeal and held that the deduction under Section 80 - IA can be claimed with regard to the rolling stocks of the company but not with regard to the I CD s . d . Being agg rieved by the order dated 27 . 02 . 2009 , the respondent herein challenged the same before the High Court by filing three Income Tax Appeals being Nos . 9 67 of 2011 , 14 11 of 2009 and 9 68 of 2011 . The Division Bench of the High Court , vide judgment and order dated 11 . 05 . 2012 , allowed the appeals and held that the Respond ent herein is entitled to claim deduction on the income earned from the I CD s for the relevant period under consideration under Section 80 - IA of the IT Act . Being agg rieved by the judgment and order dated 11 . 05 . 2012 , the Revenue has preferred this appeal before this Court . 4 . Heard learned senior counsel for the parties and per used the factual matrix of the case . Points for consideration :- 5 . The only point for consideration before this Court is whether in the facts and circumstances of the case the In land Container Dep ots ( IC Ds ) under the control of the Respond ent , during the relevant period , qualified for deduction under Section 80 - IA ( 4 ) of the IT Act or not . R ival content ions :- 6 . Learned senior counsel appearing for the appellant contended that the High Court was not right in holding that the Respond ent is entitled to deduction under Section 80 - IA of the IT Act as the activities undertaken by the ass essee cannot be said to fall within Explan ation ( d ) of Section 80 - IA ( 4 ) defining the term infrastructure facility . 7 . Learned senior counsel further contended that the High Court was wrong in placing reliance on the Notification dated 01 . 09 . 1998 issued by the Central Board of Direct Taxes ( C BD T ) to hold that the Respond ent is allowed to claim deduction under Section 80 - IA of the IT Act as the power of the said Board was taken away by the Finance Act , 2001 with effect from 01 . 04 . 2002 . Learned senior counsel further contended that in view of the afore said amendment , the Not ifications issued by the CB DT with regard to treating the I CD s as infrastructure facility were applicable only upt o the Assessment Year 2002 - 03 . 8 . Learned senior counsel finally contended that the I CD s cannot be termed as ports or inland ports within the meaning of Section 80 - IA ( 4 ) so as to allow them to claim deduction under the said Section and the judgment rendered by the High Court is erroneous in the eyes of the law and is liable to be set aside . 9 . Per contra , learned senior counsel appearing for the Respond ent contended that the High Court has rightly set aside the judgment and order dated 27 . 02 . 2009 passed by the Tribunal . Learned senior counsel further contended that once the I CD s have been notified valid ly by the CB DT , by virtue of the powers conferred upon them , the fact that at a later point of time the power was taken away does not put an end to the validity or effect of the notification and as per the relevant Section as it stood at the time when the notification was issued , the Respond ent was eligible for deduction for a period of 10 successive assessment years which covers the Assessment Years 2003 - 04 to 2005 - 06 which are the years under appeal . Learned senior counsel finally contended that the judgment and order passed by the High Court does not call for any interference . Discussion : 10 . As the whole point in dispute revolves around the I CD s , it would be appropriate to have an understanding about the same .",-0.7847645897008362,-38.110276333275564
"___The I CD s function for the benefit of exp orters and imp orters located in industrial centers which are situated at distance from sea ports . The purpose of introducing them was to promote the export and import in the country as these dep ots acts as a facilit ator and reduce inconvenience to the person who wishes to export or import but place of his business is situated in a land locked area i . e ., away from the sea . These dep ots reduce the inconvenience in import and export in the sense that it reduces the bott len ec ks that are arising out of handling and customs formal ities that are required to be done at the sea ports by allowing the same to be done at these dep ots only that are situated near to them . The term I CD s was inserted in 1983 under Section 2 ( 12 ) of the Customs Act , 1962 which defines customs port and by the provisions of Section 7 ( 1 )( aa ) of the Customs Act , 19 62 power has been given to the Central Board of Exc ise and Custom ( CB EC ) to notify which place alone to be considered as In land Container Dep ots for the un loading of imported goods and the loading of export goods by Notification in the official Gazette . 11 . With the purpose of boosting country s infrastructure and specially the transport infrastructure , the Finance Act , 1995 which came into effect from 01 . 04 . 1996 brought an amendment to the provisions of Section 80 - IA of the IT Act . Section 80 - IA of the IT Act talks about deduction in respect of profits and gains from industrial undertaking or enterprises engaged in the infrastructure development etc .",0.13643518733969007,0.006053089050480797
"The said amendment for the first time brought a provision under which a percentage of profits derived from the operation of infrastructure facility was allowed a deduction while computing the income of the ass essee . A ten years tax concession allowed to the enterprises in accordance with the provisions of the Section subject to fulfillment of conditions given therein , which develops , maintains and operates any new infrastructure facility such as roads , highways , express ways , bridges , airports , ports and rail system or any other public facility of similar nature as notified . 12 . The relevant portion of Section 80 IA ( as it stood then ) reads as under : Section 80 - IA ( 4 A ): This section applies to : -- any enterprise carrying on the business of developing , maintaining and operating any infrastructure facility which fulf ills the following conditions , viz ., Section 80 - IA ( 5 ) clause ( ia ): in the case of enterprise referred to in sub - section ( 4 A ) hundred percent of profits and gains derived from such business for the initial five assessment years and thereafter thirty per cent of such profits and gains . 13 . The term infrastructure facility had also been defined which at the relevant time stood as follows :- Section 80 - IA ( 12 )( ca ): Infrastructure facility means :- a road , highway , bridge , airport , port or rail system or any other public facility of similar nature as may be notified by the Board in this behalf in Official G z ette ; The said provision gives the power to the Board to notify certain other enterprises which can avail the benefit of Section 80 - IA of the IT Act , which do not fall within any of the specified categories but carries out activities of similar nature . 14 . Further , Central Board of Direct Taxes ( C BD T ), in exercise of its power under Section 80 - IA ( 12 )( ca ), vide Notification No . S . O . 7 44 ( E ) dated 01 . 09 . 1998 notified I CD s and C FS s as infrastructure facility .",-0.5068861203776878,-4.284469965328264
"___15 . In addition to the above , the Finance Act , 1998 , which came into effect on 01 . 04 . 1999 , made a change in the definition of Infrastructure facility as is relevant to the present case . The words In land water ways and inland ports were added in the definition of infrastructure facility .",0.1928661306992454,0.03416842370102003
"Now , the definition reads as under : Inf rastructure Facility means road , bridge , airport , port , inland waterways and inland ports , rail system by any other public facility of similar nature as may be notified by the Board in this behalf in official Gazette .",-0.7649487141927247,-33.535647815487614
"___16 . A noticeable change was further brought by the Finance Act , 2001 , which came into effect from 01 . 04 . 2002 , in the terms that the power of the Board to extend the benefit of the said provisions to any infrastructure facility of similar nature by issuing a Notification was taken away .",0.9517677368370667,100.0
"The new explanation to Section 80 - IA ( 4 ) of the IT Act as is substituted by the Finance Act , 2001 reads as under : For the purpose of this clause infrastructure facility means - a . a road including toll road , a bridge or a rail system ; b . a highway project including housing or other activities being an integral part of the highway project ; c . a water supply project , water treatment system , irrigation project , sanitation and sewer age system or solid waste management system ; d . a port , airport , inland waterways or inland port ; 17 . It was contended on behalf of the appellant that the High Court er red in relying on the Notification issued by CB DT to hold that the enterprises holding I CD s are allowed to claim deductions under Section 80 - IA of the IT Act . As the said power of the Board was specifically taken away by the amendment made by Finance Act , 2001 , in light of the said amendment , the Not ifications which were issued by the CB DT would cease to operate after the Assessment Year 2002 - 03 .",0.8651224077146809,62.048731860548244
"___18 . The argument put forward by learned senior counsel for the appellant does not have much force as the said amendment is silent with regard to any effect it would have upon the Not ifications issued earlier by the Board in due exercise of its power . Had it been the intention of the legislature that the Not ifications issued by the Board earlier are of no effect after 2002 - 03 , it would have had found a place in the said amendment . In the absence of the same , we are unable to conc ur with learned senior counsel that the Not ifications which were issued in legitimate exercise of the power conferred on the Board would cease to have effect after the Assessment Year 2002 - 03 .",-0.2164061228706684,-0.06077050240260064
"19 . Learned senior counsel for the appellant contended that the High Court committed a grave error in holding I CD s as In land Ports . It was further contended that the I CD s are never understood to fall in the category of In land Port under the scheme of the IT Act . The argument in support of this contention is that if the word In land Port , as used in the Explan ation attached to Section 80 - IA ( 4 ) of the IT Act defining infrastructure facility includes I CD s , there would have been no need for the CB DT to separately exercise its power given under the said Section , as it stood then , to notify it as infrastructure facility .",-0.5156428117478291,-4.6675603811479505
"___However , the argument does not hold much weight behind it as the Notification which was issued by the CB DT came into effect on 01 . 09 . 1998 i . e ., the time when the term In land Port was not in itself inserted in the provisions of Explan ation attached to Section 80 - IA ( 4 ) of the IT Act defining the term infrastructure facility . It was inserted through Finance Act , 1998 which came into effect from 01 . 04 . 1999 . So there seems to be no conflict within the Notification issued by the Board and the fact that the I CD s are In land Ports or not . 20 . Moreover , we find that the Respond ent has been held entitled for the benefit of Section 80 IA of the IT Act much before the Finance Act , 2001 which came into force on 01 . 04 . 2002 and exemption for the period of 10 years cannot be cur tailed or denied by any subsequent amendment regarding the eligibility conditions under the period is modified or specific provision is made that the benefit from 01 . 04 . 2002 onwards shall only be claimed by the existing eligible units if they fulfill the new conditions .",-0.49920357429285445,-3.969479253822254
21 . Moving further to the issue whether the I CD s can be termed as In land Ports so as to entitle deduction under Section 80 - IA of the IT Act .,-0.033212929595215934,-5.1746505852694534e-06
"___The term port , in commercial terms , is a place where vessels are in a habit of loading and un loading goods . The term Port as is used in the Explan ation attached to Section 80 - IA ( 4 ) seems to have maritime con notation perhaps that is the reason why the word airport is found separately in the Explan ation . Considering the nature of work that is performed at I CD s , they cannot be termed as Ports . However , taking into consideration the fact that a part of activities that are carried out at ports such as custom clearance are also carried out at these I CD s , the claim of the respondent herein can be considered within the term In land port as is used in the Explan ation . It is significant to note that the word In land Container Dep ots was first introduced in the definition of Customs Port as is given in Section 2 ( 12 ) of the Customs Act , 1962 , through amendment made by the Finance Act , 1983 with effect from 13 . 05 . 1983 . 22 . The term In land Port has been defined nowhere . But the Notification that has been issued by the Central Board of Exc ise & Customs ( CB EC ) dated 24 . 04 . 2007 in terms holds that considering the nature of work carried out at these I CD s they can be termed as In land Ports . Further , the communication dated 25 . 05 . 2009 issued on behalf of the Ministry of Commerce and Industry confirming that the I CD s are In land Ports , fort ifies the claim of the respondent herein . Though both the Notification and communication are not binding on CB DT to decide whether I CD s can be termed as In land Ports within the meaning of Section 80 - IA of the IT Act , the appellant herein is unable to put forward any reasonable explanation as to why these notifications and communication should not be relied to hold I CD s as In land Ports . Unless shown otherwise , it cannot be held that the term In land Ports is used differently under Section 80 - IA of the IT Act . All these facts taken together clear the position beyond any doubt that the I CD s are In land Ports and subject to the provisions of the Section and deduction can be claimed for the income earned out of these Dep ots . However , the actual computation is to be made in accordance with the different Not ifications issued by the Customs department with regard to different I CD s located at different places .",-0.9200143961985661,-84.39529218349485
