,importance,scaled_importance
"S . J . K AT HA W ALL A , J . In the present appeal the appellant ( ass essee ) has imp ug ned before this Court the order passed by the App ell ate Tribunal dated 27 th May , 1999 pertaining to the Assessment Year 1985 - 86 . The substantial question of law on which the appeal is admitted by this Court is as under :"" Whether the Company was entitled to claim deduction as business expenses in respect of conditional donations made to an Engineering College to secure admissions to the children of the employees of the ass essee company "" The relevant facts arising in the present appeal are as under : i ) The ass essee is a company engaged mainly in the business of manufacture and sale of R CC pipes and steel pipes etc . required for water supply and drainage system . In its return of income for the Assessment Year 1985 - 86 , the ass essee had claimed deduction of Rs . 10 , 00 , 000 /- towards staff welfare expenses . According to the ass essee , the said amount was paid by the ass essee as a conditional donation to SAP DJ Path sh ala , Sol ap ur . ( here ina fter referred to as the Trust ). The said Trust is running Wal ch and Institute of Technology at Sol ap ur . ii ) It appears that the said Trust was entitled to give admissions to 18 students per year as per its discretion . The Trust had put up a proposal to the ass essee for transfer of such rights of nomination for consideration of Rs . 5 , 00 , 000 /- per seat . iii ) It is the case of the ass essee that after receiving the said proposal of the Trust the ass essee passed the following Board Resolution dated 18 th June , 1984 ."" RES OL V ED that the Company shall pay forth with a sum of Rs . 10 , 00 , 000 /- ( Ru pees Ten L akh s only ) to Sh ri A . P . D . J . J AIN PATH ASH AL A of Sol ap ur to enable the company to acquire the right of nomination of two students every year for admission to the Wal ch and Institute of Technology , who shall be its employees or their children or any other relatives nominated by the employees and acceptable to the company or any other persons whose nominations are considered exped ient and desirable in the interest of the company ."" ( Em phasis supplied ) iv ) The ass essee has relied on an agreement dated 28 th July , 1986 executed between the Trust and the Ass essee wherein it is recorded that the Government of Maharashtra by its Resolution No . T EM - 33 82 / 11 18 36 /( 190 )/ TE - 1 ( A ) Education and Employment Department dated 21 st May , 1983 had granted permission to open the said engineering college on principles and conditions mentioned therein . It is also recorded that as per condition no . 8 of the said Resolution , the Management of the Trust at its discretion had a right to give admission to 18 students every year . It is further recorded that the ass essee and the Trust had accepted the proposal by paying the amount of Rs . 10 , 00 , 000 /- to the Trust and reserved two seats for the ass essee in the first year at the engineering college , namely , Wal ch and Institute of Technology , Sol ap ur every year comm encing from June , 1984 for a period of 15 years or until the Government withdraw s the said condition no . 8 of the Government Resolution . v ) Cla uses 1 and 2 of the agreement are relevant and reproduced here under ."" ( 1 ) As per the said proposal of the Trust accepted by the company the company has paid the sum of Rs . 10 , 00 , 000 /- ( Ru pees ten lakh s only ) to the Trust ( the payment and receipt where of the Trust ees do and each of them d oth hereby admit and acknowledge ."" ( 2 ) In consideration of the said The Secretary for and on behalf of the Trust agree and undertake to reserve two seats in the first year engineering college namely the Wal ch and Institute of Technology , Sol ap ur every year comm encing from June , 1984 for a period of fifteen years or until the Government withdraw s the said Condition No . 8 of the said Government Resolution and shall give admission to two candidates nominated by the Company subject to the eligibility conditions for admissions and the Company will have unf et tered power to nominate the candidates subject to the condition herein above mentioned ."" ( Em phasis supplied ) From the afore said agreement it is clear that the Ass essee had a right to nominate two candidates in the first year of Wal ch and Institute of Technology , Sol ap ur for a period of 15 years comm encing from June , 1984 upt o June , 1999 . It is pertinent to note that the agreement makes no mention of the Resolution dated 18 th June , 1984 passed by the Board of Directors of the Ass essee Company nor is it mentioned in the agreement as to which students will be nominated by the ass essee . The claim of the ass essee , therefore , that the donation was made to secure admissions to the children of the employees of the ass essee company is not supported by the agreement dated 28 th July , 1986 . iv ) During the course of Assessment proceedings a query was raised about the deduct ibility of this expenditure and by its letter dated 17 th December , 1987 , the ass essee company , inter al ia , submitted that : "" ...... it was , therefore , thought by the company that it would be in the interest of business of the company as also in the interest of its employees and other associates if the company could secure special privilege of nomination of two seats so that the deserving children of the employees would get chance of qualifying themselves in the engineering discipline . This sort of provision is bound to create an identity between the workers , staff on the one hand and the company on the other "". The ass essee had , therefore , in no uncertain terms stated that for the said two reserved seats every year in Wal ch and Institute of Technology they would be nominating two deserving children of their employees . v ) The Inspect ing As st t . Commission er of Income Tax , ( I . A . C ) by his order dated 30 th March , 1988 dis allowed the deduction of Rs . 10 , 00 , 000 /- on the ground that admittedly as the payment has been made as an employer for the welfare of the employees and their children , the payment of Rs . 10 , 00 , 000 /- made to the said Trust would come under the pur view of section 40 A ( 9 ) of the Income Tax Act . vi ) Being agg rieved by the order dated 30 th March , 1988 passed by I AC , the ass essee preferred an appeal before the C IT ( A ). C IT ( A ) by his order dated 22 nd August , 1991 recorded that it was claimed by the ass essee who had deb ited the payment under the head "" staff welfare expenses "" that the payment was made for purchasing right of nomination of two seats in the Engineering College started by the Trust and this right of nomination was to be exercised by the ass essee for the benefit of the students and depend ents of the employees of the company . It is further recorded that para 7 of the assessment order states that the agreement between the ass essee and the Trust does not stip ulate as to whom the company can nominate for admission and apparently there is no contractual obligation on the ass essee to nominate for the two seats only the children or depend ents of the ass esse es employees . C IT ( A ) in paragraph 6 . 3 of his order recorded that the content ions advanced on behalf of the appellant and evidence produced have been considered by him . He has recorded that the resolutions passed by the Board of Directors does not necessarily restrict nominations for the two seats in the engineering college to the relatives and depend ants of the employees . He has , therefore , held that it is difficult to see any direct nexus between the ass esse es business requirements and the contribution made to the Trust . C IT ( A ) was also of the view that provision of section 40 A ( 9 ) was wide enough to cover the kind of contribution which was made by the ass essee , in the present case , to an educational Trust . C IT ( A ) thus held that there was no ground to interfere with the dis allow ance made . v ii ) Being agg rieved by the order of C IT ( A ) dated 22 nd August , 1991 , the ass essee preferred an appeal before the App ell ate Tribunal being I TA No . 850 6 / B om / 1991 . v iii ) Before the Tribunal the Department al Representative made the following submissions which are recorded in para 6 of the Trib un als order and are reproduced here under ."" The learned Department al representative , on the other hand , contended that the said Trust comes under the same management as that of the ass essee company . The payment has been made to the Trust not for the sole consideration of the ass essee company but for the group companies , as well . Right of nomination is solely not restricted to the employees of the ass essee company ; but the same is general in nature . The ass essee has failed to produce any evidence to show that the nominations made by the company are in conformity with the business exped iency as contended by the ass essee . According to him , there is no element of business exped iency involved and in the absence of any material to come to a conclusion that the payment was made solely for business consideration , the order of the C IT ( A ) is well reasoned ."" ( Em phasis supplied ) ix ) The Tribunal by its order dated 27 th May , 1999 held that the payment made by the as se essee to the Trust was not covered by section 40 A ( 9 ). The Tribunal also held that the ass essee company has not produced sufficient material to establish direct nexus between the business interest between the appellant company and payment made . The Tribunal was , therefore , of the view that the Company has not been able to reasonably establish the nexus between payment made and further ance of business interest of the company . The Tribunal held that even otherwise the payment had resulted in the right of enduring nature to be util ised for 15 years and consequently it to assume the character of revenue nature . v ii ) Being agg rieved by the order of the Tribunal dated 27 th May , 1999 the ass essee filed the above appeal which was admitted on the substantial question of law as set out in para 1 above . 2 . We have heard the Advoc ates appearing for the ass essee as well as the Department at some length .",0.8466106151174166,63.74388009355379
"___It is clear from the Board Resolution dated 18 th June , 1984 that the ass essee had reserved the right of nomination not only for his employees or their children or any other relatives nominated by the employees and acceptable to the company but also for "" any other person whose nominations are considered exped ient and desirable in the interest of the company "" Under the agreement dated 20 th July , 1986 the ass essee Company has not mentioned at all as to whom the company can nominate for admission but have instead stated that the company will have unf et tered power to nominate the",-0.4343262956478342,-2.2651687800688953
"candidates . 3 . Both the I AC as well as C IT ( A ) have noted that in the agreement the ass essee has not stip ulated as to whom the company can nominate for admission . Before the Tribunal the Department al Representative has categor ically submitted that right of nomination is solely not restricted to employees of the ass essee company but the same is general in nature and the ass essee has failed to produce any evidence to show that the nominations made by the company are in conformity of the business exped iency as contended by the ass essee . It was , therefore , submitted by the Department that there is no element of business exped iency involved and in absence of any material to come to the conclusion that payment was made solely for business considerations , the order of the C IT ( A ) was well reasoned . It",-0.3207379116676017,-0.49747519824797937
"___is obvious that in lieu of such wide and general rights given to the company to nominate two candidates and in absence of any mention in the agreement as to whom the ass essee can nominate , the ass essee could have satisfied the C IT ( A ) and the Tribunal that the payment made by the company was for further ance of the business interest of the company , only by showing that the nominations made by the company are in conformity with the business exped iency as contended by the ass essee . Though an express contention was raised by the department al representative before the Tribunal that the ass essee has failed to produce any evidence or material pertaining to the nominations made by the company , the ass essee admittedly did not produce any material pertaining to the nominations made by",0.20042573626258786,0.04740098714586308
"it . 4 . It is pertinent to note that the order of the Tribunal is dated 27 th May , 1999 and the 15 years period under the agreement was getting over only in June , 1999 . By this time , the ass essee had made 28 nominations and only two of the nominations were pending . However , ass essee chose not to produce any material before the Tribunal to show that the nominations made by it were in conformity with the business exped iency . The ass essee , therefore , miser ably failed to satisfy the C IT ( A ) as well as the Tribunal qu a the ass esse es contention that the donation made by the ass essee was to secure admissions to the children of the employees of the ass essee company . The",0.92639459052076,100.0
"___Tribunal was , therefore , right in rejecting the appeal of the ass essee on the ground that ass essee has not produced sufficient material to reasonably establish the nexus between the payment made and the further ance of business interest of the company . The Tribunal has , therefore , correctly disbel ieved the ass esse es contention that the payment made by the ass essee was towards staff welfare expenditure and , therefore , in further ance of the business interest of the ass essee . If the ass essee would have produced the relevant papers before the Tribunal to show that nominations made by the company were in conformity with the business as contended by them , surely , the ass essee would have been entitled to the deductions pertaining to the said",-0.7043973318692192,-25.4160735869143
"expenditure . 5 . Mr . Sat he , learned Advocate appearing for the ass essee has relied on several decisions of the Hon ble Supreme Court as well as of this Court and other High Courts in support to point out that the expenditure made towards the staff welfare should be treated as a business expenditure and consequ ent deduction should be allowed . We",-0.4861667126266618,-3.9805771609422638
"___have no dispute on this proposition . However , in the instant case , as set out above , the ass essee has admittedly not produced any evidence to show that the nominations made by the company were in conformity with the business exped iency more so because the Board Resolution of the ass essee company was general in nature and the agreement entered with the Trust by the Ass essee company was silent with regard to the students who could be nominated by the ass essee for the first year engineering studies in Wal ch and Institute of Technology . Even at the time of arguments though we were not required to we asked Mr . Sat he to submit a compilation of the relevant documents showing that the nominations made by the company were in conformity with the business exped iency as contended by the",0.7471136545815429,34.11562382986713
"ass essee . Mr . Sat he after more than a month filed an affidavit stating that the matter is very old and he is unable to produce all the details . Mr . Sat he has in Annex ure I to the affidavit set out only four names of students who had enrolled in Wal ch and Institute of Technology , Sol ap ur in the years 1989 - 90 and 1992 as against the 30 names nominated by the ass essee . Except",-0.016215536583310985,-1.643147572855064e-07
"___for setting out the names no documentary evidence is produced even in respect of the said names provided by the ass essee / app ell ant . In any event the ass essee ought to have and could have produced all the papers / material pertaining to the nominations made upt o the year 1999 before the Tribunal but failed to do so . We do not agree with the Tribunal that even otherwise the payment has resulted in a right of enduring nature to be util ised for 15 years because of which the expenditure becomes capital in nature . However , since we have held that the appellant for afore stated reasons have failed to satisfy that the amount donated by them was towards staff welfare expenditure and , therefore , in furthe rence of their business interest , we are not going into a detailed discussion pertaining to the above stated view taken by the Tribunal .",0.7979221844540634,47.404835848493036
