prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:doi,prism:aggregationType,subtype,subtypeDescription,dc:description,is_invalid,reason,is_invalid_4o,reason_4o
https://api.elsevier.com/content/abstract/scopus_id/85202713320,SCOPUS_ID:85202713320,2-s2.0-85202713320,Accelerating the discovery of type Ⅱ photosensitizer: Experimentally validated machine learning models for predicting the singlet oxygen quantum yield of photosensitive molecule,He L.,Journal of Molecular Structure,10.1016/j.molstruc.2024.139850,Journal,ar,Article,"Photodynamic therapy (PDT) is an emerging cancer treatment that mainly relies on photosensitizer (PS) to generate singlet oxygen for tumor destruction. Developing PSs with high singlet oxygen quantum yields (SO-QYs) requires extensive experimentation, limiting their rapid screening. Herein, to streamline this process, this study introduces several machine learning (ML) models that accurately predicts SO-QY across various experimental conditions. The models’ establishment is based on two feature matrices derived from Morgan fingerprints (MFPs) and descriptors (molecular descriptors and quantum chemical descriptors, MD_QCDs). Comparative and evaluative results indicate that the XGBoost model constructed with MFPs and the AdaBoost model constructed with MD_QCDs exhibit superior predictive performance, with R2 values of 0.8648 and 0.8460, respectively. Furthermore, by utilizing SHapley Additive exPlanations (SHAP) analysis and quantum chemistry, we analyzed that the iodine atoms and larger conjugated systems significantly influenced the SO-QY. Experimental validation, based on this analysis, demonstrates that our models not only possess excellent predictive capabilities but also exhibit strong interpretability. In summary, this work has established several interpretable models with outstanding predictive performance, which can aid in the more rapid screening of PSs, thus promoting their application in PDT.",True,"The abstract describes the use of SHAP analysis to identify that iodine atoms and larger conjugated systems significantly influence the singlet oxygen quantum yield (SO-QY). This indicates that the research is not merely focused on model behavior but is drawing insights about the underlying chemical processes that affect SO-QY. The explanations provided by SHAP help in understanding which molecular features contribute to the phenomenon being studied, thus aiding in scientific discovery.
",True,"Step-by-step analysis:

1. **Title Analysis**:
   - The title suggests the use of machine learning models to predict the singlet oxygen quantum yield (SO-QY) of photosensitive molecules.
   - It mentions ""experimentally validated machine learning models,"" indicating a focus on prediction accuracy.

2. **Abstract Analysis**:
   - The abstract describes the development of ML models to predict SO-QY.
   - It mentions the use of SHAP analysis to understand the influence of specific features (iodine atoms and larger conjugated systems) on SO-QY.
   - The SHAP analysis is used to derive insights about the chemical features that significantly influence SO-QY.
   - The insights derived from SHAP analysis are experimentally validated, suggesting that the explanations are used to understand the underlying chemical processes.

3. **Insight Evaluation**:
   - The SHAP analysis identifies that iodine atoms and larger conjugated systems significantly influence SO-QY.
   - These insights are related to the chemical properties and behavior of the photosensitive molecules, not just the model's behavior.

4. **Conclusion**:
   - The explanations provided by SHAP analysis help understand the underlying chemical processes that affect SO-QY, rather than just explaining the model's behavior.
"
https://api.elsevier.com/content/abstract/scopus_id/85201681843,SCOPUS_ID:85201681843,2-s2.0-85201681843,The combination of HSI and NMR techniques with deep learning for identification of geographical origin and GI markers of Lycium barbarum L.,He C.,Food Chemistry,10.1016/j.foodchem.2024.140903,Journal,ar,Article,"Lycium barbarum L. (L. barbarum) is renowned worldwide for its nutritional and medicinal benefits. Rapid and accurate identification of L. barbarum's geographic origin is essential because its nutritional content, medicinal efficacy, and market price significantly vary by region. This study proposes an innovative method combining hyperspectral imaging (HSI), nuclear magnetic resonance (NMR), and an improved ResNet-34 deep learning model to accurately identify the geographical origin and geographical indication (GI) markers of L. barbarum. The deep learning model achieved a 95.63% accuracy, surpassed traditional methods by 6.26% and reduced runtime by 29.9% through SHapley Additive exPlanations (SHAP)-based feature selection. Pearson correlation analysis between GI markers and HSI characteristic wavelengths enhanced the interpretability of HSI data and further reduced runtime by 33.99%. This work lays the foundation for portable multispectral devices, offering a rapid, accurate, and cost-effective solution for quality assurance and market regulation of L. barbarum products.",False,"The abstract describes a study that uses SHAP for feature selection in a deep learning model aimed at identifying the geographical origin and GI markers of Lycium barbarum. While SHAP is employed to enhance the interpretability of the model and improve its performance, the focus appears to be on model accuracy and efficiency rather than on understanding the underlying biological or geographical processes that influence the characteristics of L. barbarum. The use of Pearson correlation analysis does suggest some exploration of relationships between GI markers and HSI wavelengths, but it does not explicitly indicate a deeper understanding of the underlying phenomena.

Thus, the explanations provided primarily serve to clarify model behavior and performance rather than elucidate the underlying processes.
",False,"Step-by-step analysis:

1. **Objective**: The study aims to identify the geographical origin and GI markers of Lycium barbarum L. using a combination of HSI, NMR, and a deep learning model.
2. **Method**: The improved ResNet-34 deep learning model is used for classification, and SHAP-based feature selection is employed to enhance model performance.
3. **SHAP Usage**: SHAP is used for feature selection to improve model accuracy and reduce runtime.
4. **Correlation Analysis**: Pearson correlation analysis is performed between GI markers and HSI characteristic wavelengths to enhance interpretability of HSI data.
5. **Insights**: The abstract mentions that SHAP-based feature selection and Pearson correlation analysis help in reducing runtime and enhancing interpretability of HSI data.

**Determination**:
- The use of SHAP in this context is primarily for feature selection to improve model performance, not for understanding the underlying geographical or biological processes of Lycium barbarum L.
- The Pearson correlation analysis might provide some insights into the relationship between GI markers and HSI wavelengths, but it is not clear if this directly explains the underlying natural phenomena.

**Conclusion**: The explanations provided in the abstract are more focused on improving the model and its interpretability rather than understanding the underlying processes.
"
https://api.elsevier.com/content/abstract/scopus_id/85202859220,SCOPUS_ID:85202859220,2-s2.0-85202859220,Optimized Tiny Machine Learning and Explainable AI for Trustable and Energy-Efficient Fog-Enabled Healthcare Decision Support System,Arthi R.,International Journal of Computational Intelligence Systems,10.1007/s44196-024-00631-4,Journal,ar,Article,"The Internet of things (IoT)-based healthcare decision support system plays a crucial role in modern medicine, especially with the rise in chronic illnesses and an aging population necessitating continuous remote health monitoring. Current healthcare decision support systems struggle to deliver timely and accurate decisions with minimal latency due to limited real-time healthcare data and inefficient computational resources. There is a critical need for an optimized, energy-efficient machine learning model that reliably supports remote health monitoring within IoT and fog computing environments. Our study proposes an Optimized Tiny Machine Learning (TinyML) and Explainable AI (XAI) binary classification model for a trustable and energy-efficient healthcare decision support system, leveraging fog computing to optimize performance. The fog-based approach improves response times and enhances bandwidth usage, addressing critical needs such as reduced latency, higher bandwidth utilization, and decreased packet loss. To further improve efficiency, we incorporate the innovative mLZW data compression technique, significantly enhancing data communication efficiency and reducing response time to critical health alerts. However, limited real-time healthcare data records challenge machine learning classification performance. By implementing a TinyML algorithm, our system demonstrates superior performance to other machine learning models. The proposed optimized TinyML model achieves an impressive F1 score of 0.93 for health abnormalities detection, emphasizing its robustness and effectiveness. This paper highlights the potential of TinyML and XAI in delivering robust, trustworthy, and energy-aware healthcare solutions, making significant contributions toward effective remote health monitoring and decision support in fog-enabled IoT networks. Graphical abstract: (Figure presented.)",False,"The abstract discusses the development of an optimized Tiny Machine Learning model and its application in a healthcare decision support system. While it mentions the use of Explainable AI (XAI), the focus appears to be on improving model performance and efficiency in decision-making rather than on understanding the underlying healthcare phenomena. The explanations provided seem to be aimed at justifying the model's effectiveness rather than elucidating the biological or health-related processes involved. 
",False,"Step-by-step analysis:

1. **Title Analysis**: The title mentions ""Explainable AI"" but focuses on trustable and energy-efficient healthcare decision support systems.

2. **Abstract Analysis**:
   - The abstract discusses the need for an optimized, energy-efficient machine learning model for healthcare decision support.
   - It mentions the use of TinyML and Explainable AI (XAI) for binary classification.
   - The focus is on improving response times, bandwidth usage, and reducing latency and packet loss.
   - The abstract highlights the performance of the TinyML model, achieving an F1 score of 0.93.
   - The emphasis is on the robustness, trustworthiness, and energy efficiency of the healthcare solution.

3. **Explanation of ML Model**:
   - The abstract does not provide specific details on how XAI is used to explain the underlying healthcare processes.
   - The focus is on the performance metrics and operational efficiency of the model rather than insights into the underlying health phenomena.

4. **Conclusion**:
   - The explanations provided in the abstract are primarily about the model's performance and operational benefits.
   - There is no clear indication that XAI is used to understand the underlying healthcare processes.
"
https://api.elsevier.com/content/abstract/scopus_id/85200629567,SCOPUS_ID:85200629567,2-s2.0-85200629567,Physics-guided neural network for fatigue life prediction of FCC-based multi-principal element alloys,Ren J.,Scripta Materialia,10.1016/j.scriptamat.2024.116307,Journal,ar,Article,"We propose a physics-guided neural network (PGNN) model to predict the fatigue life of multi-principal element alloys (MPEA). It is found that the knowledge mined by purely data-driven methods violates well-known physical laws, exhibiting a negative correlation between ductility and fatigue life. To address this physical inconsistency, a PGNN prediction model is developed by transforming physical knowledge into constraints on the neural network's weights. The SHAP and univariate analysis conducted by the PGNN model show physically consistent results, indicating a positive correlation between yield strength and ductility with fatigue life. Moreover, the proposed PGNN model outperforms solely data-driven models, with higher goodness of fit (R2 = 86.5%), smaller error (MSE = 0.125), and better generalization ability. This work provides a fast and low-cost model to predict the fatigue life of FCC-based MPEA, and the proposed PGNN model can overcome the limitations of purely data-driven models and produce accurate and physically consistent results.",False,"The abstract describes a physics-guided neural network (PGNN) that incorporates physical constraints to ensure the model's predictions align with known physical laws. The use of SHAP and univariate analysis is mentioned, which suggests that the model's outputs are being analyzed to understand the relationships between variables (like yield strength, ductility, and fatigue life). However, the focus appears to be on ensuring the model's predictions are consistent with physical laws rather than solely on understanding the underlying phenomena. The insights drawn from the SHAP analysis seem to reinforce the model's behavior rather than providing a deeper understanding of the underlying processes governing fatigue life in alloys.
",True,"Step-by-step analysis:

1. **Title Analysis**: The title mentions a ""physics-guided neural network"" for predicting fatigue life, which suggests a combination of physical principles and machine learning.

2. **Abstract Analysis**:
   - **Objective**: The primary goal is to predict the fatigue life of multi-principal element alloys (MPEA).
   - **Problem Identification**: Purely data-driven methods show a negative correlation between ductility and fatigue life, which is physically inconsistent.
   - **Solution**: A physics-guided neural network (PGNN) is developed to incorporate physical knowledge into the model.
   - **Use of SHAP**: SHAP and univariate analysis are used to show that the PGNN model produces physically consistent results, indicating a positive correlation between yield strength and ductility with fatigue life.
   - **Performance**: The PGNN model outperforms purely data-driven models in terms of goodness of fit, error, and generalization ability.

3. **Insight Extraction**:
   - The use of SHAP in this context is to validate that the PGNN model's predictions align with known physical laws.
   - The insights drawn (positive correlation between yield strength and ductility with fatigue life) are consistent with physical principles.

4. **Conclusion**:
   - The explanations provided by SHAP help understand the underlying physical processes (positive correlation between yield strength and ductility with fatigue life) rather than just explaining the model's behavior.
"
https://api.elsevier.com/content/abstract/scopus_id/85199936922,SCOPUS_ID:85199936922,2-s2.0-85199936922,Non-targeted metabolomics and explainable artificial intelligence: Effects of processing and color on coniferyl aldehyde levels in Eucommiae cortex,Pan Y.,Food Chemistry,10.1016/j.foodchem.2024.140564,Journal,ar,Article,"Eucommia ulmoides, a plant native to China, is valued for its medicinal properties and has applications in food, health products, and traditional Chinese medicine. Processed Eucommiae Cortex (EC) has historically been a highly valued medicine. Ancient doctors had ample experience processing EC, especially with ginger juice, as documented in traditional Chinese medical texts. The combination of EC and ginger juice helps release and transform the active ingredients, strengthening the medicine's effectiveness and improving its taste and shelf life. However, the lack of quality control standards for Ginger-Eucommiae Cortex (G-EC), processed from EC and ginger, presents challenges for its industrial and clinical use. This study optimized G-EC processing using the CRITIC and Box-Behnken methods. Metabolomics showed 517 chemical changes between raw and processed G-EC, particularly an increase in coniferyl aldehyde (CFA). Explainable artificial intelligence techniques revealed the feasibility of using color to CFA content, providing insights into quality indicators.",False,"The abstract describes a study that uses explainable artificial intelligence techniques to analyze the relationship between color and coniferyl aldehyde (CFA) content in processed Eucommiae Cortex. The use of explainable AI suggests that the researchers are interested in understanding how color correlates with CFA levels, which can provide insights into quality indicators for the processed product. However, the focus appears to be on the model's ability to relate color to CFA content rather than on elucidating the underlying biological or chemical processes that lead to changes in CFA levels during processing. Therefore, while the study employs explainable AI, it does not seem to provide insights into the underlying phenomena themselves.
",True,"1. The abstract mentions the use of explainable artificial intelligence techniques.
2. The purpose of these techniques is to reveal the feasibility of using color to predict CFA content.
3. The insights provided are about the relationship between color and CFA content.
4. The explanation helps understand the underlying process of how color can be an indicator of CFA content in G-EC.
"
https://api.elsevier.com/content/abstract/scopus_id/85199927398,SCOPUS_ID:85199927398,2-s2.0-85199927398,Predictive models for personalized precision medical intervention in spontaneous regression stages of cervical precancerous lesions,He S.,Journal of Translational Medicine,10.1186/s12967-024-05417-y,Journal,ar,Article,"Background: During the prolonged period from Human Papillomavirus (HPV) infection to cervical cancer development, Low-Grade Squamous Intraepithelial Lesion (LSIL) stage provides a critical opportunity for cervical cancer prevention, giving the high potential for reversal in this stage. However, there is few research and a lack of clear guidelines on appropriate intervention strategies at this stage, underscoring the need for real-time prognostic predictions and personalized treatments to promote lesion reversal. Methods: We have established a prospective cohort. Since 2018, we have been collecting clinical data and pathological images of HPV-infected patients, followed by tracking the progression of their cervical lesions. In constructing our predictive models, we applied logistic regression and six machine learning models, evaluating each model’s predictive performance using metrics such as the Area Under the Curve (AUC). We also employed the SHAP method for interpretative analysis of the prediction results. Additionally, the model identifies key factors influencing the progression of the lesions. Results: Model comparisons highlighted the superior performance of Random Forests (RF) and Support Vector Machines (SVM), both in clinical parameter and pathological image-based predictions. Notably, the RF model, which integrates pathological images and clinical multi-parameters, achieved the highest AUC of 0.866. Another significant finding was the substantial impact of sleep quality on the spontaneous clearance of HPV and regression of LSIL. Conclusions: In contrast to current cervical cancer prediction models, our model’s prognostic capabilities extend to the spontaneous regression stage of cervical cancer. This model aids clinicians in real-time monitoring of lesions and in developing personalized treatment or follow-up plans by assessing individual risk factors, thus fostering lesion spontaneous reversal and aiding in cervical cancer prevention and reduction. Graphical Abstract: (Figure presented.)",True,"The research abstract describes the use of SHAP for interpretative analysis of the prediction results, which suggests that the authors are examining the influence of various factors on the progression of cervical lesions. The mention of identifying key factors influencing lesion progression indicates that the explanations derived from the model are being used to gain insights into the underlying biological processes, such as the impact of sleep quality on HPV clearance and LSIL regression. Therefore, the explanations provided by the SHAP method are contributing to understanding the underlying phenomena rather than just the model behavior.
",True,"Step-by-step analysis:

1. **Title and Abstract Overview**:
   - The research focuses on predictive models for personalized medical intervention in cervical precancerous lesions.
   - It mentions the use of SHAP for interpretative analysis of prediction results.

2. **Use of SHAP**:
   - SHAP is employed to interpret the prediction results of the models.
   - The abstract states that the model identifies key factors influencing the progression of the lesions.

3. **Insights from SHAP**:
   - The abstract highlights a significant finding: the substantial impact of sleep quality on the spontaneous clearance of HPV and regression of LSIL.
   - This insight is derived from the SHAP analysis, which indicates that the explanation is not just about model behavior but about understanding the underlying process affecting lesion regression.

4. **Conclusion**:
   - The SHAP analysis provides insights into the factors influencing the natural regression of cervical lesions, specifically highlighting sleep quality as a significant factor.
   - This suggests that the explanations help understand the underlying biological and clinical processes, not just the model's behavior.
"
https://api.elsevier.com/content/abstract/scopus_id/85199378523,SCOPUS_ID:85199378523,2-s2.0-85199378523,PLMACPred prediction of anticancer peptides based on protein language model and wavelet denoising transformation,Arif M.,Scientific Reports,10.1038/s41598-024-67433-8,Journal,ar,Article,"Anticancer peptides (ACPs) perform a promising role in discovering anti-cancer drugs. The growing research on ACPs as therapeutic agent is increasing due to its minimal side effects. However, identifying novel ACPs using wet-lab experiments are generally time-consuming, labor-intensive, and expensive. Leveraging computational methods for fast and accurate prediction of ACPs would harness the drug discovery process. Herein, a machine learning-based predictor, called PLMACPred, is developed for identifying ACPs from peptide sequence only. PLMACPred adopted a set of encoding schemes representing evolutionary-property, composition-property, and protein language model (PLM), i.e., evolutionary scale modeling (ESM-2)- and ProtT5-based embedding to encode peptides. Then, two-dimensional (2D) wavelet denoising (WD) was employed to remove the noise from extracted features. Finally, ensemble-based cascade deep forest (CDF) model was developed to identify ACP. PLMACPred model attained superior performance on all three benchmark datasets, namely, ACPmain, ACPAlter, and ACP740 over tenfold cross validation and independent dataset. PLMACPred outperformed the existing models and improved the prediction accuracy by 18.53%, 2.4%, 7.59% on ACPmain, ACPalter, ACP740 dataset, respectively. We showed that embedding from ProtT5 and ESM-2 was capable of capturing better contextual information from the entire sequence than the other encoding schemes for ACP prediction. For the explainability of proposed model, SHAP (SHapley Additive exPlanations) method was used to analyze the feature effect on the ACP prediction. A list of novel sequence motifs was proposed from the ACP sequence using MEME suites. We believe, PLMACPred will support in accelerating the discovery of novel ACPs as well as other activities of microbial peptides.",False,"1. The abstract describes the development of a machine learning model (PLMACPred) for predicting anticancer peptides (ACPs) based on peptide sequences.
2. It mentions the use of SHAP for analyzing feature effects on ACP prediction, which typically provides insights into how different features contribute to the model's predictions.
3. While the use of SHAP can reveal important features, the focus here is on improving prediction accuracy rather than understanding the underlying biological processes of ACPs.
4. The mention of identifying novel sequence motifs using MEME suites suggests some exploration of underlying biological patterns, but this is not directly tied to the explainability aspect of the machine learning model.
5. Overall, the explanations provided by SHAP primarily help in understanding the model's behavior rather than elucidating the underlying biological processes of ACPs.
",False,"1. **Title and Abstract Analysis**:
   - The title and abstract describe a machine learning-based predictor (PLMACPred) for identifying anticancer peptides (ACPs).
   - The abstract mentions the use of SHAP (SHapley Additive exPlanations) to analyze the feature effect on ACP prediction.

2. **Purpose of SHAP in the Study**:
   - SHAP is used to analyze the feature effect on the ACP prediction.
   - The abstract does not explicitly state that SHAP is used to understand the underlying biological processes of ACPs.

3. **Insights from SHAP**:
   - The abstract does not provide details on whether SHAP insights led to a deeper understanding of the biological mechanisms or processes of ACPs.
   - The focus appears to be on improving prediction accuracy and identifying sequence motifs.

4. **Conclusion**:
   - The use of SHAP in this study seems to be more about understanding the model's behavior and feature importance rather than uncovering underlying biological processes.
"
https://api.elsevier.com/content/abstract/scopus_id/85198639771,SCOPUS_ID:85198639771,2-s2.0-85198639771,Construction of a clinical prediction model for complicated appendicitis based on machine learning techniques,Wei W.,Scientific Reports,10.1038/s41598-024-67453-4,Journal,ar,Article,"Acute appendicitis is a typical surgical emergency worldwide and one of the common causes of surgical acute abdomen in the elderly. Accurately diagnosing and differentiating acute appendicitis can assist clinicians in formulating a scientific and reasonable treatment plan and providing high-quality medical services for the elderly. In this study, we validated and analyzed the different performances of various machine learning models based on the analysis of clinical data, so as to construct a simple, fast, and accurate estimation method for the diagnosis of early acute appendicitis. The dataset of this paper was obtained from the medical data of elderly patients with acute appendicitis attending the First Affiliated Hospital of Anhui University of Chinese Medicine from January 2012 to January 2022, including 196 males (60.87%) and 126 females (39.13%), including 103 (31.99%) patients with complicated appendicitis and 219 (68.01%) patients with uncomplicated appendicitis. By comparing and analyzing the prediction results of the models implemented by nine different machine learning techniques (LR, CART, RF, SVM, Bayes, KNN, NN, FDA, and GBM), we found that the GBM algorithm gave the optimal results and that sensitivity, specificity, PPV, NPV, precision, recall, F1 and brier are 0.9167, 0.9739, 0.9429, 0.9613, 0.9429, 0.9167, 0.9296, and 0.05649, respectively. The GBM model prediction results are interpreted using the SHAP technology framework. Calibration and Decision curve analysis also show that the machine learning model proposed in this paper has some clinical and economic benefits. Finally, we developed the Shiny application for complicated appendicitis diagnosis to assist clinicians in quickly and effectively recognizing patients with complicated appendicitis (CA) and uncomplicated appendicitis (UA), and to formulate a more reasonable and scientific clinical plan for acute appendicitis patient population promptly.",False,"The abstract describes the construction of a clinical prediction model for complicated appendicitis using machine learning techniques. While it mentions the use of SHAP for interpreting the GBM model's predictions, the focus appears to be on improving diagnostic accuracy rather than understanding the underlying biological or clinical processes of appendicitis itself. The explanations provided by SHAP are primarily aimed at elucidating model behavior rather than offering insights into the underlying phenomena of acute appendicitis.
",False,"Step-by-step analysis:

1. **Title Analysis**: The title suggests the construction of a clinical prediction model for complicated appendicitis using machine learning techniques. This indicates a focus on prediction.

2. **Abstract Analysis**:
   - **Objective**: The study aims to construct an accurate estimation method for diagnosing early acute appendicitis.
   - **Methodology**: Various machine learning models are compared to find the best-performing one (GBM in this case).
   - **Performance Metrics**: The abstract lists several performance metrics (sensitivity, specificity, etc.) to validate the model.
   - **Interpretation**: The GBM model's prediction results are interpreted using SHAP.
   - **Outcome**: A Shiny application is developed to assist clinicians in diagnosis.

3. **Use of SHAP**: The abstract mentions that SHAP is used to interpret the GBM model's prediction results.

4. **Insight into Underlying Processes**: The abstract does not provide specific details on whether SHAP explanations are used to gain insights into the underlying biological or clinical processes of appendicitis. The focus remains on model performance and its application in clinical settings.

5. **Conclusion**: The explanations provided by SHAP in this context seem to be used to understand the model's behavior rather than the underlying clinical processes of appendicitis.
"
https://api.elsevier.com/content/abstract/scopus_id/85198621221,SCOPUS_ID:85198621221,2-s2.0-85198621221,Prognostic value of cardiopulmonary exercise test in patients with acute myocardial infarction after percutaneous coronary intervention,Li Z.,Scientific Reports,10.1038/s41598-024-66963-5,Journal,ar,Article,"To determine the independent risk factors of cardiopulmonary exercise test (CPET) parameters related to adverse prognostic events within 5 years in patients undergoing percutaneous coronary intervention (PCI) for acute myocardial infarction (AMI), and establish a prediction model for the occurrence of adverse events within 5 years to provide a reference for cardiac rehabilitation training. From August 2015 to December 2021, patients who underwent PCI for AMI and completed CPET within 1–2 weeks after surgery before discharge from the Department of Cardiovascular Medicine of Zhengzhou Central Hospital Affiliated to Zhengzhou University, Henan Provincial Hospital of Traditional Chinese Medicine, and Anyang District Hospital were selected as participants. Univariate and multivariate analyses were used to screen for independent risk factors associated with 5-year adverse events. Feature importance was interpreted using SHapley Additive exPlanations (SHAP), and a logistic regression model was established for prediction. A receiver operating characteristic (ROC) curve was constructed to evaluate the performance of the prediction model. Calibration was assessed by the Hosmer–Lemeshow test and the calibration curve. In total, 375 patients met the inclusion criteria. Based on whether adverse events occurred during the 5-year follow-up period, the patients were divided into two groups: the event group (n = 53) and the non-event group (n = 322). Peak oxygen uptake (peakVO2), carbon dioxide ventilation equivalent slope (VE/VCO2slop), and peak end-tidal carbon dioxide partial pressure (PETCO2) were three independent risk factors for re-acute myocardial infarction (re-AMI), heart failure (HF), and even death after PCI for AMI (P < 0.05). The SHAP plots demonstrated that the significant contributors to model performance were related to peakVO2, VE/VCO2slop, and PETCO2. The risk of adverse events was significantly reduced when the peakVO2 was ≥ 20 mL/kg/min and the VE/VCO2slop was < 33. The ROC curves of the three models were drawn, including the no-event and event groups, re-AMI group, and HF group, which performed well, with AUC of 0.894, 0.760, and 0.883, respectively. The Hosmer–Lemeshow test showed that the three models were a good fit (P > 0.05). The calibration curve of the three models was close to the ideal diagonal lines. CPET parameters can predict the prognosis of adverse events within 5 years after PCI in patients with AMI and provide a theoretical basis for cardiac rehabilitation training.",False,"1. The research aims to identify independent risk factors related to adverse prognostic events in patients after PCI for AMI using CPET parameters.
2. SHAP is used to interpret feature importance, specifically identifying peakVO2, VE/VCO2slop, and PETCO2 as significant contributors to the model's performance.
3. While the SHAP plots provide insights into which features are important for the model, they do not directly explain the underlying biological or physiological processes that link these features to adverse events.
4. The focus is on model performance and prediction rather than on understanding the underlying mechanisms of the phenomena being studied.

False
",True,"1. **Objective**: The study aims to determine independent risk factors from CPET parameters related to adverse prognostic events in patients post-PCI for AMI and to establish a prediction model.

2. **Methodology**: 
   - Univariate and multivariate analyses to identify independent risk factors.
   - SHAP used to interpret feature importance in the logistic regression model.
   - Evaluation of model performance using ROC curves, Hosmer–Lemeshow test, and calibration curves.

3. **Insights from SHAP**: 
   - SHAP plots identified peakVO2, VE/VCO2slop, and PETCO2 as significant contributors to the model's performance.
   - Specific thresholds for peakVO2 and VE/VCO2slop were associated with reduced risk of adverse events.

4. **Understanding Underlying Processes**:
   - The study uses SHAP to highlight which CPET parameters are most influential in predicting adverse events.
   - The identified parameters (peakVO2, VE/VCO2slop, PETCO2) and their thresholds provide insights into physiological factors affecting prognosis post-PCI.

5. **Conclusion**: The explanations derived from SHAP help understand the underlying physiological processes (e.g., the importance of peakVO2 and VE/VCO2slop in cardiac health post-PCI) rather than just explaining the model's behavior.
"
https://api.elsevier.com/content/abstract/scopus_id/85196528700,SCOPUS_ID:85196528700,2-s2.0-85196528700,Deep learning for predicting 16S rRNA gene copy number,Miao J.,Scientific Reports,10.1038/s41598-024-64658-5,Journal,ar,Article,"Culture-independent 16S rRNA gene metabarcoding is a commonly used method for microbiome profiling. To achieve more quantitative cell fraction estimates, it is important to account for the 16S rRNA gene copy number (hereafter 16S GCN) of different community members. Currently, there are several bioinformatic tools available to estimate the 16S GCN values, either based on taxonomy assignment or phylogeny. Here we present a novel approach ANNA16, Artificial Neural Network Approximator for 16S rRNA gene copy number, a deep learning-based method that estimates the 16S GCN values directly from the 16S gene sequence strings. Based on 27,579 16S rRNA gene sequences and gene copy number data from the rrnDB database, we show that ANNA16 outperforms the commonly used 16S GCN prediction algorithms. Interestingly, Shapley Additive exPlanations (SHAP) shows that ANNA16 can identify unexpected informative positions in 16S rRNA gene sequences without any prior phylogenetic knowledge, which suggests potential applications beyond 16S GCN prediction.",False,"The abstract describes a deep learning model (ANNA16) that predicts 16S rRNA gene copy number (GCN) from gene sequences. It mentions that SHAP is used to identify informative positions in the gene sequences, which suggests that the model can reveal insights about the sequences themselves. However, the primary focus appears to be on improving prediction accuracy rather than understanding the underlying biological processes. The insights drawn from SHAP are related to the model's performance and the features it considers, rather than a direct understanding of the biological phenomena.
",True,"1. The abstract describes a deep learning method (ANNA16) for predicting 16S rRNA gene copy number (16S GCN).
2. It mentions the use of Shapley Additive exPlanations (SHAP) to identify informative positions in 16S rRNA gene sequences.
3. The key point is whether SHAP is used to understand the underlying biological process or just the model's behavior.
4. The abstract states that SHAP identifies ""unexpected informative positions"" in the gene sequences without prior phylogenetic knowledge.
5. This suggests that SHAP is providing insights into the biological significance of certain gene positions, which goes beyond merely explaining the model's behavior.
"
