,importance,scaled_importance
"A . S . B op anna , J . 1 . The appellant instituted title suit No . 334 of 2011 in the Court of learned Mun s if No . 2 , Kam rup Gu w ah ati against the respondent herein seeking for a declaration that on the western boundary of the suit Schedule properties A , B and C there is a common public drain which can be used by the plaintiff . A declaration is also Signature Not Ver ified sought to the affect that the public drain on the boundary of the suit Schedule C property of the defendant , connected to the plaintiffs property cannot be ob structed by the defendant at any point of time . As an an c illary relief , the appellant has also sought for permanent injunction against the defendant so as to allow free flow of water in the said drain upt o the main GM C drain . 2 . The respondent having appeared , disputed the claim put forth by the plaintiff on merits . In addition , the respondent raised the issue of jurisdiction for the civil court to entertain the suit in view of the provisions contained in the Gu w ah ati Municipal Corporation Act , 1971 ( G MC Act for short ). In the said suit , since the appellant had also prayed for temporary injunction , on consideration it was granted by the trial court , of course without reference to the objection regarding jurisdiction . The respondent had therefore ass ailed the order of injunction by filing an appeal before the Lower App ell ate Court under Section 96 ( 1 ) read with Order 43 Rule 1 of the Civil Procedure Code ( C PC for short ). In the said appeal , the respondent herein who was the appellant had contended that the order dated 30 . 09 . 2011 pass ed by the learned Mun s if was not justified since the issue relating to the maintain ability of the suit vis - a - vis the provisions of the GM C Act barring the jurisdiction of the civil court goes to the root of the case . It was contended that the same was required to be considered and decided , before considering any other relief prayed in the suit . The lower appellate court in the said mis cellaneous application No . 33 / 2011 through its order dated 21 . 09 . 2012 arrived at the conclusion that the jurisdiction aspect is to be decided at the outset by the learned Mun s if . Therefore , without going into the merits , the lower appellate court rem anded the matter by setting aside the order imp ug ned in the said appeal for deciding the question of jurisdiction before considering grant of any other relief . 3 . The appellant herein claiming to be agg rieved by the said order preferred revision petition in CR P No . 260 / 2013 before the Gau hat i High Court . The learned Judge while taking note of the rival content ions , through its order dated 29 . 08 . 2013 had agreed with the decision of the lower appellate court that the jurisdiction of the civil court to entertain the suit was to be decided at the outset . The revision petition was accordingly disposed of . The parties were allowed to urge their content ions in the court of the learned Mun s if . 4 . Purs u ant thereto the learned Mun s if has considered the issue relating to jurisdiction and has by its order dated 16 . 11 . 2013 arrived at the conclusion that the bar contemplated under the GM C Act does not apply to the fact situation , keeping in view the nature of the relief prayed . Accordingly , the learned Mun s if has held that the civil court has jurisdiction to try the suit between the parties . The respondent herein claiming to be agg rieved by the said order dated 16 . 11 . 2013 preferred revision petition in CR P No . 128 / 2018 before the Gau hat i High Court . The learned Judge , through the order dated 06 . 06 . 2014 has held that the jurisdiction of this civil court would stand ousted by implication and the party can claim relief under the procedure prescribed under the GM C Act only . In that background , the order dated 16 . 11 . 2013 imp ug ned in the revision petition was set aside , the suit was held not maintain able and liberty was reserved to the appellant to vent il ate his grievance under the relevant provisions of the GM C Act , if so advised . Accordingly , the plaint in title suit No . 334 / 2011 was ordered to be rejected . The appellant therefore claiming to be agg rieved by the order dated 08 . 04 . 2014 passed by the Gau hat i High Court is before this Court in appeal . 5 . Mr . Par th iv K . Gos w ami , learned counsel for the petitioner while ass ailing the order imp ug ned has contended that the lower appellate court in the first instance and the High Court in the present round have er red in arriving at the conclusion that the suit is not maintain able . It is contended that the reasoning adopted by the High Court to consider the present case to be covered under Order VII Rule 11 ( d ) of the Civil Procedure Code and to bar the civil suit is not justified . It is contended that there is no bar contemplated to approach the civil court for the nature of relief sought in the suit , either under the GM C Act or under any other law for the time being in force . In that regard , the learned counsel has referred to section 341 of the GM C Act which contem plates for a bar of jurisdiction and would point out that the same is restricted to the relief under the part to which the bar is made applicable . In that regard , reference is made to Part VI of the Act to contend that if at all , a civil suit is barred , it is only in respect of the nature of activities which are stated in section 322 and the other provisions which appear in Part VI of the Act . It is argued that the relief sought in the instant suit is in respect of a drain which had existed on the western side of the suit Schedule Properties and to protect the right of free flow of water which had been enjoyed from the time the plaintiff had purchased the property . Such right sought to be protected is within the domain of the civil court . It is contended that even though the provisions contained in section 246 , 247 and 248 of the GM C Act , refer to the power of the Commissioner , any right available to the plaintiff under the said provisions can only be in aid of the relief to be sought by the plaintiff , but in any event cannot be construed as a bar to maintain the suit . It is therefore contended that the order passed by the High Court is not sustainable and the suit should be allowed to be proceeded on its merit . 6 . Mr . Ar un ab h Chow dh ury , learned counsel for the respondent seeks to sustain the order passed by the High Court . The contention is that the GM C Act contem plates a bar against the civil court entertaining the matters relating to the facilities which are to be considered by the Commissioner , under the Act . Even assuming that section 341 of GM C Act contem plates an express bar only in respect of Part VI , the provisions contained in section 246 , 247 and 248 of the GM C Act provide the forum to a property owner seeking for right relating to drain to approach the Commissioner , who shall decide the said issue . In that context , it is contended that though section 341 is not made applicable to Part V , by necessary implication , the suit would stand barred . It is his contention that in this case the plaintiff is seeking for a right in respect of the public drain and in such circumstance when the remedy is provided under the Act , the consideration of the same under the Common law does not arise . He contends that the High Court was justified in invoking the provision contained in Order VII Rule 11 ( d ) of the Civil Procedure Code to hold that the civil court did not have jurisdiction to entertain the instant suit . In that view , the rejection of the plaint ordered is justified . The appellant is not left without a remedy and the alternate forum is allowed to be invoked . In such circumstance , the order imp ug ned does not call for interference . 7 . In the background of the above content ions , the nature of the suit and the relief prayed for therein requires to be noticed only to the limited extent to arrive at a conclusion as to whether the civil court had jurisdiction to proceed with the suit or as to whether a bar with regard to jurisdiction as provided in the GM C Act will apply . Before ad verting to that aspect , it is necessary to take note of the contents in para 9 of CPC which provides for exercise of jurisdiction by civil court . It reads as here under : - 9 . The Courts shall ( subject to the provisions herein contained ) have jurisdiction to try all suits of a civil nature except ing suits of which their cogn iz ance is either expressly or implied ly barred . Explan ation I - A suit in which the right to property or to an office is contested is a suit of a civil nature , notwithstanding that such right may depend entirely on the decision of questions as to religious rites or ceremonies . Explan ation II .- For the purposes of this section , it is imm aterial whether or not any fees are attached to the office referred to in Explan ation I or whether or not such office is attached to a particular place .",0.4337193623851874,2.89400993177925
"___A bare per usal of the same indicates that the courts shall have jurisdiction to try all suits of civil nature except ing suits of which their cogn iz ance is either expressly or implied ly barred . In that background , though in the instant case , the issue had not arisen before the learned Mun s if while considering an application under Order VII Rule 11 ( d ) of CPC , taking note of the fact that the High Court has invoked the said provision to consider as to whether the suit is barred and has thereafter held that the civil court has no jurisdiction and ordered rejection of plaint",-0.2078805943854125,-0.07320246634208043
", it would be appropriate to take note of the provision contained in Order VII Rule 11 ( d ) which reads as here under : - Order VII Rule 11 Re jection of plaint - The plaint shall be rejected in the following cases : - ( a ) xx xx xx xx ( b ) xx xx xx xx ( c ) xx xx xx xx ( d ) where the suit appears from the statement in the plaint to be barred by any law . ( e ) xx xx xx xx ( f ) xx xx xx xx",0.13084262371701794,0.007231063662307402
"___The per usal of the above noted provision would indicate that there would be a bar for the civil court to entertain the suit , if such suit is barred either expressly or implied ly by any law . Further , Order VII Rule 11 ( d ) contem plates that from the statement contained in the plaint the suit should appear to be barred by any law , in which case the plaint shall be rejected .",-0.6334403275718428,-19.230231346398263
"8 . In that backdrop , a per usal of the plaint in the instant suit would disclose that the case pleaded by the appellant is that he along with one Mr . D han Chandra Mah anta purchased schedule A property measuring 15 less as on 08 . 12 . 1997 from Mr . Sail endra Med hi and others . Mr . D han Chandra Mah anta relinqu ished his right in favour of the appellant . The appellant has thus become the sole owner of the suit schedule A property . It is contended that the sale deed indicates that the last part of the western boundary contained a water exhaust drain which was also passing along the western boundary of the property belonging to Ms . Su w ola Devi and would join the public drain maintained by Gu w ah ati Municipal Corporation ( G MC for short ). Another adjacent land owner purchased Schedule B property under sale deed dated 08 . 12 . 1997 wherein also the western boundary travers es through the water drain which connected the public drain of GM C . 9 . It is further aver red in the plaint that the respondent who owns the property on the southern side of the appell ants property , had purchased the extent of 13 less a under sale deed dated 24 . 04 . 1984 wherein the western boundary is shown as public drain . Though the said common drain had existed at the time of purchase and was being used , the defendant is alleged to have blocked the same by dumping R CC material and therefore the water had overfl owed into the appell ants property . It is in that light , the appellant had prayed for the relief to declare that the western boundary of Schedule A , B and C properties contained a common public drain which can be used and the further prayer made in the plaint indicates that , injunction sought is for the peaceful enjoyment of the drain facility to allow the free flow of water upt o the main GM C drain . 10 . The question therefore is as to whether the nature of the relief prayed in the plaint falls exclusively within the domain of the GM C Act and as to whether the case put forth and the relief prayed is barred by any provision contained in the GM C Act so as to dis ent itle the civil court to entertain the suit as contemplated under Section 9 of the CPC , if so , whether a plaint of the present nature was liable to be rejected as envis aged under Order VII Rule 11 ( d ) of CPC . 11 . At the outset it is necessary to take note of Section 341 of the GM C Act which provides for the bar of jurisdiction of civil court which reads as here under : - 341 - Bar of jurisdiction - Save as otherwise expressly provided no civil court shall have jurisdiction to settle , decide or deal with any question , which is by or under this part required to be settled , decided or dealt with by the Commissioner .",-0.7103044813132455,-34.09406126633886
"___On per usal of the contents , it indicates that no civil court shall have jurisdiction to settle , decide or deal with any question which is under that part wherein Section 341 is placed and is required to be settled , decided or dealt with by the Commissioner . The Part VI under which a bar is imposed relates to Land , Buildings and Streets . Therefore , on the face of it , it indicates that the issue relating to a common drain between two private individuals residing within the limits of the Municipal Corporation is not an issue regarding which a specific bar is contemplated against approaching the civil court for relief .",-0.02388743870209087,-1.4665736984325341e-06
"12 . The GM C Act no doubt makes provision to empower the Commissioner under certain circumstances to regulate the manner in which the use of the drain connected with the municipal drain is to be used . The provisions to that effect are contained in Sections 246 , 247 and 248 , in Part V of GM C Act . The said provisions read as here under : - 246 . Ob lig ation of owner or joint owner of drain to allow the uses of it to other : - Every owner of a drain connected with a municipal drain or other place set apart by the Commissioner for drainage shall be bound to allow the use of it to other persons , or to admit other persons as joint owners , thereof , on such terms as may be prescribed under section 248 . 247 . How right of use of a drain may be obtained by a person other than the owner :- Any person des iring to drain his premises into a municipal drain through a drain of which he is not an owner may make a private arrangement with the owner for permission to use his drain , or may apply to the Commissioner for authority to use such drain . 248 . Commissioner may authority person other than the owner of a drain to use the same or declare him to be a joint user thereof :- ( 1 ) Where the Commissioner is of opinion whether on receipt of an application or otherwise , that the most convenient means by which the owner or occup ier of any premises can drain such premises is through a drain belonging to some person other than the said owner or occup ier the Commissioner shall , give the owner of the drain a reasonable opportunity of stating his objection thereto , and if no objection is raised or if the objection appears to him invalid or insufficient , may , by an order in writing author ise the said owner or occup ier to use the drain or declare the said user to be a joint owner thereof on such conditions as may appear to him equitable with regard to the payment of rent or compensation and to connecting the drain of the said premises with the communicating drain and to the responsibilities of the parties for maintaining , repairing , fl ushing and clearing the joint drain . ( 2 ) In respect of the execution of any work under sub - section ( 1 ) the person in whose favour the Commissioners order is made shall be subject to the same restriction and liabilities as are specified in sub - section ( 4 ) of section 245 .",-0.28877452430008876,-0.37866080127793084
"___13 . Per usal of the above noted provisions would indicate that the Commissioner is empowered by granting the authority under GM C Act to compel the owner or joint owner of a drain to permit a person who is not the owner of such drain to use that drain . In effect , the Commissioner is given the authority to create a right in favour of the property owner to drain out the water through the drain owned by any other property owner . In the instant case the appellant is not seeking for creation of such right . The case as pleaded and noticed above indicates that the appellant is asserting about a right which existed and is seeking to safeguard and continue to exercise such right . The case pleaded is not to the effect that any of them own the drain but it is contended that it existed as the western boundary of all the properties in the vicinity and the respondent is seeking to alter that position and is therefore to be restrained . Whether the appellant will succeed or not will depend on the evidence that will be produced to support the pleading .",0.8808638905056261,100.0
14 . The point for consideration is as to whether the existence of such provision in GM C Act would implied ly bar a civil suit .,0.5306505076139305,7.9341221802986235
"___For answering the said question , it would be appropriate to refer to the decision in the case of Shiv Kumar Chad ha v . Municipal Corporation of Delhi and Others ( 1993 ) 3 S CC 161 which in fact was also taken note by the learned Mun s if . The relevant consideration made therein is as here under : - 11 . In the old en days the source of most of the rights and liabilities could be traced to the common law . Then statutory enact ments were few . Even such enact ments only created rights or liabilities but seldom provided forums for remedies . The result was that any person having a grievance that he had been wrong ed or his right was being affected , could approach the ordinary civil court on the principle of law that where there is a right there is a remedy — u bi j us ib i remed ium . As no internal remedy had been provided in the different statutes creating rights or liabilities , the ordinary civil courts had to examine the grievances in the light of different statutes . With the concept of the welfare State , it was realised that enact ments creating liabilities in respect of payment of taxes , obligations after vest ing of estates and confer ring rights on a class of citizens , should be complete codes by themselves . With that object in view , forums were created under the Acts themselves where grievances could be entertained on behalf of the persons agg rieved . Prov isions were also made for appeals and revision to higher authorities . 12 . Then a question arose as to where a particular Act had created a right or liability and had also provided a forum for enforcement of such right or for protection from enforcement of a liability without any authority in law , whether a citizen could approach a court . It may be pointed out that many statutes have created certain rights or liabilities and have also provided the remed ial measures in respect thereof . But such statutes have not touched the common law rights of the citizen . But there are some statutes , which in public interest affect even the common law rights or liabilities of the citizen , which were in the nature of existing rights . The distinction between the two types of rights or liabilities is subtle in nature but at the same time very vital . 23 . With the increase in the number of taxing statutes , welfare legisl ations and enact ments to protect a class of citizens , a trend can be noticed that most of such legisl ations confer decision making powers on various authorities and they seek to limit or exclude courts power to review those decisions . The result is that the power of the court under Section 9 of the Code is being den uded and cur tailed by such special enact ments , in respect of liabilities created or rights conferred . This Court in the judgments referred to above has upheld the o uster of the jurisdiction of the court on examination of two questions — ( 1 ) whether the right or liability in respect where of grievance has been made , had been created under an enactment and it did not relate to a pre - existing common law right ? ( 2 ) Whether the machinery provided for redress al of the grievance in respect of infringement of such right or imposition of a liability under such enactment , was adequate and complete ? The o uster of the jurisdiction of the court was upheld on the finding that the rights or liabilities in question had been created by the Act in question and remedy provided therein was adequate . 24 . But the situation will be different where a statute pur ports to curb and curtail a pre - existing common law right and pur ports to oust the jurisdiction of the court so far remedy against the orders passed under such statute are concerned . In such cases , the courts have to be more vigilant , while examining the question as to whether an adequate redress al machinery has been provided , before which the person agg rieved may ag itate his grievance . In the case of Kat ik ara Ch int am ani D ora v . G unt red di Ann aman aid u [( 1974 ) 1 S CC 5 67 : AIR 1974 SC 10 69 ] this Court after referring to the case of Add ank i T iru ven k ata Th ata Des ika Ch ary ulu v . State of A . P . [ AIR 1964 SC 8 07 ] observed : ( S CC p . 5 79 , para 35 ) It was pert inently added that this exclusion of the jurisdiction of the civil court would be subject to two limitations . First , the Civil Courts have jurisdiction to examine into cases where the provisions of the Act have not been complied with or the statutory tribunal has not acted in conformity with the fundamental principles of judicial procedure . The second is as regards the exact extent to which the powers of statutory trib un als are exclusive . The question as to whether any particular case falls under the first or the second of the above categories would depend on the purpose of the statute and its general scheme , taken in conjunction with the scope of the enqu iry entrusted to the tribunal set up and other relevant factors . It was held that a suit for declaration that the decision of the Settlement Officer / T rib unal holding certain properties to be an estate under Section 3 ( 2 )( d ) of the 1908 Act was void , was maintain able on the ground that the suit property was not an in am village . In Py x Gran ite Co . Ltd . v . Ministry of Housing and Local Government [( 1960 ) AC 260 ] the appell ants sought a declaration of their common law right to quarry their land without the need to obtain planning permission under the Town and Country Planning Act , 1947 . In that connection it was said : The appellant - company are given no new right of quarry ing by the Act of 1947 . Their right is a common - law right and the only question is how far it has been taken away . They do not un o flat u claim under the Act and seek a remedy elsewhere . On the contrary , they deny that they come within its pur view and seek a declaration to that effect . 25 . In spite of the bar placed on the power of the court , orders passed under such statutes can be examined on jurisd ictional question . To illustrate : a special machinery has been provided for removal of the enc roach ments from public land under different enact ments in different States and the jurisdiction of the court has been barred in respect of the orders passed by such special trib un als or authorities constituted under such Acts . Still a suit will be maintain able before a court on a plea that the land in question shall not be deemed to be a public land within the meaning of the definition of public land given in the Act in question , and as such provisions thereof shall not be applicable . 15 . Further , this Court in the case of R ames h Gob ind ram vs . Sug ra Hum ay un Mir za Wak f ( 2010 ) 8 S CC 7 26 while examining the bar of civil court as contemplated under Section 85 of the Wak f Act , 1995 had drawn a distinction that such power would apply only in respect of the issues arising under certain provisions of Act i . e ., Section 6 , 7 and 83 of the Wak f Act , 1995 and had held that a suit before a civil court would be maintain able for other relief s notwithstanding the creation of the Wak f tribunal under the Act , unless the dispute falls within the four corners of the powers vested in the Tribunal . Therefore , despite there being the bar of jurisdiction of the civil courts under the Act , as noted , except for the disputes arising to the limited extent all other issues were held to be maintain able before the civil court . The relevant consideration is as here under : - 8 . Wak fs and matters relating thereto were for a long time governed by the Wak f Act , 1954 . The need for a fresh legislation on the subject was , however , felt because of the deficiencies noticed in the working of the said earlier enactment especially those governing the Wak f Boards , their power of super intend ence and control over the management of individual w ak fs . Repe ated amendments to the 1954 Act , having failed to provide effective answers to the questions that kept arising for consideration , Parliament had to bring a comprehensive legislation in the form of the Wak f Act , 1995 for better administration of w ak fs and matters connected there with or incidental thereto . 16 . In the above circumstance , while ad verting to the present case it is seen that sections 246 , 247 and 248 though referred to the ownership and the manner in which the drains connected to municipal drain are to be used and the Commissioner is given the authority to compel the owner of a drain to permit another property owner to use the same , the said provisions cannot be considered either as an express or an implied bar on the civil court to entertain a suit relating to the declaration of an existing right to use of the drain as asserted in the plaint . 17 . In fact , the existence of a drain as claimed by the appellant in the plaint as on the date of purchase of the property and the same being used throughout is an issue which is to be proved based on the evidence that would be tend ered in the suit . The provisions contained in Section 246 , 247 and 248 of the GM C Act would be the provisions which would come to the aid of the appellant if ultimately the respondent establishes his ownership right over the drain , despite the appellant proving the existence of the drain . No doubt , the appellant could have also filed an application to the Commissioner seeking the relief to which the Commissioner could exercise his authority but that would have arisen only if the appellant had conceded to the position that the respondent is the owner of the drain . Even in such circumstance , if relief was not made available to the appellant by the Commissioner and if he was dissatisfied with the manner in which such authority was exercised by the Commissioner it would still have been open to approach the court for relief . The learned Advocate for respondent has in this regard contended that an appeal is provided under Section 4 38 of GM C Act . However , we do not consider it as an alternate and effic acious remedy in a case of the present nature . The relief sought in the instant suit is in the nature of decl ar atory relief in an inter se dispute between the parties . The consideration by the statutory authority as provided under GM C Act is of summary nature . Further , the appeal provided is in respect of any notice issued or action taken or proposed to be taken by the Commissioner , which in effect provides the appeal remedy only to the owner of the drain against whom action is proposed . 18 . Further as already noted , in the instant case the aver ments contained in the plaint and the prayer made would disclose that the appellant is not seeking for creation of a right over the drain owned by the defendant nor is any issue raised with regard to the drain of GM C . But the case as put forth is that the property of the appellant , Ms . Su w ola Devi and the defendant are contiguous to one another which are shown as suit schedule A , B and C properties and on the western side of the property starting from the appell ants property , there is a drain , which is shown as the boundary and it facilitates the water to flow into the GM C drain . Such relief is to be considered in the suit based on the evidence that would be tend ered . Therefore , such relief is not barred under any law . 19 . In view of the above , it is clear that the High Court without taking note of these aspects of the matter has wrongly invoked the provisions contained in Order VII Rule 11 ( d ) of the Civil Procedure Code to reject the plaint , when in the instant facts there is neither express nor implied bar under any law . On the other hand , the learned Mun s if was justified in passing the order dated 16 . 11 . 2013 in T . S . No . 334 / 2011 holding the suit to be maintain able .",0.4973272397010946,5.736766847320986
