,importance,scaled_importance
"W anch oo , J . 1 . These appeals and writ petitions raise common questions and will be dealt with together . The appeals arise out of six writ petitions filed in the M ys ore High Court and six of the writ petitions filed in this Court are by the same petition ers who applied in the M ys ore High Court . Two writ petitions ( N os . 173 and 174 ) have been filed by two others . They also filed writ petitions in the High Court , though they have not filed appeals from the decision of the High Court . They will all be referred to as petition ers hereafter . 2 . The case before the High Court was briefly this . All the petition ers were appointed Sub - In spect ors in the former Hyder abad State , under S . 6 of the Hyder abad District Police Act ( No . X of 13 29 ( F as li ). Under R . 399 of the Hyder abad District Police Manual , issued by the Government of Hyder abad under S . 10 of the Hyder abad District Police Act , posts of Circle - In spect ors were to be filled by promotion from the rank of Sub - In spect ors . The subsequent Rules provided for the procedure for this purpose . The names of selected Sub - In spect ors who were considered fit for promotion were sent by the Deputy Inspect ors - General of Police and the Commissioner of City Police of Hyder abad to the Inspector - General of Police . There after a Board consisting of the Inspector - General of Police and all the Deputy Inspect ors - General of Police , Commissioner of City Police , Hyder abad and Assistant Inspector - General of Police interviewed the candidates and prepared an approved list of Sub - In spect ors fit for promotion . This approved list used to be called the eligibility list and promotions to the post of Circle Inspector used to be made from this list . The case of the petition ers in the High Court was that their names were included in the eligibility list published in the month of October 1956 before the States Re organ isation Act ( No . XXX VII of 1956 ) came into force on November 1 , 1956 . They therefore contended that in view of the entry of their names in the eligibility list they were entitled as of right to promotion to the post of Circle Inspector as and when vacancies occurred . On the coming into force of the States Re organ isation Act , certain areas from the States of Bombay , Hyder abad , Mad ras and the whole of Co org were made part of the new State of M ys ore in addition to the existing State of M ys ore . In consequence , certain public servants belonging to these States from which areas were added to the old State of M ys ore were transferred to the new State of M ys ore thus formed out of the old State of M ys ore and the areas to it . Among these were the petition ers . 3 . Under S . 115 of the States Re organ isation Act , public servants so transferred were deemed to serve in connection with the affairs of the principal successor State . Provision was also made for the establishment of one or more advisory boards for the purpose of assistance in regard to the division and integration of services amongst the new States and the ensuring of fair and equitable treatment to all persons affected by the States Re organ isation Act . Section 115 further provided that the conditions of service applicable immediately before the appointed day ( name ly , November 1 , 1956 ), shall not be varied to the disadvantage of any person transferred to the new State except with the previous approval of the Central Government . Section 116 ( 1 ) provided for the continu ance of public servants in the same posts ; but Sub - s . ( 2 ) there of laid down that nothing in Sub - s . ( 1 ) shall prevent a competent authority after the appointed day from passing in relation to any such person any order affecting his continu ance in such post or office thereby recogn ising the right of the successor inter al ia to transfer officers anywhere in the new State after November 1 , 1956 . 4 . The petition ers continued to serve in the new State and as they were in the eligibility list referred to above they were promoted as Circle Inspect ors on various dated after November 1 , 1956 . It may be mentioned that eligibility lists were received in the new State of M ys ore from all the States from which areas had been transferred to it under the States Re organ isation Act and these lists continued to be acted upon as and when vacancies arose in the cad re of Circle Inspect ors . It also appears that pending integration promotion were made from these eligibility lists ad hoc , or as they were called "" out of senior ity , and continued to be so made pending integration . The petition ers were thus promoted ad hoc Circle Inspect ors from the eligibility list received from the former Hyder abad State and continued to act for varying periods as such . It appears further that the petition ers were ordered to be reverted when certain confirmed Circle Inspect ors who were on leave or on dep utation outside the State returned to the new State . There upon the petition ers filed writ s before the High Court in which they claimed that as they had been put in the eligibility list by the former Hyder abad State , they were entitled as of right to promotion as Circle Inspect ors and to continue as such thereafter and the order of their re version amounted to reduction in rank . They therefore prayed for a writ , order or direction qu ashing the orders dated September 6 , 1962 ordering their re version and directing the State Government to continue them as Circle Inspect ors and to confirm them as such . Further during the course of arguments before the High Court , reliance was placed on R . 2 ( c ) of the Senior ity Rules framed by the Governor of M ys ore in 1957 and the writ petitions before this Court are mainly based on that senior ity rule to which we shall refer in due course . 5 . The case of the State Government was briefly this . It was admitted that after November 1 , 1956 , these officers were transferred to the new State of M ys ore and eligibility lists were received from all the States from which territories and officers were transferred to the new State of M ys ore . As however integration of various services was bound to take time , the new State by virtue of the powers conferred on it under the States Re organ isation Act , started acting on the eligibility lists received from the various States in anticipation of integration and promoting Sub - In spect ors to the rank of Circle Inspect ors from those eligibility lists on an ad hoc basis and this was made clear in the various orders that were passed from time to time by using the words "" out of senior ity when such promotions were made . Eventually a provisional integrated senior ity list of all sub - In spect ors including those who were offic iating as Circle Inspect ors ( here ina fter referred to as the provisional list ) was prepared in February 1958 . In 1962 when senior Circle Inspect ors returned to the State from dep utation , some offic iating Circle Inspect ors ( other than the petition ers ) were reverted . They filed writ petitions before the High Court in 1962 cont ending that even though they had been promoted later they should not have been reverted in view of their position in the provisional list and that that list should have been ad hered to and those junior to them in the provisional list should have been reverted . This contention was accepted by the High Court and in consequence revers ions began to be made in accordance with the provisional list in compliance with the view taken by the High Court . That was why the jun i orm ost Sub - In spect ors according to the provisional list who were in the eligibility list and who were offic iating as Circle Inspect ors were reverted . In consequence the petition ers were also reverted when senior officers came back to the State . It was further urged that the eligibility lists gave no right to the Sub - In spect ors whose names were borne on those lists to promotion as Circle Inspect ors though it was not disputed that only those who were in the eligibility lists could be promoted as Circle Inspect ors . But the fact that a Sub - In spect ors name was in the eligibility list did not confer any right on him to promotion in view of the Rules . Further it was contended that offic iating Circle Inspect ors could not claim confirmation as an automatic right after they had worked for a certain number of years as such and that they could only become confirmed Circle Inspect ors when orders to that effect were expressly made by the Government . In the present cases the petition ers were never confirmed by the Government as Inspect ors . There was therefore no question of any reduction in rank . It is not in dispute that the petition ers were not reverted on account of any fault on their part they had to be reverted only because of ex ig encies of service as senior inspectors had come back to the State from dep utation or had returned from leave . It was urged that the re version in the present case could not amount to reduction in rank and was in ordinary course due to ex ig encies of service . As to R . 2 ( c ) of the Senior ity Rules , the case of the Government was that that rule governed the senior ity of inspectors while they were acting as such and had nothing to do with the question of re version , and in any case considering that promotions had been made after November 1 , 1956 on ad hoc basis , the Rule would not confer any right on the petition ers and the Government was justified in following the provisional list in view of the observations of the High Court referred to above . It was therefore contended that the petition ers had no right to the posts from which they were reverted and there was no reduction in rank and they were not entitled to any benefit of R . 2 ( c ). 6 . The High Court accepted the content ions raised on behalf of the State and dismissed the petitions . There upon special leave was obtained by six of the petition ers in the High Court and that is how we have six appeals before us . These six appell ants have also filed six writ petitions before this Court in addition to two other writ petitions filed by two other petition ers in the High Court who had not filed appeals . 7 . The first two questions that fall for consideration are whether the fact that a Sub - In spect ors name is put in the eligibility list gives an indef eas ible right to him to promotion , and whether after such promotion on a temporary or offic iating basis he gets a right not to be reverted under any circumstances .",0.6261077264949213,12.275278674703253
"___We are of opinion that the fact that a Sub - In spect ors name is in the eligibility list gives him no right of the kind urged on behalf of the petition ers . The Rules in that behalf that are relevant are 399 to 403 of the Hyder abad District Police Manual . Rule 399 provides that vacancies in the rank of Circle Inspect ors are to be filled by the promotion of selected Sub - In spect ors and R . 403 lays down that "" no direct appointments to the rank of Circle Inspector will be made . Rule 400 presc ribes the procedure for putting the names in the eligibility list . Rule 402 refers to Sub - In spect ors serving in the C . I . D . Rule 401 lays down that Sub - In spect ors whose names are entered in the approved list will be interviewed by the Deputy Inspector - General of Police in the course of his cold weather tour and each Sub - In spect ors work during the year will be examined and report will then be made to the Inspector - General of Police whether the officer had maintained his fitness for promotion or not . Thus R . 401 makes it clear that even after the Sub - In spect ors name is put in the eligibility list , his fitness for promotion is to be decided year by year and a report has to be made whether he has maintained his fitness for promotion or not . This obviously means that where a S . I . has not maintained his fitness his name can be removed from the eligibility list . It follows therefore that the mere fact that a Sub - In spect ors name is once put in the eligibility list does not give him an indef eas ible right to promotion as a Circle Inspector . Then there is R . 4 86 which governs promotions generally . It lays down that promotion cannot be claimed as a matter of right , though officers and men of all ranks are entitled to expect promotion if they have good records , and if they are smart and efficient and have a thorough knowledge of their duties . This again clearly shows that merely because a Sub - In spect ors name is put in the eligibility list , he cannot claim promotion as a matter of right . Rule 4 86 further provides that all officers who are promoted will be on probation for a period of two years . They may be reverted at any time during this period by the authority competent to promote them , if their conduct and work are not satisfactory , or if they are found unsu itable for the appointment to which they have been promoted . This clearly shows that even where a Sub - In spect or has actually been promoted as Circle Inspector he remains on probation for two years and during that period he is likely to be reverted if his work and conduct are not found satisfactory . This again negatives the contention on behalf of the petition ers that they had an indef eas ible right to promotion because their names had been put on the eligibility list and that they could not be reverted after they had once started acting as Circle Inspect ors . Lastly , R . 4 86 provides that promoted officers will be confirmed at the end of their probation ary period if they have given satisfaction . This clearly shows that it is only when the probation ary period is over and the promoted officer has given satisfaction during the whole of that period that he will be confirmed . It is clear therefore reading R r . 401 and 4 86 together that the mere fact that a Sub - In spect ors name is put in the eligibility list does not give him any indef eas ible right to promotion . Further the fact that he is actually promoted , temporarily or as offic iating , does not give him any right to continu ance even during the period of two years probation and he is liable to be reverted at any time even during those two years if his work is found unsatisf actory ; it is only when the authority concerned has found that his work and conduct are satisfactory during the probation period that he can be confirmed . The contention of the petition ers that they had any right under the eligibility list for promotion or that after they had actually been promoted , they had a right to continue in the post of Circle Inspector , therefore , must be",0.95245132690764,100.0
"neg at ived . 8 . It has further been urged on the basis of R . 4 86 that as the petition ers had worked for more than two years on probation , they became automatically confirmed under the said Rule , and reliance is placed on the following sentence in R . 4 86 , namely , "" prom oted officers will be confirmed at the end of their probation ary period if they have given satisfaction . The law on the question has been settled by this Court in Su kh b ans Singh v . State of Punjab , AIR 1962 SC 17 11 . It has been held in that case that a probation er cannot after the exp iry of the probation ary period automatically acquire the status of a permanent member of a service , unless of course the rules under which he is appointed expressly provide for such a result . Therefore",0.7795873128910804,36.737521885271995
"___even though a probation er may have continued to act in the post to which he is appointed on probation for more than the initial period of probation , he cannot become a permanent servant merely because of eff lux of time , unless the Rules of service which govern him specifically lay down that the probation er will be automatically confirmed after the initial period of probation is",0.5291239487154171,5.291430998090801
over . It is contended on behalf of the petition ers before us that the part of R . 4 86 ( which we have set out above ) expressly provides for automatic confirmation after the period of probation is over . We are of opinion that there is no force in this contention . It,0.39649695563658116,1.2502167972519733
"___is true that the words used in the sentence set out above are not that promoted officers will be eligible or qualified for promotion at the end of their probation ary period which are the words to be often found in the Rules in such cases : even so , though this part of R . 4 86 says that "" prom oted officers will be confirmed at the end of their probation ary period . it is qualified by the words "" if they have given satisfaction . Clearly therefore the Rule does not contemplate automatic confirmation after the probation ary period of two years , for a promoted officer can only be confirmed under this Rule if he has given satisfaction . This condition of giving satisfaction must be fulfilled before a promoted officer can be confirmed under this rule and this condition obviously means that the authority competent to confirm him must pass an order to the effect that the probation ary officer has given satisfaction and is , therefore , confirmed . The petition ers , therefore , cannot claim that they must be treated as confirmed circle inspectors simply because they have worked for more than two years on probation ; they can only become confirmed circle inspectors if an order to that effect has been passed even under this rule by the competent authority . The first contention , therefore , that the petition ers before us have an indef eas ible right to promotion once their names are put in the eligibility list and that they are entitled to continue as circle inspectors thereafter if they have once been promoted , on temporary or offic iating basis , cannot be",-0.32900366064820075,-0.49180132539201504
"sustained . 9 . This brings us to the next question whether the re version in the present cases can be said to amount to reduction in rank . In view of what we have said above on the first point raised on behalf of the petition ers , it is clear that the petition ers cannot be treated as confirmed circle inspectors . It is not disputed that they have never been confirmed as such . It is also not disputed that they have not been reverted on account of any fault in their work . The re version has been made simply because senior circle inspectors have come back to the State either from dep utation or from leave and they have to be accommod ated . Such re version , therefore , cannot amount to reduction in rank for two reasons , ( first ly ) because the petition ers before us were never confirmed as circle inspectors and had no right to that post , and ( second ly ) because the re version is on account of ex ig encies of service and not on account of any fault on their part . Re version on account of ex ig encies of service , as senior officers have come back from dep utation or from leave , cannot in our opinion amount to reduction in rank . The contention of the petition ers that by this re version they have been reduced in rank , therefore , fails . 10 . The next point that has been urged is that in any case till final integration of service was made , the State Government was not entitled to take into account the provisional list of sub - ins pect ors and could only proceed to give promotions and to make transfers region - wise according to the eligibility lists of former States from which the territories came to the new State and if that was done the petition ers being senior in their region could not be reverted . We",-0.7046288435865853,-22.160937462093774
"___are of opinion that there is no force in this contention . It is true that for sometime the State Government did proceed on this basis for there was no integrated list , whether provisional or final , available ; but that does not mean that under the law it could not act on the provisional list once it was made till it was made final or that there was any est opp el against the State Government in view of its having acted region wise for sometime . We have already indicated that territories from four States came to the old State of M ys ore and that necessarily raised difficult question of integration , and so the State Government made ad hoc promotions region wise or out of senior ity as was stated by it in various Government orders . But the State is bound to be treated as one unit for purposes of administration . We may also refer to Section 116 ( 2 ) of the States Re organ isation Act , which makes it clear that after the appointed day the whole State will be treated as one unit and nothing would prevent the competent authority after the appointed day from passing in relation to any such officer allotted to the new State any order affecting his continu ance in such post or office . We cannot , therefore , accept the contention that the State Government was bound till the final list of integration was made , to make transfers only region wise . We can see nothing in law which prevents the State Government from proceeding according to the provisional list after such list was prepared . We are of opinion that the view taken by the M ys ore High Court in the earlier writ petitions after the framing of the provisional senior ity list is correct and the State Government would be entitled to act on that list subject of course to this that if the provisional list is in any way altered when the final list is prepared , the State Government would give effect to the final list . The contention of the petition ers that the State Government should have continued to make promotions and transfers region wise only even after the provisional list was made , therefore , must fail . It may be added that the State Government would be entitled and bound after the appointed day to treat the State as one whole unit and make such orders of transfer , as it thought fit , treating the whole State as one",-0.8747279938803805,-65.33579371605187
"unit . 11 . Lastly we come to the contention based on R . 2 ( c ) of the M ys ore Senior ity Rules which was argued before the High Court at the hearing though it was not specifically raised in the petitions there and this is the main basis of the writ petitions before us . The rule was promulg ated by the Governor of M ys ore from February 1958 and is in these terms : -"" Senior ity inter se of persons appointed on temporary basis will be determined by the dates of their continuous offic iation in that grade and where the period of offic iation is the same the senior ity inter se in the lower grade shall prevail . The contention on behalf of the petition ers is that in view of this rule , they should be considered senior to other circle inspectors who were promoted after they were promoted as circle inspectors and , therefore , they should not have been reverted , but the other circle inspectors who were promoted after them as circle inspectors should have been reverted , on the principle that jun i orm ost offic iating persons must be reverted . 12 . Now R . 2 ( c ) as it stands merely provides for senior ity between persons offic iating in a higher rank when they are offic iating as such ; it is not an express rule as to the manner in which re version should be made where revers ions are necessary on account of ex ig encies of service . The",-0.5161965915970304,-4.675862236075095
"___rule , therefore , cannot be held as expressly providing for the principle of "" last come first go "" with which one is familiar in industrial law . St rict ly speaking , therefore , the petition ers cannot claim that R . 2 ( c ) has been violated by their re version , for it does not provide for re version and only provides for the senior ity of officers who are offic iating in a higher grade . Even so , it may be conceded that when re version takes place on account of ex ig encies of public service , the usual principle is that the jun i orm ost persons among those offic iating in clear or long term vacancies are generally reverted to make room for the senior officers coming back from dep utation or from leave , etc . Further ordinarily as promotion on offic iating basis is generally according to senior ity , subject to fitness for promotion , the jun i orm ost person reverted is usually the person promoted last . This state of affairs prev ails ordinarily unless there are extraordinary circumstances , as in the present case . We have already set out above that the new State of M ys ore was formed of the territories of the old State of M ys ore and the territories of four other States . The consequence of this was that officers from the other States as well as from the old State of M ys ore became officers of the new State and the question of their integration inter se had to be decided in accordance with S . 115 of the States Re organ isation Act . That matter had to take time and , therefore , in the interest of administration ad hoc promotions continued to be made by the new State of M ys ore after November 1 , 1956 . The result of this ad hoc promotion was that the normal principle of promotion based on senior ity subject to fitness in a State where there is no question of integration could not work and that is why we find that orders were passed by the new State promoting sub - ins pect ors from various eligibility lists with regard to senior ity inter se of officers from various States . It was only in 1958 that the provisional list of sub - ins pect ors was prepared . When this provisional list was prepared it was found that the promotions which had till then been made out of eligibility lists received from various States were not in accordance with the provisional list and it so happened in many cases that sub - ins pect ors who were seniors in the provisional list and who were also in the eligibility lists of the various States were promoted after sub - ins pect ors who were junior in the provisional list though they were also in the eligibility lists . It was because of these special circumstances arising out of the provisional list which began to be put into effect after 1956 that the situation arose that offic iating inspectors who had been offic iating for a longer time had to be reverted before offic iating inspectors who had been offic iating for a shorter time because of the senior ity in the provisional list . We are , therefore , of opinion that it was because of the special circumstances after November 1 , 1956 that the petition ers and those like them who were really junior to other sub - ins pect ors in the eligibility lists came to be promoted earlier because there was no provisional list available or in actual force when the promotions were made ad hoc and out of senior ity . It was only when the provisional list was made that inter se senior ity of officers coming from various States became prim a fac ie known . Therefore , when revers ions had to be made on account of ex ig encies of service in accordance with the provisional list it was bound to happen in view of the earlier ad hoc promotions that some offic iating inspectors who had been promoted earlier had to be reverted in preference to others who had been promoted later in these circumstances . It cannot , therefore , be said in view of the special circumstances prevailing in the State consequ ent on the States Re organ isation Act that the departure from the normal method of re version was unjust ified after the making of the provisional list . The petition ers therefore , cannot rely on R . 2 ( c ) in the peculiar circumstances prevailing in the State after the reorgan isation because promotions were made ad hoc without regard to inter se senior ity of officers from different States . It is only because of this special circumstance that it appears as if R . 2 ( c ) is being disreg arded in the matter of re version for the promotions were made without regard to integrated senior ity and resulted in sub - ins pect ors who were jun iors in integrated senior ity being promoted earlier . We are , therefore , of opinion that R . 2 ( c ) does not strictly apply in the present case . But even on the basis that the jun i orm ost should first be reverted in case re version has to take place on account of ex ig encies of service , it cannot be said that the re version of the petition ers is an act of discrimination , for the affidavit on behalf of the State Government shows that they are really jun i orm ost in the provisional list though they might have in the exceptional circumstances indicated above acted longer as offic iating circle inspectors than others who have not been reverted . We are , therefore , of opinion that the charge of discrimination based on the violation of R . 2 ( c ) cannot in the special circumstances of this case be sustained , for it is not in dispute that they were the jun i orm ost according to the provisional list , when the orders of re version were made .",-0.13543703763740278,-0.005813976531166668
