,importance,scaled_importance
"S hel at , J . 1 . The appellant has been carrying on business and is a dealer in fire wood and charcoal . For the period from March 29 , 1962 to April 29 , 1962 , he was assessed to sales tax under S . 18 ( 6 ) of the Mad hya Pradesh General Sales Tax Act , 1958 as he did not have any registration certificate in respect of this period . The Additional Sales Tax Officer , U jj ain , and the Additional App ell ate Assistant Commissioner , Ind ore , both held that charcoal in which the appellant was dealing was not covered by Entry I of Part III of Sch . II to the Act , but that it fell under the resid uary Entry I of Part VI of that Schedule ; and consequently was liable to be assessed at the rate of 4 per cent of the price of charcoal . In a further appeal before the Board of Revenue , the Board , relying on the dictionary meaning of the word coal as given in Black ies Conc ise Dictionary , held that charcoal would be included in the term coal , and , therefore , Entry I in Part III of Sch . II would apply and the tax charge able would be at 2 per cent only . At the instance of the Commissioner of Sales Tax , the Board referred the following question to the High Court : -"" Whether charcoal is covered under Entry I of Part III of Sch . II to the M . P . General Sales Tax Act , 1958 , and is taxable at the rate of 2 per cent or will be taxable at the rate of 4 per cent under Entry I of Part VI of Sch . II to the M . P . General Sales Tax Act , 1958 ?"" The High Court held that while const ru ing entries in a statute like the Sales Tax Acts , the Court should prefer the popular meaning of the terms used in such entries and not their dictionary meanings and that so construed charcoal would be included in the word coal . Consequently , it answered the question in favour of the respondent . According to the High Court , charcoal would be covered by Entry I of Part III of Sch . II and was taxable at 2 per cent . Hence this appeal by special leave . Entry I of Part III of Sch . II reads as follows : -"" 1 . Coal , including co ke in all its forms - 2 per cent ."" Entry I of Part VI of the said Schedule reads as follows : -"" 1 . All other goods not included in Sch . I or any other part of this Schedule - 4 per cent "". We may also reproduce Entry 8 of Part III of Sch . II which is : -"" 8 . Fire wood - 2 per cent "". 2 . The meaning given to the word coal in Black ies Conc ise Dictionary , New Edition , p . 134 relied on by the Board reads as follows : -"" Co al : Kol : A piece of wood or other combust ible substance burning or charred ; charcoal ; a c inder ; now , usually a solid black substance found in the earth , largely employed as fuel , and formed from vast masses of vegetable matter deposited through the luxurious growth of plants in former epoch s of the earth s history "". The Sh orter Oxford English Dictionary at pp . 330 and 331 gives the meaning of coal as follows : -"" 1 . A piece of carbon glowing without a flame . 2 . A piece of burnt wood , etc ., that is still capable of combustion without flame , c inder , ashes . 3 . Char coal . 4 . A mineral , solid , hard , opaque , black or black ish , found in seams in the earth , and largely used as fuel ; it consists of carbon ized vegetable matter "". At p . 293 , the said Dictionary gives the meaning of charcoal as follows : -"" The suggestion that Char - Ch are v . or s b . as if turn - coal , i . e ., wood turned into coal , lacks support . 1 . The black porous residue , consisting ( when pure ) wholly of carbon , obtained from partly burnt wood , bones , etc . Hence specified as wood , vegetable , animal , etc ."" . The Web sters New International Dictionary gives the following meaning of charcoal at p . 45 2 :- ""( Char to burn , reduce to coal ; Coal ); 1 . A dark coloured or black porous form of carbon prepared from vegetable or animal substance , as that made by charging wood in a kil n , ret ort , etc ., from which air is excluded "".",0.00059383735,25.326048
"___3 . According to these D iction aries coal would appear to include charcoal . The contention of the respondent was that charcoal is one of the species of coal , and , therefore , would be covered by Entry I of Part III , and , therefore , the answer given by the High Court is correct .",0.0020033957,85.44106
"Counsel for the State , however , raised three content ions ; ( 1 ) that coal and charcoal are different products , one being a mineral product and the other prepared from wood and other articles by human agency , and , therefore , the term coal would not cover charcoal ; ( 2 ) that while const ru ing such entries , the dictionary meaning should not be preferred to the popular meaning or the meaning in the commercial sense ; and ( 3 ) that the Legislative policy in reference to the term coal shows that it is not used by the Legislature in India so as to include charcoal . 4 .",-0.001960168,-83.59747
"___Now , there can be no dispute that while coal is technically understood as a mineral product , charcoal is manufactured by human agency from products like wood and other things . But it is now well - sett led that while interpreting items in statutes like the Sales Tax Acts , resort should be had not to the scientific or the technical meaning of such terms but to their popular meaning or the meaning attached to them by those dealing in them , that is to say , to their commercial sense .",-0.0017362189,-74.04648
"In Ram av atar Bud ha ip ras ad v . As st . Sales Tax Officer , Ak ola , ( 19 62 ) 1 SC R 279 ( AIR 1961 SC 13 25 ) the petition ers who were dealers in bet el leaves were assessed to sales tax under the C . P . and Ber ar Sales Tax Act , 1947 . They contended that under S . 6 read with the Second Schedule of the Act bet el leaves were not taxable . Section 6 provided that articles mentioned in that Schedule were exempt from sales tax and articles not mentioned were taxable . There were two items in the Schedule , namely , item 6 , "" ve get ables "", and item 36 , "" bet el leaves "", but subsequently item No . 36 was deleted by an amendment of the Act . This Court held that the use of two distinct and different items , i . e . vegetables and bet el leaves and the subsequent removal of bet el leaves from the Schedule were indicative of the Legisl atures intention of not exempt ing bet el leaves from taxation . The Court laid down that the word vegetable must be interpreted not in a technical sense but in its popular sense as understood in common language , i . e ., den oting a class of vegetables which are grown in a kitchen garden or on a farm and are used for the table . The same principle was also laid down in His Majesty the King v . Plan ters Nut and Chocolate Co . Ltd ., 1951 CLR ( Ex ) 122 . The question there was whether sal ted peanuts and cas hew nuts fell within the category of either fruits or vegetables . A considerable expert opinion was led in that case , but the Court ultimately found that the Parliament in enact ing the Exc ise Tax Act , 1927 , Part XIII and Sch . III was not using words which were applied to any particular science or art and , therefore , the words used are to be construed as they are understood in common language . It also held that what constitutes a fruit or vegetable within the meaning of the Exc ise Tax Act is what would ordinarily in matters of commerce in Canada be included therein and not what would be a bot an ists conception of the subject - matter . If a statute uses the ordinary words in every day use , such words should be construed according to their popular sense . At p . 128 of the Report Cameron , J . observed , "" The object of the Exc ise Tax Act is to raise revenue , and for this purpose to class substance according to the general usage and known denominations of trade . In my view , therefore , it is not the bot an ists conception as to what constitutes a fruit or vegetable which must govern the interpretation to be placed on the words , but rather what would ordinarily in matters of commerce in Canada be included therein . Bot an ically , oranges and le mons are berries , but otherwise no one would consider them as such "". This rule was stated as early as 18 31 by Lord T enter dan in Attorney - General v . Win stan ley , ( 18 21 ) 2 Dow and Cl 302 . Similarly , in Gren fell v . In land Revenue Comm rs ., ( 18 76 ) 1 Ex D 242 at p . 248 , Poll ock , B . observed , "" that if a statute contains language which is capable of being construed in a popular sense such statute is not to be construed according to the strict or technical meaning of the language contained in it , but is to be construed in its popular sense , meaning of course , by the words popular sense , that sense which people convers ant with the subject - matter with which the statute is dealing would attribute to it "". But "" if a word in its popular sense and read in an ordinary way is capable of two construct ions it is wise to adopt such a construction as is based on the assumption that Parliament merely intended to give so much power as was necessary for carrying out the objects of the Act and not to give any unnecessary powers . In other words , the construction of the words is to be adopted to the fitness of the matter of the statute "". On the other hand , as Fry , J . said in Holt and Co . v . C olly er , ( 18 81 ) 16 Ch D 7 18 at p . 720 "" If it is a word which is of a technical or scientific character then it must be construed according to that which is its primary meaning , namely , its technical or scientific meaning "". 5 . Our attention was drawn to the decision in K . V . Var key v . Agricultural Income - tax and Rural Sales Tax Officer , Pe erm ade , ( 19 54 ) 5 ST C 348 : ( AIR 1956 T rav Co 105 ), where green leaves pl ucked from tea bushes were held to fall under the word tea . But this decision turned on the definitions of turnover in S . 3 of the T rav anc ore General Sales Tax Act , XV III of 112 4 which while including sales of agricultural or h ort icultural produce included tea , coffee , rubber , etc ., in the turnover . The Court held there that tea was not in the statute in the sense in which it is used in commerce but in the sense of a product of plant life , and , therefore , green leaves pl ucked from tea plants were covered by the term tea . 6 .",-0.0014138628,-60.298595
"___The result emerging from these decisions is that while const ru ing the word coal in Entry I of Part III of Sch . II , the test that would be applied is what would be the meaning which persons dealing with coal and consumers purchasing it as fuel would give to that word . A sales tax statute is being one lev ying a tax on goods must in the absence of a technical term or a term of science or art , be presumed to have used an ordinary term as coal according to the meaning asc ribed to it in common par lance . View ed from that angle both a merchant dealing in coal and a consumer wanting to purchase it would regard coal not in its geological sense but in the sense as ordinarily understood and would include "" char coal "" in the term coal . It is only when the question of the kind or variety of coal would arise that a distinction would be made between coal and charcoal ; otherwise , both of them would in ordinary par lance as also in their commercial sense be spoken as",-0.0009082579,-38.735493
"coal . 7 . There is another aspect also from which Entry I of Part III may be considered . Section 14 of the Central Sales Tax Act , 1956 declares certain goods as goods of special importance in inter - State trade or commerce . One of these is coal including co ke in all its forms . Section 15 of that Act provides that the State Legisl atures in their respective sales tax laws can impose only 2 per cent tax on these goods . That is why in Entry I of Part III coal is stated to include co ke in all its forms , and coal including co ke in all its forms is charged at 2 per cent tax . The State Legislature , however , knew or must be presumed to know that fire wood is also used by the people as fuel , but would not fall within that Entry , and , therefore , provided 2 per cent tax on it by a separate entry , namely , Entry 8 in Part III . Having",-0.00026198127,-11.173009
"___taxed coal and fire wood at 2 per cent it does not appear to be possible that the Legislature deliberately left out charcoal from the con notation of the word coal and left it to be charged at 4 per cent under the resid uary Entry I in Part VI . The object of the Legislature clearly was to tax coal and fire wood as articles used as fuel and did not make a separate entry in regard to charcoal as it must be aware that coal is understood in ordinary and commercial sense would include charcoal . Had that not been so , instead of leaving it to be dealt with under the resid uary item , it would have enacted a separate entry just as it did in the case of fire wood which it knew would not in its ordinary meaning fall under the term coal . In this view , the contention of counsel for the State must be",-0.00074611406,-31.820362
"rejected . 8 . Counsel then relied upon S . 5 of the Coll iery Control Order , 1945 , in order to show that the Legislature there had dealt with coal in its strict and technical meaning . He also relied upon certain other statutory provisions with a view to show that the Legislature has all along been using the word coal as a mineral product only . The",-0.0021693737,-92.51971
"___Coll iery Control Order deals with coll ier ies and obviously , therefore , the term coal there is used as a mineral product . It is a well - sett led principle that in const ru ing a word in an Act caution is necessary in adopting a meaning asc ribed to that word in other",-0.0005262932,-22.445415
