,importance,scaled_importance
"H rish ik esh Roy , J . Leave granted . 1 . Heard Mr . R it in Rai , the learned Senior Counsel representing the appellant . Also heard Mr . C . K . S asi , the learned counsel representing the respondents . 2 . The issue to be considered here is whether the benefit of tax exemption in respect of works contract granted in the process of revival of the industry , under the relevant provisions of the Sick Industrial Companies Act , 1985 ( for short the S ICA ) based on the Kerala Government communication dated 20 . 3 . 2004 ( Ext . P - 2 ) can be withdrawn , by the subsequent government order dated 21 . 11 . 2006 ( Ext . P - 3 ). 3 . It was the appell ants say that they had taken over a sick industrial unit by the name of M / s Te ak Tex Processing Complex Ltd ., which was engaged in dye ing of clothes . The Kerala based unit was not operational for a considerable period when attempt was made , for revival of the unit under S ICA . In the proceedings that were pending before the Board for Industrial and Financial Reconstruction ( for short B IF R ), the authorities were assessing the possibility of revival of the unit . At that stage , the appellant offered to make investment for revival of the company following which , discussions were held amongst the stakeholders and various concessions were offered to the appellant . 4 . 1 In tune with the recommendation of the Em powered Committee constituted for the purpose , the Government Order was issued on 20 . 3 . 2004 whereby the recommendations of the Committee were accepted . The relevant clause incorporating the measures relating to Sales Tax / Works Contract Tax , are as under :- Sales Tax / Works Contract Tax ( a ) The past ar re ars of Sales Tax / Works contract tax will be completely waived . ( b ) Works contract Tax on processing of Fab rics like ble aching and dye ing etc . will be exempted in the State . 4 . 2 In further ance of the 2004 Government Order , the revival proposal envis aged the taking over by the appellant entire assets of the sick unit for a sum of Rs . 10 cro res and the B IF R San ction ed Scheme dated 17 . 01 . 2005 mentioned the relief measures under clause 7 . 2 . 1 pertaining to sales tax / works contract tax . They read as follows :- 7 . 2 . 1 Sales Tax / Works Contract Tax ( a ) To waive past ar re ars of Sale Tax Works Contract Tax completely ( b ) To exempt works contract tax on processing of fabrics like ble aching and dye ing etc . in future . 5 . The appellant av ailed the waiver benefit of past tax ar re ars of the sick unit on the basis of the B IF R San ction ed Scheme dated 17 . 01 . 2005 ( Ext . P - 1 ) which assured waiver of Works Contract Tax on processing of fabrics like ble aching and dye ing etc . After about 30 months of such arrangement , the Government issued another Order on 21 . 11 . 2006 exercising the power under Section 10 ( 3 ) of the Kerala General Sales Tax Act , 1963 ( for short the K G ST Act ) where it was said that the benefit of exemption can only be granted to a specified class of goods or a particular class of persons , and the appellant who is one amongst several industrial units doing similar nature of work within the State of Kerala , cannot be allowed the benefits of exemption of Works Contract Tax . After issuance of G . O . order dated 21 . 11 . 2006 , withdrawing the concession in question , on 1 . 10 . 2007 , the Government has withdrawn G . O . No . 110 / 06 / 1 D dated 21 . 11 . 2006 , as the concession was one already allowed in the rehabilitation scheme of the B IF R of the company . However , on 29 . 02 . 2008 again , the Government in the Tax Department requested to cancel the GO dated 01 . 10 . 2007 as it did not have any legally binding effect and there upon GO dated 01 . 10 . 2007 in turn was cancelled with immediate effect . Accordingly , it was decided to withdraw the tax waiver / ex emption granted to the appellant which prompted them to file the W . P .( C ) No . 5 677 of 2007 before the High Court of Kerala . 6 . It was contended by the appellant that they attempted to revive and nurse back a sick company under B IF R and with due deliberations and the recommendations of the Em powered Committee , the incentive measures to be offered to the appellant , have been worked out and finalized as per the scheme . The appellant is actively working in the process of revival of the sick unit and at that stage , it was not open to the State of Kerala to res ile from their promise by issuing the Government Order dated 21 . 11 . 2006 . According to the appellant , the exemption granted vide the 2004 Government Order was issued as a package deal in course of revival of the sick unit in conformity with the relevant provisions of the S ICA and once consent was given and proceedings were finalized in terms of Section 19 ( 1 ) or 19 ( 2 ), the same would be binding upon all the stakeholders as is provided under Section 19 ( 3 ) of S ICA . It was therefore argued that the benefit of tax exemption granted by the State under the Scheme , is binding on the State under the provisions of Section 19 ( 3 ) of S ICA and the State must be held accountable to their promise . It was the say of the appellant that the incentives were not granted under Section 10 ( 1 ) of the K G ST Act , and therefore the tax exemption could not have been withdrawn by invoking the powers under Section 10 ( 3 ) of the same Act . The appellant unequivocally rejected a suggestion by this Court that the appellant might not constitute a unique class of one , in whose favour a tax exemption under Section 10 ( 1 ) K G ST Act can be granted legally . The appellant however failed to point out any other provision in any statute , which empowered the State Government to grant such tax exemptions . While rev iving the sick unit , the appellant earned profit in 2015 , but incurred loss in subsequent three years . The recent years i . e ., 2019 and 2020 are however profitable years for the appellant . 7 . The respondents , on the other hand , contend that the 20 . 03 . 2004 Government Order conf ers various benefits , and the exemption from sales tax / works contract tax is only one of those benefits offered for revival of the sick unit . According to the learned Government Counsel , the source of power to grant tax exemption is trace able only to Section 10 ( 1 ) of the K G ST Act and merely because the 20 . 03 . 2004 Government Order does not specifically refer to the source of power , the same cannot aid the appellant , as specific reference is made to Section 10 ( 3 ) of the K G ST Act , while withdrawing the exemption . The learned government advocate further argues that when exemption is given , it is always open for the government to cancel , vary or modify the same , bearing the public interest in mind , and since no time limit was specified on the liability in respect of sales tax / works contract tax , the withdrawal of benefit by the Government Order dated 21 . 11 . 2006 , is well within the power and competence of the government . 8 . The records available would show that the following benefits / con cess ions were extended to the appellant for revival of the sick unit : 1 ) Sales Tax / Works Contract Tax 2 ) Electricity D ues 3 ) Water Charges 4 ) Poll ution Control Water C ess 5 ) P anch ay at Taxes and Lev ies 6 ) The ownership of land . 9 . It is further seen that the benefits offered , inter al ia , were waiver of past ar re ars particularly under the Sales Tax / Works Contract Tax . For other charges like electricity dues , water charges , Poll ution Control Water C ess , the principal amount in the ar re ars were to be paid without the obligation to bear the interest or penalty burden , from the date of commencement of the commercial production . Specifically for the Sales Tax / Works Contract Tax , under clause 1 ( b ), it is not very clear as to whether the benefit intended for process of fabrics like ble aching , dye ing etc . will be available individually to the appellant or was intended to be av ailed by this class of industries , many of which are operating in the State of Kerala . It further raises questions in regard to the scope and extent of exemption that could be provided under Section 10 of the K G ST Act . 10 . Ad verting to the mandate of Section 10 of the K G ST Act , the learned Single Judge of the High Court doubted whether the exemption could have been extended to the appellant alone as opposed to a class of industries and the court commented that such a course of exemption throughout the State was not brought about . The learned Judge observed that the 2004 Government Order was based on the recommendation of the Em powered Committee with due discussion amongst the stakeholders , and those were with specific reference to the concessions to be extended to new promoters for revival of sick units , in light of the government order dated 25 . 11 . 1994 . 11 . It was noted by the learned Single Judge upon per usal of the 1994 Government Order that there are two separate channels of benefits / rel ief s i . e . ( a ) non - fiscal ; and ( b ) fiscal , and under item no . 2 , the exemption was granted for works contract tax on processing of fabrics like ble aching , dye ing etc .",-0.0006913793,-12.916169
"___12 . The above would show that the fiscal measures refer to exemption / def er ment of sales tax , purchase tax , electricity dues for two years , but not exceeding five years or till the date , the net worth of the company became positive , whichever is earlier . Thus , the outer cap of five years was specified in the 1994 Government order and the benefits could not have been intended to continue without limit . 13 . Even though the 2004 Government Order , and the B IF R San ction ed Scheme of 2005 were enacted in further ance of 1994 Government Order , both these documents do not specify the time line for tax exemptions prescribed in the 1994 government order . 14 . Recently this Court in the case of State of Gujarat Vs . Ar ce lor Mitt al N ipp on Steel India Ltd . ( 20 22 ) S CC On Line SC 76 has held that exemption provisions and notifications are to be strictly interpreted in accordance with legislative intent without any addition or subt raction . A Division Bench of this Court speaking through Justice M . R . Shah held that : 14 . 2 It is settled law that the notification has to be read as a whole . If any of the conditions laid down in the notification is not fulfilled , the party is not entitled to the benefit of that notification . An exception and / or an exempt ing provision in a taxing statute should be construed strictly and it is not open to the court to ignore the conditions prescribed in industrial policy and the exemption notifications . 14 . 3 The exemption notification should be strictly construed and given meaning according to legislative int endment . The Stat utory provisions providing for exemption have to be interpreted in the light of the words employed in them and there cannot be any addition or subt raction from the statutory provisions . 14 . 4 As per the law laid down by this Court in cat ena of decisions , in the taxing statute , it is the plain language of the provision that has to be preferred , where language is plain and is capable of determining defined meaning . St rict interpretation to the provision is to be accord ed to each case on hand . Pur pos ive interpretation can be given only when there is an ambiguity in the statutory provision or it alleges to absurd results , which is so not found in the present case . 15 . Accordingly , in the present matter , the 2004 government order granting tax exemptions should be read as a whole and in absence of any time line being prescribed , such a time line in our opinion , cannot be imported from the 1994 government order .",-0.0008397054,-15.687159
"16 . Furthermore , Sales tax in the State of Kerala is charge able under Section 5 of the K G ST Act which makes it obligatory upon the State to realize the tax in respect of sales transaction . Section 10 deals with the power of exemption and sub - Section ( 3 ) thereof conf ers the power to have the order of exemption varied or modified , in the manner specified .",-0.0013678636,-25.554071
"___17 . The benefit of exemption to tax must therefore be trace able to powers conferred under the K G ST Act and such benefits could not have been granted in terms of the B IF R Scheme dated 17 . 01 . 2005 giving effect to the Government Order issued on 20 . 3 . 2004 . In the 2006 Government Order withdrawing the benefits , the government has specifically ad verted to Section 10 of K G ST Act and as such the non - ment ion ing of the provisions of Section 10 ( 1 ) of the K G ST Act in the 2004 Government Order , would not assist the appellant in any significant measure . 18 . In P ourn ami Oil Mills and Others vs . State of Kerala and An r . 1986 ( Supp ) S CC 7 28 , Justice R angan ath Mis ra , as he was then , op ined as follows :- 6 …… It is a well settled principle of law that where the authority making an order has power conferred upon it by statute to make an order made by it and an order is made without indicating the provision under which it is made , the order would be deemed to have been made under the provision enabling the making of it …. The present understanding finds support from the above proposition of law laid down by this Court in P ourn ami Oil Mills ( sup ra ).",-0.00057786854,-10.79559
"19 . In sofar as the benefits of tax exemption from the works contract on processing of fabrics , being in conformity with the stip ulations under paragraph 7 . 2 . 1 of the B IF R Scheme dated 17 . 01 . 2005 , it must be noticed that Sub - cl ause ( b ) of paragraph 7 . 2 . 1 is not exactly the same as paragraph 1 ( b ) of the 2004 Government Order , as in the latter case , it is with reference to proposed plan of action , to provide exemption to similar units within the state of Kerala .",-0.0025512378,-47.661564
"___20 . What is of significance is that similarly situated fabric processing units in the state are obliged to meet their tax obligation for the Works Contract Tax and that is why in the 2006 Government Order , it was specifically stated that exemption for such taxable events , cannot be confined to the appellant alone . The gap between the 2004 Government Order and the Government Order dated 21 . 11 . 2006 shows that the appellant was enjoying the benefit for a fair duration . Sign ificantly , the power to grant such tax benefit is not seen in any other State Legislation but only in Section 10 ( 1 ) of the K G ST Act . The power to grant exemption under Section 10 ( 1 ) is however in respect of a class of persons and was never intended for an individual industrial unit like the appellant . When this aber ration was noticed and it was seen that amongst similarly engaged units in the same business , the appellant was the only one enjoying the benefit of exemption , the 2006 government order was issued withdrawing the exemption granted on 20 . 3 . 2004 . 21 . Und oubtedly , the government was empowered under Section 10 ( 3 ) to withdraw the exemption at any time and therefore , it cannot be said that the principle of prom iss ory est opp el by itself , will facilitate the appellant to challenge the 2006 Government Order . It must be pointed out that a number of concessions were offered to the appellant under the 2004 Government Order and it is discern ible that payments under several heads were not set apart for the appellant , notwithstanding their role in revival of the sick unit . 22 . The present dispute pert inently is only with regard to the exemption rel atable to sales tax / works contract tax and it is nob od ys case that past ar re ars of sales tax / works contract tax payable by the sick units , were completely waived . Fact oring this , the writ court as well as the Division Bench op ined that sub - cl ause ( 1 )( b ) of 2004 Government Order relating to waiver of tax in the State is of such wide amplitude that the same must be seen as uncertain and vague . Also importantly , such exemption cannot continue indefinitely and particularly not beyond the point at which the revival of the sick unit is seen . 23 . As earlier discussed , Section 10 ( 1 )( ii ) of the K G ST Act enables the State to grant exemption from sales tax only with respect to any specific class of persons in regard to the whole or any part of their turnover and since the 2004 Government Order benef itted only a single unit i . e . the appellant , it is difficult to accept that the solitary industrial unit which was being revived under the B IF R Scheme , would form a class by itself . Therefore , contention to the contrary by the appellant is considered and rejected with the reasoning that the exemption by 2004 Government Order was not made applicable to all sick industrial units of the state , engaged in the like activities of ble aching , dye ing etc . 24 . It is also relevant to point out that the government order dated 25 . 11 . 1994 clearly reflected the governments intention to consider each sick industrial unit on a case to case basis .",-0.0040684,-76.00478
"25 . Next , the Court must examine whether the appellant can raise contention on the validity of 2006 Government Order in the context of the sanctioned scheme of restriction approved by the B IF R and the binding nature of the scheme under Section 19 ( 3 ) of S ICA .",-0.0053528203,-100.0
"___This question arises since the content ions in this regard were earlier argued and rejected by the learned Single Judge , and the judgment , dated 13 . 3 . 2012 in Writ Petition No . 5 677 of 2007 has worked itself out with the representations submitted by the appellant pursuant to the Writ Courts judgment and the speaking order passed thereafter by the government on 5 . 10 . 2012 rejecting the appell ants representation . Sign ificantly , the speaking order was not challenged . Instead , the appellant filed the Writ Appeal against the learned Single Judges order , granting limited relief of enabling them to file a representation and directing the State to pass a speaking order after aff ording hearing to the appellant . As the appellant had presented their representation on the strength of the order of the Writ Court and thereby have accepted the judgment , the appellant cannot thereafter in our view , challenge the said judgment through a Writ Appeal when an adverse order is passed against them , by the government . 26 . One is certain that it would be legally imper missible to grant tax exemption , contrary to the provisions of the K G ST Act . The special exemption is provided to a single unit under the B IF R proceeding and the State cannot in our opinion be compelled to act contrary to the provisions of the K G ST Act , on the strength of binding nature of the scheme under Section 19 ( 3 ) of S ICA . 27 . On the argument of the appellant based on the principles of prom iss ory est opp el , as earlier noted , the tax exemption in the present matter was not given to a class of persons and the appellant is made the sole beneficiary . This is contrary to Section 10 of the K G ST Act . The 21 . 11 . 2006 withdrawal order was therefore issued , when it was discovered that this was a case of exemption to an individual unit and that is imper missible under Section 10 of the K G ST Act . Such being the position , the benefit of the equitable doctrine of est opp el cannot be extended for the appellant as in that case the State authority would be obliged to act in a manner which is contrary to the legislative mandate . 28 . The equitable principle of prom iss ory est opp el was prop ounded by this Court in the case of M / s . Mot il al Pad amp at Sugar Mills Vs . State of Uttar Pradesh & Or s . ( 1979 ) 2 S CC 409 In the same very case , it was however observed that the legal principle cannot be invoked to compel anyone to do anything , contrary to law . Justice P . N . Bh ag aw ati for the Division Bench wrote the following :- 28 … It may also be noted that prom iss ory est opp el cannot be invoked to compel the Government or even a private party to do an act prohibited by law … 29 . The above judgment in Mot il al Pad amp at ( Sup ra ) was followed in the case of Am rit Ban asp ati Co . Ltd . Vs . State of Punjab & An r . ( 1992 ) 2 S CC 411 wherein , this Court carved out unlawful / illegal promise as an exception to the principle of prom iss ory est opp el . But , the observation in this case in reference to an unlawful promise was not laid down as a ratio , but at best an Ob iter dict a .",-0.0024923808,-46.56201
"30 . In the later case of Bangalore Development Authority Vs . R . Han uma iah ( 2005 ) 12 S CC 50 8 , it was however specifically declared that the equitable principle of prom iss ory est opp el cannot be invoked for cond oning or enforcing a promise , expressly prohibited by a statute . This Court speaking through Justice Ash ok B han pronounced as under : 34 . … In absence of any provision in the Act or the Rules framed there under authorizing B DA to recon vey the land , direction cannot be issued to B DA to recon vey a part of the land on the ground that it had promised to do so . The rule of prom iss ory est opp el cannot be av ailed to permit or condone a breach of law . It cannot be invoked to compel the Government to do an act prohibited by law . It would be going against the statute . The principle of prom iss ory est opp el would under the circumstances be not applicable to the case in hand .",0.0013964433,26.087994
"___31 . From the above reading of the relevant judgments , it is abundantly clear that the equitable principle of prom iss ory est opp el cannot be invoked for enforcing promises in the teeth of the provisions of law . Having concluded that the Government Order ( 20 . 03 . 2004 ), granting Sales Tax / Works Contract Tax exemption was ultra v ires the Section 10 ( 1 ) of the K G ST Act , the promise , in further ance of Government Order , in the form of B IF R Scheme dated 17 . 01 . 2005 being unlawful , cannot in our view , be enforced on equitable consideration . 32 . Further , in Ar ce lor Mitt al N ipp on Steel ( Sup ra ) this Court has held that : 22 …. The principle of prom iss ory est opp el shall not be applicable contrary to the Stat ute . M ere ly because errone ously and / or on misinterpret ation , some benefits in the earlier assessment years were wrongly given , cannot be a ground to continue the wrong and to grant the benefit of exemption though not eligible under the exemption notification . 33 . In the case at hand , even though the appellant was granted benefit of tax exemptions under the 2004 government order , this was ultra v ires the Section 10 K G ST Act . Such exemption cannot be continued for further assessment years , as that would amounts to perpet uating and cond oning a wrong , which is opposed to public policy . 34 . It would be app osite now to advert to Volt as Ltd . Vs . State of A . P ., ( 2004 ) 11 S CC 5 69 . where a B IF R proceeding was being considered and the ratio therein will shed some light on the present matter . In that case , the Volt as Ltd . agreed to take over the refriger ation unit of Hyder abad All wyn Ltd . ( A Sick Company ) vide a Memor andum of Understanding with the state government , subject to B IF R approval . The state government , for incentiv izing the appellant , issued government order dated 20 . 01 . 1994 granting sales tax defer ral for a period of 7 years . The said defer ral was reflected in the B IF R San ction ed Scheme dated 04 . 04 . 1994 . Later , the state government issued another order on 18 . 08 . 1995 , whereby 18 % interest was levied on the sales tax component so deferred . The interest sum was payable after 7 years in lump sum . De aling with the challenge to the government decision , this Court by a short order upheld the Government Order dated 18 . 08 . 1995 with the observation that the interest was imposed under relevant provisions of AP General Sales Tax Act , 1957 ( AP G ST Act ). Further , even though the payment of sales tax was deferred for 7 years vide Government Order dated 20 . 01 . 1994 and the B IF R sanctioned scheme dated 04 . 04 . 1994 , both pert inently were silent on the interest aspect . Hence , this Court held that as there was no express waiver of interest , the provisions of AP G ST Act would prevail over the B IF R scheme . 35 . In the case at hand , the government order dated 20 . 03 . 2004 , as well as the B IF R sanctioned scheme , are silent on the duration of tax exemption for the works contract . In any case the tax exemptions cannot continue indefinitely . Hence , the ratio in Volt as Ltd . ( Sup ra ) involving a B IF R scheme and a government decision which dimin ishes the incentives for the company , do lend support for the imp ug ned decisions of the High Court . In other words , the Kerala government , notwithstanding the B IF R scheme for the sick company was entitled to withdraw the tax exemptions , by issuing the government order dated 21 . 11 . 2006 under Section 10 ( 3 ) of the K G ST Act . 36 . Justice H . L . G ok h ale , in his conc urring judgment in the case of Mon net Is pat & Energy Ltd . Vs . Union of India ( 2012 ) 11 S CC 1 , highlighted the difference between the doctrine of prom iss ory est opp el and the doctrine of legitimate expectation : 289 . As we have seen earlier , for invoking the principle of prom iss ory est opp el there has to be a promise , and on that basis the party concerned must have acted to its prejudice … 290 …. Alternatively , the appell ants are trying to make a case under the doctrine of legitimate expectations . The basis of this doctrine is in reason abl eness and fairness . However , it can also not be invoked where the decision of the public authority is founded in a provision of law , and is in conson ance with public interest … 37 . While the equitable principle of prom iss ory est opp el requires a valid promise , based on which the promise e has changed its position , it is necessary to observe that the principle of legitimate expectation does not take into account such considerations . Instead , it is rooted in fundamental ideas like reason abl eness , fairness and non - ar bit rar iness . 38 . In the case of MR F Ltd ., K ott ay am Vs . As st . Commissioner ( Ass essment ) Sales Tax & Or s . ( 2006 ) 8 S CC 702 the Kerala government in order to incentiv ize investment and industrial growth , entered into a Memor andum of Understanding on 06 . 10 . 1993 , under which tax incentives were offered to the company if they invested above Rs . 50 cro res for expanding the existing industrial unit in the State . In the government order dated 03 . 11 . 1993 issued under Section 10 of K G ST Act , exemptions were provided for 7 years for all expanding industrial units . An add endum to the Memor andum of Understanding was executed on 10 . 04 . 1996 , explicitly stating that the industry was eligible for tax exemptions under government Order dated 03 . 11 . 1993 . Purs u ant to such encouragement , MR F Ltd . invested Rs . 80 Cro res for expansion , and then commenced operations on 31 . 12 . 1996 . They were also issued the eligibility certificate on 10 . 11 . 1997 , granting tax exemption from 31 . 12 . 1996 to 29 . 12 . 2003 , by the Kerala government . Sub sequently the government order was issued on 15 . 01 . 1998 , am ending its 1993 Order adding sub - cl ause ( h ) to the negative list . This excluded MR Fs activities from the definition of manufacture . The same in effect extinguished the tax exemptions granted vide the 1993 government order . By another Notification dated 31 . 12 . 1999 , the Kerala government notified that the exemptions sanctioned before 01 st January , 2000 in further ance of 1993 government order would continue for full period of 7 years . In this background , the authorities issued a demand notice , seeking to levy purchase tax from 15 . 01 . 1998 , relying on the 15 . 1 . 1998 government order . When this was challenged and the matter eventually came to this Court , the Division Bench speaking through Justice Ash ok B han , held that the state authority s demand for purchase tax under K G ST Act from 15 . 01 . 1998 , is barred by principle of prom iss ory est opp el since the state cannot reneg ade its earlier promise of tax exemption for 7 years until 29 . 12 . 2003 . This Court held that the states action of retrospect ively am ending its 1993 government order , by subsequent order dated 15 . 01 . 1998 was arbitrary and unreasonable . The 1998 government order was found to be discriminatory and hit by the principles of Article 14 of the Constitution . Thus , holding the state bound to its promise , MR F was found to be entitled for tax exemptions for the 7 year period , in terms of government order dated 03 . 11 . 1993 . 39 . But , the above judgment of this Court in the case of MR F Ltd ., K ott ay am ( Sup ra ) is distinguish able from the facts in the present case . In the above case , the government order granting tax exemptions , clearly mentioned a period of 7 years , before which the tax exemptions could not have been revoked . But , in this case , no such time period was explicitly prescribed . Neither did the state seek to revoke the exemption retrospect ively . The appellant here , enjoyed the benefit of exemptions for a considerable period and is now in profit . Hence , it is not open for the appellant to claim legal entitlement to tax exemption for the period of 5 years . 40 . The learned Division Bench of the Kerala High Court has given categ orical findings in reference to the 20 . 03 . 2004 government order i . e . a ) the said government order is issued only in the appell ants favor ; b ) It was not contended that similar concessions were accord ed to any other sick industry engaged in activities of ble aching , dye ing , etc .; c ) Vide the 1994 government order , the state has simply promised to consider other sick industries for similar exemptions . 41 . Based on the above findings , the learned Division Bench concluded that the appellant does not form a separate class of its own . Hence , the 2004 government order was held to be ultra v ires the Section 10 ( 1 ) of the K G ST Act . The appellant has failed to bring to our attention , any intellig ible different ia , based on which it can be said that they constitute a unique , separate class of its own . In absence of such different iating factor , the benefit of tax exemptions being granted to the appellant , to the exclusion of all other sick industries involved in similar activities , do not appear to be reasonable and should be seen as arbitrary . The 2004 government order was not only ultra v ires Section 10 ( 1 ) of K G ST Act , but also falls short by principle of reason abl eness , fairness , and non - arbit rar iness . The 2006 government order withdrawing the tax exemption was in fact issued to remedy this very mischief . Hence , the appellant cannot invoke the principle of legitimate expectation against the 2006 government order . 42 . Re verting now to another appropriate aspect as presented in Paw an All oys & Casting Pv t . Ltd ., Me er ut Vs . U . P . State Electricity Board and Others ( 1997 ) 7 S CC 251 where it was prop ounded that if the state , in exercise of its sovereign powers , grants any tax exemptions for a specified period , the principle of prom iss ory est opp el does not bar the grant or from prematurely withdrawing such exemptions , if such measure is necess itated for protecting public interest . In other words , public interest would outweigh the interest of the individual grant ee . 43 . While reflecting upon the element of public interest as en unci ated in Paw an All oys ( sup ra ), in granting or refusing relief on the principle of prom iss ory est opp el , the last public address of the lawyer states man Abraham Lincoln who served as the 16 th President of USA , intr udes into our thought process . Taking a strong stand in support of Black suff rage , Abraham Lincoln , soon after winning the Civil War , refused to give in to his earlier promise of re - construction to the state of Louisiana , with the following res ounding words :- But , as bad promises are better broken than kept , I shall treat this as a bad promise , and break it , whenever I shall be convinced that keeping it is adverse to the public interest . But I have not yet been so convinced . Taking a cue from above , and bearing in mind that the appellant here has already av ailed the exemption benefits for a substantial period and was the only one of its category which enjoyed such advantage in the State of Kerala and also regard being had for the fact that now the appellant is out of the red and more importantly in a situation where enforcing the promise against the State is likely to affect public interest , we find supplementary support for our present conclusion , in the above quoted insightful words of Abraham Lincoln .",-0.0029595327,-55.289223
