,importance,scaled_importance
"S hel at , J . 1 . This appeal , founded on special leave , arises out of an industrial dispute between the respondent - company and the Motor Industries Company Employees Association which the Government of M ys ore referred to the Labour Court , Bangalore , for adjud ication under Section 10 ( 1 ) ( c ) of the Industrial Disp utes Act , 1947 . The dispute related to the dismissal by the management of three work men , Sand hy av oo , G . Pr ab hak ar and M . V . Vas ud ev an out of the five work men against whom the management had held a domestic enqu iry at which they were found guilty of acts of mis d onduct charged against them . 2 . The facts leading to the said dispute and the reference are as follows : On August 24 , 1964 the said association handed over to the management a charter of demands . Neg oti ations between the parties having failed , the demands were taken before the conc iliation officer when the parties arrived at a settlement dated December 23 , 1964 . On April 29 , 1966 , the management issued a notice suspending for a day , i . e ., May 4 , 1966 , one B . G . Shen oy as and by way of penalty . In consequence of the protest by the association , the said suspension was postponed and on May 10 , 1966 , the management served a charge - sheet on Shen oy and suspended him pending an enqu iry . On May 11 , 1966 the association demanded withdrawal of the said suspension and the said charge - sheet . Disc ussions took place on that day from 9 . 45 A . M . to 12 . 30 P . M . between the association and the management and the parties thereafter adjourn ed at 1 P . M . for lunch having decided to resume the talks at 2 - 30 P . M . At 2 P . M . the first shift ended and the workers of the second shift began to come in . The work men of the first shift , however , stayed on and those of the second shift along with the work men of the general shift joined them and all of them went on strike . The discussions which were resumed at 2 . 30 P . M . ended in an agreement at 5 P . M . and the work men returned to work . On May 18 , 1966 the assistant establishment officer submitted a complaint to the chief personnel officer alleging certain acts of misconduct by a crowd of work men mentioning therein the names of five of them including the said three work men . On May 25 , 1966 charge - sheets alleging stopp age of work , abandoning the place of work , inciting clerks and officers of G . 2 department to join the said strike , disorderly behaviour including intimidation and assault on one , A . Laksh man Rao , were served upon those five work men . Correspond ence thereafter ensued between the association and the management wherein the association protested against the manag ements decision to adopt disciplinary action against the said five work men despite the agreement arrived at on May 11 , 1966 . There after , a domestic enqu iry was held on June 30 , 1966 which was completed on July 27 , 1966 when the enqu iry officer made his report holding the said three work men , Sand hy av oo , Pr ab hak ar and Vas ud ev an , guilty of acts of misconduct under standing order 22 ( 2 ), ( 3 ), ( 13 ) and ( 18 ). He exoner ated the other two work men except on the charge of participating in the strike and lo it ering about under Cl s . ( 2 ) and ( 18 ) of the said standing order . On August 12 , 1966 , the management , agreeing with the report , passed orders of dismissal against the said three work men which gave rise to the said reference . On March 23 , 1968 the Labour Court gave its award holding that the said enqu iry was valid ly held and that the management were justified in passing the said orders of dismissal . 3 . Mr . Ram am ur th i , appearing for the association , challenged the said award on the following grounds : ( 1 ) that the said association not having given a call for the said strike , the said charges were miscon ceived and the orders of dismissal were consequently not sustainable ; ( 2 ) that the said strike , which was spontaneously staged by the work men , was not illegal under Section 24 of the Industrial Disp utes Act , nor was it in contra vention of any law as required by Standing order 22 ( 2 ) and ( 3 ); ( 3 ) that the said disciplinary proceedings were in contra vention of the agreement arrived at on May 11 , 1966 , and therefore , the dismissal following such disciplinary proceedings amounted to unfair labour practice ; ( 4 ) that the orders of dismissal were passed on charges including that of intimidation though the misconduct of intimidation was not found proved by the enqu iry officer and hence the said orders were illegal ; ( 5 ) that to punish only three work men when a large number of work men had taken part in staging the strike and in inciting others to join it constituted victim isation ; and ( 6 ) that the findings of the enqu iry officer were based on no evidence or were perverse in that no reasonable body of persons could have arrived at them on the evidence before him . 4 . The argument on which the first contention was based was that the settlement dated December 23 , 1964 was arrived at between three parties , the management , the association and the work men ; and that the association being the union registered under the Trade Un ions Act was an entity distinct from the work men . Under Clause 5 of the settlement it was the association which was obliged to give four days notice if it decided to resort to strike , go - slow tactics or other coercive action . The said clause did not impose any such obligation on the work men . The work men thus having no such obligation and the said strike being a spontaneous one , without any call for it from the association , it could not be said to be in breach of the said settlement , and therefore , would not fall under the mischief of Section 23 of the Act , the first condition of which is that to be illegal under Section 24 read with Section 23 it must be in breach of a contract . Standing Order 22 requires that participating in a strike would be misconduct if it is in breach of some provision of law . But as the strike was not in contra vention of Section 23 , it would not constitute misconduct under that standing order . Therefore , the charges against the said three work men were miscon ceived and the orders of dismissal passed against them on the basis that they stood established were bad .",-0.00072413485,-7.553504
"___In our view this argument cannot be sustained . The construction of Clause 5 of the settlement suggested by Mr . Ram am ur th i is contrary to ( a ) the ten or of that settlement , and ( b ) the provisions of the Industrial Disp utes Act under which a settlement arrived at between an employer and a union representing the employees during conc iliation proceedings is binding not only on such union but also the work men whom it represents and ( c ) the principles of collective bargaining recognised by industrial law . The settlement was a package settlement by which the management and the work men , through their association , arrived at certain terms in the presence of the conc iliation officer . The settlement , besides settling the demands contained in the said charter of demands , sets out the necessity of harmon ious relations and of co - operation between the management and the work men so as to promote higher and better production . It was to achieve this object that direct action on the part of either of them such as a strike by the work men and a lock out by the employer without notice was prohibited . Ev idently the provision for four days notice before any direct action was taken by either of them was provided for so that during that period if there was any grievance it could be iron ed out by negotiation . Clause 5 of the settlement falls in two parts : ( 1 ) the substantive part , and ( 2 ) the cor oll ary thereof . The first part inter al ia provided that neither the association nor the management would resort to any direct action , such as strike , go - slow tactics or lock out or any such coercive action without giving to the other a four days , notice . The second part provided an undertaking on the part of the association to co - oper ate with the management , if there was any strike by work men without any call there for from the association , if the management were to take disciplinary action against the work men . If the construction of Clause 5 suggested by Mr . Ram am ur th i were to be accepted , it would lead to a surprising result , namely , that though a strike at the instance of the association required four days notice , a strike by the work men without any call from the association would not require any such notice and that the settlement left complete liberty to the work men to launch a sudden strike . Such a construction appears on the very face of it contrary to the object and purpose of the settlement and particularly Clause 5 which envis aged a notice period of four days to enable the parties to resolve a dispute before direct action on its account is resorted to by either of them . The suggested construction is also unt enable , for , surely the association irrespective of the work men cannot by itself resort to any direct action . How can , for instance , the association resort to go - slow tactics without giving a call for it to the work men ? It is obvious , therefore , that Clause 5 does not contemplate any dich otomy between the association and the work men as suggested by Mr . Ram am ur th i , besides being rep ug nant to the principle that a settlement arrived at by the association must be regarded as one made by it in its representative character , and therefore , binding on the work men . Therefore , although the settlement mentions in Clause 5 the management , work men and the association , the expression work men therein was unnecessary , for , without that expression also it would have been as effic aciously binding on the work men as on the association . This conclusion is strengthened by the fact that the settlement mentions the management and the association on behalf of the work men only as the parties thereto and the sign atories thereto also are only the representatives of the two bodies . nan of the work men , nor any one separately representing them aff ixed his signature to it . If a light ening strike without notice is illegal under any provision of law ( a question which we shall presently consider ) standing Order 22 would come into operation and starting or joining such a strike and inciting others to join it would amount to misconduct for which disciplinary action by the management would be possible .",-0.0028508701,-29.737638
"5 . The next question is whether the management could valid ly take disciplinary action against the work men concerned in respect of the said strike . The rec itals of the said settlement show that as a result of the association presenting the said charter of demands negotiations between the management and the association took place on the said demands as also on certain proposals made by the management , that on their failure conc iliation proceedings took place in the course of which the parties arrived at the said settlement which , as afore said , was signed by the representatives of the management and the association in the presence of the conc iliation officer . The settlement thus was one under Sec . 12 ( 3 ) of the Industrial Disp utes Act and R . 59 of the Rules made there under by the Government of M ys ore . It was to come into force as from January 1 , 1965 and was to remain in force for three years and was thereafter to continue to be in force until its termination by either side . It is clear from Part I thereof that the object with which it was made was to promote harmon ious relations and co - operation between the company , the association and the work men so that the company may on the one hand be able to achieve increased production and on the other be in a position to afford maximum opportunity for continued employment . To accomplish these aims it was agreed that the company on its part should be managed on sound and progressive lines and the association and the work men on their part should combat any wasteful practices adversely affecting work manship and production and assist the management in apprehend ing persons responsible for acts such as theft , sabotage and other subversive activities . As cl . ( 5 ) of the settlement itself states it was "" in order to ensure continuation of smooth working "" that the company and the association agreed that in no case would either of them resort to direct action such as lock outs , strikes , go - slow and other coercive action without four , days notice and that should one or more work men resort to any such direct action without the approval of the association , the association would co - oper ate with the company in any disciplinary action which the company would take against such work men . Then follows the agreement on the said demands of the work men , and the proposals made by the management in the details of which it is not necessary to go , and finally , the agreement that the parties would adhere to the code of discipline and the grievance procedure annexed as annex ure IV to the settlement . The said code also inter al ia provided that there should be no strike or lock out without notice , that neither party should resort to coercion , intimidation , victim isation or go slow tactics , that they would avoid litigation , sit - down and stay - in strikes and lock outs and would not permit demonstrations which are not peaceful or row dy ism . Read in the context of the other provisions of Part 1 of the settlement of which it is part , cl . 5 was intended to prohibit ( a ) direct action without notice by or at the instance of the association , and ( b ) strikes by work men themselves without the approval of the association . The words "" in no case "" used in the clause emphas ise that direct action by either party without notice should not be resorted to for any reason whatsoever . There can be no doubt that the settlement was one as defined by Section 2 ( p ) of the Industrial Disp utes Act and was binding on the work men under Section 18 ( 3 ) of the Act until it was valid ly terminated and was in force when the said strike took place . The strike was a light ening one , was resorted to without notice and was not at the call of the association and was , therefore , in breach of Clause 5 . 6 . Could the management then take disciplinary action against the concerned work men in respect of such a strike ? Standing Order 22 enumer ates various acts constit uting misconduct . Cla uses 2 , 3 , 13 and 18 provide that striking either sing ly or in combination with others in contra vention of the provisions of any Act , inciting any other work men to strike in contra vention of any law , riot ous or disorderly behaviour or any act subversive of discipline and lo it ering within the compan ys premises while on duty or absence without permission from the appointed place of work constitute misconduct . The point is whether participation in and inc itement to join the said strike were in respect of a strike which was in contra vention of any Act or law . Section 23 provides that no work man employed in an industrial establishment shall go on strike in breach of contract and during the period in which a settlement is in operation , in respect of any of the matters covered by such a settlement . The prohibition against a work man going on strike thus envis ages two conditions ; ( a ) that it is in breach of a contract and ( b ) that it is during the period in which a settlement is in operation and is in respect of any of the matters covered by such settlement . The said settlement was a contract between the company and the association representing the work men and it was in operation an May 11 , 1966 . But was it in respect of a matter covered by the settlement ? Under Section 24 a strike is illegal if it is commenced in contra vention of Section 23 . Section 26 inter al ia provides that any work man who comm ences , continues or otherwise acts in further ance of a strike which is illegal under the Act shall be punished with imprisonment for a term extending to one month or with fine which may extend to Rs . 50 or with both . Section 27 provides punishment of a person who inst ig ates or inc ites others to take part in or otherwise acts in further ance of an illegal strike . The strike envis aged by these two Sections is clearly the one which is illegal under Section 24 read with Section 23 . A strike in breach of a contract during the operation of a settlement and in respect of a matter covered by that settlement falls under Section 23 ( c ). But whereas Section 26 pun ishes a work man for going on an illegal strike or for any act in further ance of such a strike , Section 29 lays down the penalty for a person , not necessarily a work man , who commits breach of a term of a settlement which is binding under the Act . It is , therefore , an offence for any person on whom a settlement is binding , under the Act to commit a breach thereof and the legislature has viewed it to be a more serious offence , for , it has a higher punishment of imprisonment extending to six months than the punishment for , comm encing etc . an illegal strike under Section 26 . Thus , comm encing a strike or acting in further ance of it in breach of a settlement binding on the person who so comm ences it or acts in its further ance is an offence punishable under S . 29 .",-0.0004784575,-4.9908257
___7 . It is clear that there is a distinction between a strike envis aged by Section 23 ( c ) in respect of a matter covered by a settlement and a strike in breach of a settlement envis aged by S .,-0.0024951883,-26.027494
"29 . That position was conceded by Mr . G ok h ale for the management . But his argument was that the strike in question was , first ly in respect of a matter covered by the said settlement , namely , its prohibition without notice while that settlement was in force and secondly that it was in breach of that settlement , and consequently , it was illegal both under Section 24 and Section 29 . This",-0.0031864299,-33.237885
"___contention does not seem correct , first ly , because though an agreement not to resort to a strike without notice would be the subject matter of a settlement , a strike in contra vention of such an agreement is not in respect of any of the matters covered by such settlement . Secondly , such a const riction would mean as if Parliament intended to provide two different penalties , one under Section 26 and the other under Sec . 29 , for the very same offence , one higher than the other , an intention difficult to attribute . The strike was in the matter of the suspension of the said Shen oy pending a domestic enqu iry against him , a matter which obviously was not one of the matters covered by the said settlement . It was , therefore , not a strike illegal under Section 24 read with S . 23 ( c ). However , the strike was in contra vention of Clause 5 of the said settlement and that settlement being binding on the work men concerned and in operation at the time was punishable under Sec . 29 , and therefore , illegal under that section . 8 . The question whether a strike in contra vention of a similar clause in a settlement was illegal arose in Tata Engineering and Loc om otive Co . Ltd . v . C . B . M itter , C . A . No . 6 33 of 1963 , D /- 2 - 4 - 1964 ( SC ). As in Cl . 5 of the settlement before us , the settlement there also provided that "" in no case "" would the parties thereto resort to direct action such as lock - outs , strikes , go - slow and other direct action without four days notice . The strike in question was commenced in respect of a demand by a work man for a pair of gum - b oots , a demand not covered by the settlement . It was common ground that the strike would not fall within the am bit of Section 24 but the controversy was whether it was otherwise illegal , the work mens contention being that it was not , as the said clause against a strike without notice applied only to one declared for enforcing one or the other demands which formed the subject matter of the settlement and since the strike arose out of a matter not covered by the settlement , that clause was in app lic able . This Court neg at ived the contention and held that the words "" in no case "" in that clause meant a strike for whatever reason and though it was conceded that it was not illegal under Section 24 , it was , nevertheless , held to be illegal not because it was in respect of a matter covered by the said settlement but because it was in contra vention of the settlement which was binding on the concerned work men which meant that the Court held the strike to be illegal under Section 29 . In our view the decision in the present case must be the same . The strike was illegal not under Section 24 but because it was in contra vention of the settlement binding on the work men concerned . Consequently , standing order 22 would apply and participating in or inciting others to join such a strike would amount to misconduct for which the management were entitled to take disciplinary",-0.0015144305,-15.797137
"action . 9 . But against that position the argument was that the agreement dated May 11 , 1966 under which the work men called off the strike also provided that no disciplinary action would be taken against any work men in respect of the strike on that day and that therefore the proceedings taken against the three work men in violation of that agreement amounted to unfair labour practice . The",-0.004739223,-49.43519
"___agreement was oral . According to Bernard , Secretary of the association , the agreement was that ( a ) the charges and the suspension order passed against the said Shen oy should be withdrawn , ( b ) the Company should pay the wages for the 31 / 2 hours period of the strike provided the work men made good the loss of production during that period , and ( c ) the management would take no action against any one for going on strike . The evidence of Martin , the compan ys technical director , on the other hand , was that the company agreed only not to punish the said Shen oy and to consider paying wages for the hours of the strike . The Labour Court on this evidence held that the association failed to prove that the management had agreed not to take action against any of the work men in connection with the strike though it may be that they might have agreed not to victim ise any work man for participating in the strike . In fact , the management did not impose any penalty against any work man for joining the strike , not even against the three concerned work men . This finding being purely one of fact and the Labour Court having given cog ent reasons for it , we would not interfere with it without the utmost reluctance . We have been taken through the evidence and the correspondence between the parties but we fail to see any error on the part of the Labour Court in reaching that",-0.0062333336,-65.02036
finding . 10 . The next contention was that the orders of dismissal were bad as they took into account the charge of intimidation of the compan ys officers although the enqu iry officer had found that that charge was not proved . The,-0.00958674,-100.0
"___charge - sheets , ex s . M / 4 A , M / 5 A and M / 6 A against the three work men alleged in express terms disorderly behaviour and intimidation . The report of the enqu iry officer against the said Vas ud ev an clearly stated at the enqu iry officer accepted the evidence of the manag ements witnesses and that on that evidence all the charges against him stood proved . While summar ising those charges be , no doubt , did not in so many words use the expression "" int im idation "". But the evidence which he , as afore said accepted , was that Vas ud ev an along with other work men entered the G . 2 department at about 3 P . M . on that day and th umping his hand on the table of the said Laksh man Rao threatened that officer in the following words "" now I am in the forefront ( of the crowd ). You cannot do anything . You ask your people to come out and you also come out . Otherwise you can see what we can do for you now ."" The said Laksh man Rao had also dep osed that he was surrounded by the workers who started pushing and pulling him . The evidence of other officers was that as the crowd which forced its way into this department got un ruly they were also forced to leave their places of work . The evidence against Pr ab hak ar was that he too was in the forefront of that crowd which squeezed Laksh man Rao and some members thereof inflicted kicks on him . Similarly , there was the evidence of one Raj a , the assistant personnel officer , and others that Sand hy av oo was one of those in the fore for nt of that crowd . According to Raj a , Sand hya oo tried to lift him from his seat with a view to force him to leave his table and finding that the crowd had became rest ive he left his place . Accept ance of this evidence by the enqu iry officer must necessarily mean acceptance of the version of these officers that they were intimidated by the crowd which forced its way into their department led by these work men . Though enqu iry officer his not , in so many words used the expression "" int im idation his finding of disorderly behaviour must be held to include acts of",-0.003146441,-32.82076
