,importance,scaled_importance
"A . K . Sik ri , J . 1 . The appellant - Tap aria Tools Limited ( here ina fter referred to as the ass essee ) is before us , having lost in the courts below . In these six appeals , the issue involved is identical , that too between the same parties . Nec ess ity of six appeals is because of the reason that the same dispute per tains to three assessment years , namely , assessment years 1996 - 97 , 1997 - 98 and 1998 - 99 . The ass essee had claimed deduction of revenue expenditure on account of interest payment in the sum of Rs . 2 , 72 , 25 , 000 paid to one M / s . Mal ir am Mak har ia Stock Bro kers Pv t . Ltd . and Rs . 55 , 00 , 000 on account of interest payment given to M / s . Sharp Knife Company Pv t . Ltd . This was on account of upfront payments of interest given to the afore said two deb enture holders in the assessment years 1996 - 97 and 1997 - 98 respectively . The Ass essing Officer ( for short , the A O ), however , treated it as the deferred revenue expenditure , to be written off over a period of five years and , therefore , in these assessment years he allowed only 1 / 5 th of the payment made , though the entire payment was made in the assessment year 1996 - 97 . 2 . The question of law , in the given circumstances , which has arisen for consideration is as to whether the liability of the ass essee to pay the interest upfront to the deb enture holder is allowable as a deduction in the first year itself or it is to be spread over a period of five years , being the life of the deb ent ures ? This substantial question of law has arisen in the following circumstances : 3 . In the deb enture issue of the ass essee two options as regards payment of interest there upon were given to the subscribers / deb enture holders . They could either receive interest periodically , that is every half yearly @ 18 % per ann um over a period of five years , or else , the deb enture holders could opt for one time upfront payment of Rs . 55 per deb enture . In the second alternative , 55 per deb enture was to be immediately paid as upfront on account of interest . At the end of five years period , the deb ent ures were to be redeemed at the face value of Rs . 100 . 4 . The deb ent ures were allotted to the following parties as below : chart On February 14 , 1996 , M / s . Mal ir am Mak har ia Stock Bro kers Pv t . Ltd . gave their letter of acceptance opting for upfront payment of interest . Likewise , vide letter of acceptance dated May 24 , 1996 , M / s . Sharp Knife Company Pv t . Ltd . exercised similar option . As these parties , mentioned at S . N os . 1 and 6 , had opted for one time upfront payment towards interest , they were paid interest in the sum of Rs . 2 , 72 , 25 , 000 and Rs . 55 , 00 , 000 respectively . 5 . The ass essee follows merc ant ile system of accounting . Further , one time upfront interest of an amount mentioned above was actually paid as well in the Accounting Years 1995 - 96 and 1996 - 97 respectively . However , it so happened that the said upfront payment of interest on deb ent ures were shown by the ass essee as deferred revenue expenditure in the accounts to be written off over a period of five years . Notwithstanding this accounting treatment given to the payment qu a interest , in the returns filed by the ass essee for the assessment years 1996 - 97 and 1997 - 98 , it claimed the entire upfront interest payment in the sum of Rs . 2 , 72 , 25 , 000 and Rs . 55 , 00 , 000 respectively as fully deductible expenditure . It may be clarified that insofar as the ass esse es claim for deduction of premium payable on redemption is concerned , the same was claimed in the return on a spread over basis covering a period of five years . 6 . In the assessment orders passed by the A O , the ass esse es claim for deduction of upfront interest payment was denied . Instead , the A O chose to spread it over a period of five years thereby giving deduction only to the extent of 1 / 5 th each in the respective assessment years . The order of the A O was challenged by the ass essee in appeals preferred before the Commissioner of Income Tax ( App eals ). The Commissioner , however , dismissed the appeals thereby sustaining the orders passed by the A O . The ass essee then approached the Income Tax App ell ate Tribunal and thereafter the High Court of Bombay but was unsuccessful as the appeals preferred by him before the two for a have been dismissed maintaining the method of deduction adopted by the A O . To put it otherwise , instead of entire amount paid by the ass essee in the particular assessment year , full deduction is not given and this deduction is spread over a period of five years . Thus , the question is as to whether deduction of the entire amount of interest paid should be allowed or the stance of Revenue needs to be affirmed . 7 . As pointed out above , the ass essee maintains its accounts on merc ant ile basis . Further , the entire amount for which deduction was claimed was , in fact , actually paid to the deb enture holder as upfront interest payment . It is also a matter of record that this amount became payable to the deb enture holder in accordance with the terms and conditions of the non - con vert ible deb enture issue floated by the ass essee , on the exercise of option by the afore said deb enture holders , which occurred in the respective assessment years in which deduction of this expenditure was claimed . 8 . Section 36 of the Income Tax Act , 1961 ( here ina fter referred to as the Act ) is a residual section in respect of certain deductions which are to be made from the income of the ass essee while arriving at the taxable income . It is n omen cl at ured as other deductions , as some of the preceding sections provide for certain deductions of specific nature , with which we are not concerned in the present case . One of the deductions , apart from many other kinds of deductions stip ulated in the section , relates to the amount of interest paid in respect of capital borrowed for the purpose of business or profession . This is provided in clause ( iii ) of sub - section ( 1 ) of Section 36 and reads as under : "" S . 36 . ( 1 ) The deductions provided for in the following clauses shall be allowed in respect of the matters dealt with therein , in computing the income referred to in section 28 - ** ** ** ( iii ) the amount of the interest paid in respect of capital borrowed for the purposes of the business or profession :[ Prov ided that any amount of the interest paid , in respect of capital borrowed for acquisition of an asset for extension of existing business or profession ( whether capital ised in the books of account or not ); for any period beginning from the date on which the capital was borrowed for acquisition of the asset till the date on which such asset was first put to use , shall not be allowed as deduction .] Ex plan ation . - Rec urring subscriptions paid periodically by shareholders or subscribers in Mutual Benefit Soc ieties which fulfil such conditions as may be prescribed , shall be deemed to be capital borrowed within the meaning of this clause ; ** ** ** """,-0.6203041761944841,-12.13214210576705
"___9 . Ign oring the prov iso and the Explan ation in clause ( iii ) above , with which we are admittedly not concerned in this case , it is clear that as per the afore said provision any amount on account of interest paid becomes an ad missible deduction under Section 36 if the interest was paid on the capital borrowed by the ass essee and this borrowing was for the purpose of business or profession . There is no quarrel , in the present case , that the money raised on account of issuance of the deb ent ures would be capital borrowed and the deb ent ures were issued for the purpose of the business of the ass essee . In such a scenario when the interest was actually incurred by the ass essee , which follows the merc ant ile system of accounting , on the application of this statutory provision , on inc urring of such interest , the ass essee would be entitled to deduction of full amount in the assessment year in which it is paid . While examining the allow ability of deduction of this nature , the A O is to consider the gen uin eness of business borrowing and that the borrowing was for the purpose of business and not an illusion ary and colour able transaction . Once the gen uin eness is proved and the interest is paid on the borrowing , it is not within the powers of the A O to dis allow the deduction either on the ground that rate of interest is unre ason ably high or that the ass essee had himself charged a lower rate of interest on the mon ies which he lent . In the instant case , the A O did not dispute that the non - con vert ible deb ent ures were issued and money raised for business purposes . The A O did not even dispute the gen uin eness of clause relating to upfront payment of interest in the first year itself as per the option to be exercised by the deb enture holder . In nutshell , the A O did not dispute that the expenditure on account of interest was genuinely incurred . Therefore , there is no dispute that interest has , in fact , been paid during the year of accounting . Definition of paid is contained in Section 43 ( ii ) of the Act to mean actually paid or incurred according to the method of accounting .",0.02263796509291205,7.854180774310312e-07
"To be precise , this definition is cou ched in the following language : "" S . 43 In sections 28 to 41 and in this section , unless the context otherwise requires - ** ** ** ( 2 ) "" paid "" means actually paid or incurred according to the method of accounting upon the basis of which the profits or gains are computed under the head "" Prof its and gains of business or profession ""; ** ** ** "" As per the afore said definition , even if the amount is not actually paid but incurred , according to the method of accounting , the same would be treated as paid . Since the ass essee was following merc ant ile system of accounting , the amount of interest could be claimed as deduction even if it was not actually paid but simply incurred . However , in the instant case , it is not in dispute that the amount of interest was actually paid as well in the assessment year in which it was claimed . 10 .",-0.5513659420505215,-6.731527807512272
"___The only reason which persuaded the A O to stagger and spread the interest over a period of five years was that the term of deb ent ures was five years and that the ass essee had itself given this very treatment in the books of account , viz , spreading it over a period of five years in its final accounts by not deb iting the entire amount in the first year to the Profit and Loss account and it has , in fact , deb ited 1 / 5 th of the interest paid to the Profit and Loss account from the second year onwards . The High Court , in its imp ug ned judgment , has based its reasoning on the second aspect and applied the principle of Match ing Concept to support this conclusion . 11 . In sofar as the first reason , namely , non - con vert ible deb ent ures were issued for a period of five years is concerned , that is clearly not ten able . While taking this view , the A O clearly er red as he ignored by ignoring the terms on which deb ent ures were issued . As noted above , there were two methods of payment of interest stip ulated in the deb enture issued . Deb enture holder was entitled to receive period ical interest after every half year @ 18 % per ann um for five years , or else , the deb enture holder could opt for upfront payment of Rs . 55 per deb enture towards interest as one time payment . By allowing only 1 / 5 th of the upfront payment actually incurred , though the entire amount of interest is actually incurred in the very first year , the A O , in fact , treated both the methods of payment at par , which was clearly unsustainable . By doing so , the A O , in fact , tam pered with the terms of issue , which was beyond his domain . It is obvious that on exercise of the option of upfront payment of interest by the subscriber in the very first year , the ass essee paid that amount in terms of the deb enture issue and by doing so he was simply dis charging the interest liability in that year thereby saving the recurring liability of interest for the remaining life of the deb ent ures because for the remaining period the ass essee was not required to pay interest on the borrowed",-0.8043110310119319,-44.466616867425756
"amount . 12 . The next question which arises for consideration is as to whether the ass essee was est opped from claiming deduction for the entire interest paid in the year in which it was paid merely because it had spread over this interest in its books of account over a period of five years . Here ,",0.7243830348433666,26.348464795597945
"___the submission of learned counsel for the ass essee was that there is no such est opp el , in asm uch as , the treatment of a particular entry ( or for that matter interest entered in the instant case ) in the books of account is entirely different from the treatment which is to be given to such entry / exp end iture under the Act . His contention was that assessment was to be made in accordance with the provisions of the Act and not on the basis of entries in the books of account . His further argument was that had the ass essee not claimed the payment of entire interest amount as tax in the income tax returns and had claimed deduction over a period of five years treating it as deferred interest payment , perhaps the A O would have been right in accepting the same in conson ance with the accounting treatment which was given . However , learned counsel pointed out that in the instant case the ass essee had filed the income tax return claiming the entire deduction which was allowable to it under the provisions of Section 36 ( 1 )( iii ) of the Act as all the conditions thereof were fulf iled and , thus , it was exercising the statutory right which could not be denied .",0.9458389780462606,100.0
"13 . We find that the High Court has taken into consideration the provisions of Section 36 ( 1 )( iii ) of the Act and the conditions which are to be fulfilled for allowing the deduction on this account in the following words : ""... The term "" interest "" has been defined under Section 2 ( 28 A ) of the Act . Brief ly , interest payment is an expense under Section 36 ( 1 )( iii ). Interest on mon ies borrowed for business purposes is an expenditure in a business [ see 35 I TR 339 - Mad ras ]. For claiming deduction under Section 36 ( 1 )( iii ), the following conditions are required to be satisfied viz . the capital must have been borrowed ; it must have been borrowed for business purpose and the interest must be paid . The word "" P aid "" is defined in Section 43 ( 2 ). It means payment in accordance with the method followed by the ass essee . In the present case , therefore , the word "" P aid "" in Section 36 ( 1 )( iii ) should be construed to mean paid in accordance with the method of accounting followed by the ass essee i . e . Merc ant ile System of accounting ..."" Notwithstanding the afore said , the High Court chose to decline the whole deduction in the year of payment , thereby aff irming the orders of the authorities below , by invoking the Match ing Concept . It is observed by the High Court that under the merc ant ile system of accounting , book profits are liable to be taxed and in order to determine the net income of an Accounting Year , the revenue and other incomes are to be matched with the cost of resources consumed ( exp enses ). For this reason , in the opinion of the High Court , this matching concept is required to be done on acc ru al basis . As per the High Court , in this case , payment of Rs . 55 per deb enture towards interest was made , which per tained to five years , and , thus , this interest of five years was paid in the first year . We are of the opinion that it is here the High Court has gone wrong and this approach resulted in wrong application of Match ing Concept . It is emphasized once again that as per the terms of issue , the interest could be paid in two modes . As per one mode , interest was payable every year and in that case it was to be paid on six monthly basis @ 18 % per ann um . In such cases , the interest as paid was claimed on yearly basis over a period of five years and allowed as well and there is no dispute about the same . However , in the second mode of payment of interest , which was at the option of the deb enture holder , interest was payable upfront , which means insofar as interest liability is concerned , that was discharged in the first year of the issue itself . By this , the ass essee had benefited by making payment of lesser amount of interest in comparison with the interest which was payable under the first mode over a period of five years . We are , therefore , of the opinion that in order to be entitled to have deduction of this amount , the only aspect which needed examination was as to whether provisions of Section 36 ( 1 )( iii ) read with Section 43 ( ii ) of the Act were satisfied or not . Once these are satisfied , there is no question of denying the benefit of entire deduction in the year in which such an amount was actually paid or incurred . 14 .",0.9216693161260003,87.85967857775556
"___The High Court has also observed that it was a case of deferred interest option . Here again , we do not agree with the High Court . It has been explained in various judgments that there is no concept of deferred revenue expenditure in the Act except under specified sections , i . e . where am ort ization is specifically provided , such as Section 35 - D of the Act .",0.8131109984423579,46.952977818954025
"15 . What is to be borne in mind is that the moment second option was exercised by the deb enture holder to receive the payment upfront , liability of the ass essee to make the payment in that very year , on exercising of this option , has arisen and this liability was to pay the interest @ Rs . 55 per deb enture . In Bhar at Earth Mo vers v . Commissioner of Income Tax [ 2000 ] 6 S CC 6 45 , this Court had categor ically held that if a business liability has arisen in the accounting year , the deduction should be allowed even if such a liability may have to be quant ified and discharged at a future date . Following passage from the afore said judgment is worth a quote : "" The law is settled : if a business liability has definitely arisen in the accounting year , the deduction should be allowed although the liability may have to be quant ified and discharged at a future date . What should be certain is the inc urring of the liability . It should also be capable of being estimated with reasonable certainty though the actual quant ification may not be possible . If these requirements are satisfied the liability is not a contingent one . The liability is in pra es ent i though it will be discharged at a future date . It does not make any difference if the future date on which the liability shall have to be dish arg ed is not certain ."" The present case is even on a stronger footing in asm uch as not only the liability had arisen in the assessment year in question , it was even quant ified and discharged as well in that very accounting year . 16 . Judgment in Mad ras Industrial Investment Corporation Limited v . Commissioner of Income Tax [ 1997 ] 4 S CC 666 was cited by the learned counsel for the Revenue to justify the decision taken by the courts below . We find that the Court categor ically held even in that case that the general principle is that ordinarily revenue expenditure incurred wholly and exclusively for the purpose of business is to be allowed in the year in which it is incurred . However , some exceptional cases can justify spreading the expenditure and claiming it over a period of ensuing years . It is important to note that in that judgment , it was the ass essee who wanted spreading the expenditure over a period of time and had justified the same . It was a case of issuing deb ent ures at discount ; whereas the ass essee had actually incurred the liability to pay the discount in the year of issue of deb ent ures itself . The Court found that the ass essee could still be allowed to spread the said expenditure over the entire period of five years , at the end of which the deb ent ures were to be redeemed . By raising the money collected under the said deb ent ures , the ass essee could util ise the said amount and secure the benefit over number of years . This is discern ible from the following passage in that judgment on which reliance was placed by the learned counsel for the Revenue herself : "" 15 .. The Tribunal , however , held that since the entire liability to pay the discount had been incurred in the accounting year in question , the ass essee was entitled to deduct the entire amount of Rs . 3 , 00 , 000 in that accounting year . This conclusion does not appear to be justified looking to the nature of the liability . It is true that the liability has been incurred in the accounting year . But the liability is a continuing liability which stretches over a period of 12 years . It is , therefore , a liability spread over a period of 12 years . Ord inarily , revenue expenditure which is incurred wholly and exclusively for the purpose of business must be allowed in its entirety in the year in which it is incurred . It cannot be spread over a number of years even if the ass essee has written it off in his books over a period of years . However , the facts may justify an ass essee who has incurred expenditure in a particular year to spread and claim it over a period of ensuing years . In fact , allowing the entire expenditure in one year might give a very distorted picture of the profits of a particular year . Thus in the case of Hind ust an Al uminium Corporation Ltd . vs . C IT , ( 1982 ) 30 CTR ( Cal ) 363 : ( 1983 ) 144 I TR 4 74 ( Cal ) the Cal cut ta High Court upheld the claim of the ass essee to spread out a lump sum payment to secure technical assistance and training over a number of years and allowed a proportion ate deduction in the accounting year in question . 16 . Iss uing deb ent ures at a discount is another such instance where , although the ass essee has incurred the liability to pay the discount in the year of issue of deb ent ures , the payment is to secure a benefit over a number of years . There is a continuing benefit to the business of the company over the entire period . The liability should , therefore , be spread over the period of the deb ent ures ."" 17 .",0.5480946653972776,6.5341912067155565
"___Thus , the first thing which is to be noticed is that though the entire expenditure was incurred in that year , it was the ass essee who wanted the spread over . The Court was conscious of the principle that normally revenue expenditure is to be allowed in the same year in which it is incurred , but at the instance of the ass essee , who wanted spreading over , the Court agreed to allow the ass essee that benefit when it was found that there was a continuing benefit to the business of the company over the entire period .",-0.33370969594271616,-0.5467113494282989
